"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2007083949","","03","N","2","1","","1","N","01","N","PONT","1990","","","","","","","","0","01","1G2FS23E5LL","1","","1","00","N","E","005","","","1","1","02","01","06","PA","1","1.0","P2H"
"2007083949","","15","N","1","1","","1","N","07","Y","JEEP","2006","","","","","","","","0","01","1J4GR48K46C","4","","1","00","N","E","000","","","2","1","05","03","06","PA","2","6.0","T4W"
"2007114572","","09","N","3","3","","1","N","12","Y","","1996","","","","","","","","0","01","1G6KS52Y9TU","1","","4","00","Y","S","999","0","","1","1","08","16","07","PA","1","1.0",""
"2007114572","","39","N","3","2","","1","N","08","Y","FORD","2003","","","","","","","","1","","1FAFP52U33A","0","","2","00","Y","","000","0","","2","2","07","06","11","PA","2","3.0",""
"2007020549","","04","N","2","1","","1","N","08","Y","BUIC","1998","","","","","","","","0","01","1G4HR52K7WH","4","","1","00","Y","W","045","0","","1","1","08","01","01","PA","1","1.0","P4D"
"2007118521","","15","N","3","1","","3","N","09","Y","TOYT","2004","","","","","","","","0","01","JTEEP21A140","1","","2","00","Y","N","015","0","","1","1","07","02","01","PA","0","6.0","PUT"
"2007055864","","15","N","2","1","","3","N","02","Y","CHEV","2005","","","","","","","","0","02","1GNDT135X52","1","","1","00","N","W","999","0","","1","1","05","01","06","PA","2","6.0","PUT"
"2007055864","","04","N","3","1","","1","N","12","Y","DODG","2003","","","","","","","","0","01","1B3ES26C03D","1","","1","00","Y","S","999","0","","2","1","07","12","01","PA","1","1.0","P4D"
"2007091121","","04","N","3","1","","1","N","01","Y","NISS","2005","","","","","","","","0","01","1N4BA41E45C","1","","1","00","Y","N","015","0","","1","1","07","01","98","PA","1","1.0","P4D"
"2007091121","","15","N","3","1","","3","N","02","Y","HYUN","2007","","","","","","","","0","01","KM8JN72D87U","3","","1","00","Y","E","020","0","","2","1","05","01","01","PA","3","7.0","PUT"
