"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2024004888","","0","0","0","0","0","0","0","0","0","1","0","","02","1","2024","7","40.49623","-79.939233","","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 29:46.427","2","0","79 56:21.239","0","0","0","0","2461","0","0","0","N","0","0","0","2","68D02","0","","1.0","1415.0","7","N","N","N","1","","0","0","1","","0","N","","2","0","0","0","0","0","0","2","0","2","10","","","N","","","","","","","","","",""
"2024006499","","1","0","0","0","0","0","0","0","0","4","0","","02","1","2024","4","40.362595","-80.110476","","11","0","0","0","0","0","1","0","0","","0","0","0","","","0","","2","","40 21:45.341","2","0","80 06:37.712","0","0","0","0","2414","0","0","0","N","0","0","0","2","02414","0","","1.0","955.0","1","N","N","N","1","","0","0","0","","2","N","","2","0","0","0","0","0","0","2","0","2","03","","","N","","","","","","","","","",""
"2024004197","","0","0","0","0","0","0","0","0","0","7","0","","02","1","2024","5","40.566658","-80.03793","","11","0","0","0","0","0","0","1","0","","0","0","0","","","1","","1","","40 33:59.969","4","0","80 02:16.548","3","0","0","0","2108","0","0","0","N","0","0","0","1","02108","0","","2.0","1328.0","1","N","N","N","0","","1","0","1","","2","N","","1","1","0","0","0","0","0","2","0","1","03","","","N","","","","","","","","","",""
"2024004815","","1","0","0","0","0","0","0","0","0","4","0","","02","1","2024","6","40.454488","-79.760258","","11","0","0","0","0","0","0","0","1","","0","0","0","","","0","","1","","40 27:16.156","","0","79 45:36.928","0","0","0","0","2446","0","0","0","N","0","0","0","2","02446","0","","1.0","","9","N","N","N","0","","0","0","1","","3","","","2","0","0","0","0","0","0","2","0","2","07","","","N","","","","","","","","","",""
"2024006208","","1","0","0","0","0","0","0","0","0","1","0","","02","1","2024","5","40.442511","-79.837876","","11","0","0","0","0","0","0","0","0","","0","0","0","","","2","N","0","","40 26:33.038","","0","79 50:16.355","3","0","0","0","2419","0","0","0","N","0","0","0","3","68B02","0","","1.0","","1","N","N","N","0","","2","0","1","","0","","","2","2","0","0","0","0","1","2","0","2","03","","","N","","","","","","","","","",""
"2024003726","","1","0","0","0","0","0","0","0","0","7","0","","02","1","2024","7","40.328282","-80.111556","","11","0","0","1","0","0","0","0","0","","0","0","0","","","0","","2","","40 19:41.815","","0","80 06:41.600","0","0","0","0","2119","0","0","0","Y","0","0","0","1","02119","0","","5.0","","9","N","N","N","0","","0","0","0","","3","","","1","0","0","0","0","0","0","2","0","1","10","07","","N","","","","","","","","","",""
"2024003732","","1","0","0","0","0","0","0","0","0","4","0","","02","1","2024","4","40.430458","-79.710616","","11","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","0","","40 25:49.648","6","7","79 42:38.216","0","0","0","0","2446","0","0","0","N","0","0","0","2","02446","0","","1.0","840.0","9","N","N","N","0","","0","0","1","","0","N","","2","0","0","0","0","0","0","2","0","2","07","07","","N","","","","","","","","","",""
"2024003560","","2","0","0","0","0","0","0","0","0","4","0","","02","1","2024","1","40.325561","-80.087847","","11","1","0","0","0","0","0","0","1","","0","0","0","","","0","N","0","","40 19:32.020","7","0","80 05:16.250","0","0","0","0","2123","0","0","0","N","0","0","0","3","02123","0","","1.0","1305.0","9","N","N","N","0","","0","0","0","","0","Y","","2","0","0","0","0","0","0","2","0","2","03","","","N","","","","","","","","","",""
"2024003558","","0","0","0","0","0","0","0","0","0","1","0","","02","1","2024","6","40.326911","-80.076679","","11","0","0","0","0","0","0","1","0","","0","0","0","","","2","","1","","40 19:36.879","5","0","80 04:36.046","3","0","0","0","2123","0","0","0","N","0","0","0","3","02123","0","","1.0","1824.0","1","N","N","N","0","","2","0","2","","0","N","","2","2","0","0","0","0","0","2","0","2","03","03","","N","","","","","","","","","",""
"2024007310","","1","0","0","0","0","0","0","0","0","7","0","","02","1","2024","6","40.401821","-79.827158","","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","2","","40 24:06.557","","0","79 49:37.768","0","0","0","0","2111","0","0","0","N","0","0","0","1","02111","0","","5.0","","7","N","N","N","0","","0","0","0","","0","","","1","0","0","0","0","0","0","2","0","1","10","10","","N","","","","","","","","","",""
"2024003271","","0","0","0","0","0","0","0","0","0","7","0","","02","1","2024","7","40.338324","-79.895946","","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 20:17.968","","0","79 53:45.405","0","0","0","0","2473","0","0","0","Y","0","0","0","1","02473","0","","5.0","","2","N","N","N","1","","0","0","0","","0","","","1","0","0","0","0","0","0","2","0","1","10","","","N","","","","","","","","","",""
"2024001334","","0","0","0","0","0","0","0","0","0","1","0","","02","1","2024","5","40.359111","-79.847834","","11","0","0","1","0","0","1","0","0","","0","0","0","","","1","","6","","40 21:32.800","","2","79 50:52.204","4","0","0","0","2303","0","0","0","N","0","0","0","2","02303","1","","1.0","","9","N","N","N","0","","0","0","2","","0","","","2","1","0","0","0","0","0","2","0","2","03","","","N","","","","","","","","","",""
