"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2024064281","3.0","2","2","","0","W","4","4.0","AC1J","","25.0","PARKER DR"
"2024064281","3.0","2","2","","0","N","3","4.0","AC1J","","25.0","MEADOWCROFT AV"
"2024093518","","2","02","","0","E","3","4.0","","","25.0","FORBES AV"
"2024089142","3.0","2","02","","0","S","4","4.0","AGR7","","","DEVONSHIRE ST"
"2024089142","3.0","2","04","","0","E","3","4.0","AGR7","","25.0","5TH AV"
"2024024412","3.0","2","2","","0","N","4","4.0","AJ5T","","25.0","CELIA DR"
"2024024412","3.0","2","2","","0","E","3","4.0","AJ5T","","25.0","JUDITH DR"
"2024082609","","2","02","","0","E","4","4.0","","","25.0","LINCOLN AV"
"2024082609","","2","02","","0","S","3","4.0","","","25.0","KENDALL AV"
"2024068481","3.0","2","02","","0","W","3","4.0","AIOZ","","25.0","LOCUST AV"
"2024096643","","2","2","","0","W","4","7.0","","","","AAR 507698M RR"
"2024096643","3.0","2","2","0.0","0","S","3","2.0","0837","","50.0","WASHINGTON ST"
"2024104463","1.0","2","2","440.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2024101638","1.0","2","2","3872.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2024066327","3.0","2","2","541.0","0","S","3","2.0","2075","","35.0","NEW TEXAS RD"
"2024025855","","2","02","","0","W","4","4.0","","","25.0","MAIN ST"
"2024025855","3.0","2","02","1705.0","0","N","3","2.0","0051","","35.0","FOURTH AV"
"2024009205","","2","2","","0","E","3","4.0","","","35.0","EAST WILLOCK RD"
"2024077244","3.0","2","2","","0","S","4","4.0","AC24","","25.0","RALSTON PL"
"2024077244","3.0","2","2","","0","S","3","4.0","AC24","","25.0","BEVERLY RD"
"2024090274","","2","99","","0","W","3","4.0","","","","DELONG AL"
"2024004059","3.0","2","2","81.0","0","W","3","2.0","2082","","45.0","COXCOMB HILL RD"
"2024056443","3.0","2","3","659.0","0","S","3","2.0","4003","","40.0","MCKNIGHT RD"
"2024013208","3.0","2","2","2073.0","0","S","3","2.0","0008","","40.0","WILLIAM FLINN HW"
"2025012656","1.0","2","2","1829.0","0","W","3","1.0","0376","","65.0","AIRPORT PY"
"2025018044","","2","01","","0","E","4","4.0","","","","20TH ST"
"2025018044","","2","02","","0","S","3","4.0","","","","PENN AV"
"2024003097","3.0","2","2","1196.0","0","S","4","2.0","0008","","40.0","WILLIAM FLINN HW"
"2024003097","3.0","2","2","1032.0","0","N","3","2.0","0008","","40.0","WILLIAM FLINN HW"
"2024003097","3.0","2","2","0.0","0","E","5","2.0","0910","","35.0","GIBSONIA RD"
"2024044722","1.0","2","3","991.0","0","W","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2024119147","1.0","2","4","528.0","0","S","3","6.0","7043","","55.0","MON VALLEY/FAYETTE EX"
"2024043139","1.0","2","1","94.0","1","E","3","2.0","8082","","20.0","RAMP F RD"
"2024066959","3.0","2","02","","0","U","3","4.0","AGYD","","","FINGAL ST"
"2024037479","3.0","2","2","500.0","0","W","3","2.0","2070","","30.0","INDIANA RD"
"2024036437","3.0","2","2","390.0","0","W","3","2.0","2044","","35.0","COMMONWEALTH AV"
"2024029728","1.0","2","3","1581.0","0","W","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2025022657","3.0","2","03","1357.0","0","E","3","2.0","2108","","25.0","FORBES AV"
"2024059583","3.0","2","2","162.0","0","E","3","2.0","0400","","35.0","FRANKSTOWN RD"
"2024066902","","2","2","","0","S","4","4.0","","","25.0","21ST ST"
"2024066902","3.0","2","2","450.0","0","N","3","2.0","0837","","25.0","EAST CARSON ST"
"2024118796","3.0","2","2","643.0","0","N","3","2.0","0088","","35.0","LIBRARY RD"
"2024056102","","2","02","","0","S","3","4.0","","","35.0","SCOTIA HOLLOW RD"
"2024082589","3.0","2","04","","0","W","3","4.0","AHQV","","25.0","5TH AV"
"2024082589","3.0","2","02","","0","N","4","4.0","AHQV","","25.0","NEVILLE ST"
"2024003271","3.0","2","2","593.0","0","E","3","2.0","2034","","55.0","LEBANON SCHOOL RD"
"2024085634","3.0","2","02","","0","S","4","4.0","AG98","","","AMANDA ST"
"2024085634","3.0","2","02","","0","E","3","4.0","AG98","","","JUCUNDA ST"
"2024106283","3.0","2","2","2002.0","0","S","3","2.0","0008","","35.0","FIFTH AV"
"2024020046","","2","02","","0","E","4","4.0","","","35.0","WIBLE RUN RD"
"2024020046","3.0","2","2","2778.0","0","S","3","2.0","4013","","35.0","SOOSE RD"
"2024012547","1.0","2","2","764.0","0","W","3","2.0","0022","","45.0","SR 0022 HW"
"2024073781","3.0","2","02","0.0","0","W","5","2.0","4068","","40.0","WALLACE RD"
"2024073781","","2","02","","0","W","7","4.0","","","25.0","WALLACE RD"
"2024073781","3.0","2","02","1660.0","0","S","4","2.0","0019","","40.0","PERRY HW"
"2024073781","3.0","2","02","1013.0","0","N","3","2.0","0019","","40.0","PERRY HW"
"2024073781","3.0","2","02","0.0","0","W","6","2.0","4068","","40.0","WALLACE RD"
"2024079272","1.0","2","2","1751.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2024066531","1.0","2","1","80.0","1","S","3","2.0","8050","","20.0","RAMP B RD"
"2024082165","","2","02","","0","E","3","4.0","","","25.0","LAKETON RD"
"2024113497","","2","02","","0","S","3","4.0","","","25.0","CEDAR BL"
"2024009455","","2","02","","0","S","3","4.0","","","35.0","COCHRAN MILL RD"
"2024013681","","2","02","","0","E","4","4.0","","","25.0","NELBON AV"
"2024013681","3.0","2","02","1410.0","0","S","3","2.0","0130","","35.0","BEULAH RD"
"2024042031","3.0","2","02","","0","U","3","4.0","EWQ2","","25.0","LAUREL ST"
"2024042031","3.0","2","02","","0","U","4","4.0","EWQ2","","25.0","SPRUCE ST"
"2024050290","","2","02","","0","N","3","4.0","","","25.0","BROWNSVILLE RD"
"2025018095","","2","02","","0","N","3","4.0","","","25.0","CHARTIERS AV"
"2024020717","","2","02","","0","S","5","4.0","","","25.0","MCALEER RD"
"2024020717","3.0","2","2","15.0","0","W","3","2.0","4011","","35.0","ROCHESTER RD"
"2024020717","3.0","2","2","2716.0","0","B","4","2.0","4029","","40.0","MC ALEER RD"
"2024027861","","2","2","","0","N","4","4.0","","","25.0","SUMAC LN"
"2024027861","3.0","2","2","0.0","0","S","3","2.0","3079","","35.0","MAPLE ST ET"
"2025018998","3.0","2","2","0.0","0","E","4","4.0","H020","","25.0","PENN AV"
