"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2016025124","N","Y","U","N","U","Y","2","Y","Y","01500","N","","","","","","","","N","2"
"2016052673","N","N","Y","Y","Y","Y","1","Y","Y","00210","N","","","","","","","","N","1"
"2016089630","N","N","U","Y","Y","Y","1","U","U","00348","N","","","","","","","","N","1"
"2016096937","N","Y","U","Y","Y","Y","1","Y","Y","00550","N","","","","","","","","N","1"
"2016063413","","","","","","","","","","","","","","","","","","","","1"
"2016042605","Y","Y","U","Y","Y","N","2","Y","Y","01600","N","","","","","","","","N","2"
"2016062313","N","Y","U","Y","U","Y","3","Y","Y","00800","N","","","","","","","","N","1"
"2016025055","N","U","U","Y","U","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2016043894","N","Y","U","Y","Y","Y","3","Y","U","00690","N","","","","","","","","N","2"
"2016043894","N","Y","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","3"
"2016050736","Y","Y","U","Y","U","Y","3","Y","Y","01200","N","","","","","","","","N","1"
"2016050736","Y","Y","U","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","3"
"2016093935","Y","U","U","U","U","Y","3","Y","U","16900","Y","N","U","U","Y","3","N","Y","N","1"
"2016073796","N","U","U","Y","Y","Y","1","Y","U","10000","N","","","","","","","","N","1"
"2016047307","Y","Y","U","Y","Y","Y","3","Y","Y","09999","N","","","","","","","","N","2"
"2016030611","","","","","","","","","","","","","","","","","","","","2"
"2016081265","N","Y","U","N","N","N","0","Y","Y","01200","N","","","","","","","","N","2"
"2016099845","U","U","N","N","U","U","9","U","U","99999","N","","","","","","","","U","1"
"2016101288","N","Y","U","Y","U","N","1","Y","Y","00448","N","","","","","","","","N","2"
"2016045307","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2016094725","N","U","U","N","N","N","0","U","N","00700","N","","","","","","","","N","1"
"2016075138","Y","N","U","Y","Y","Y","1","Y","Y","01832","N","","","","","","","","N","2"
"2016085825","Y","U","Y","Y","Y","Y","1","Y","Y","99999","N","","","","","","","","N","2"
"2016092695","N","N","U","N","U","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2016063279","N","N","U","N","U","U","3","Y","N","00750","N","","","","","","","","N","2"
"2016062102","N","Y","Y","N","N","N","0","Y","Y","01573","N","","","","","","","","N","2"
"2016062102","N","Y","Y","N","N","N","0","Y","Y","00883","N","","","","","","","","N","3"
"2016086878","N","U","U","Y","U","Y","1","Y","Y","00600","N","","","","","","","","N","2"
"2016072771","N","N","U","N","N","N","0","Y","N","00050","N","","","","","","","","N","1"
"2016108930","Y","Y","U","Y","N","N","0","Y","Y","00700","N","","","","","","","","N","2"
"2016013409","N","U","N","U","N","N","0","Y","U","00234","N","","","","","","","","N","1"
"2016074139","N","N","Y","Y","Y","Y","1","Y","U","00600","N","","","","","","","","N","1"
"2016094053","N","Y","U","Y","Y","Y","2","Y","Y","01100","N","","","","","","","","N","1"
"2016110011","N","U","Y","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2016123216","N","N","U","Y","U","Y","1","Y","Y","00750","N","","","","","","","","N","1"
"2016101163","Y","N","U","Y","U","Y","3","Y","Y","01200","N","","","","","","","","N","1"
"2016061643","Y","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","2"
"2016100051","","","","","","","","","","","","","","","","","","","","1"
"2016047580","","","","","","","","","","","","","","","","","","","","1"
"2016071633","Y","Y","U","Y","N","N","0","Y","Y","01800","N","","","","","","","","Y","1"
"2016063393","","","","","","","","","","","","","","","","","","","","2"
"2016085937","Y","Y","U","Y","N","N","0","Y","Y","01100","N","","","","","","","","N","2"
"2016069697","","","","","","","","","","","","","","","","","","","","2"
"2016083516","","","","","","","","","","","","","","","","","","","","2"
"2016059025","","","","","","","","","","","","","","","","","","","","2"
"2016042167","N","N","N","N","U","U","0","N","N","00600","N","","","","","","","","N","1"
"2016055043","Y","U","Y","Y","N","N","0","Y","N","00750","N","","","","","","","","N","1"
"2016064582","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","1"
"2016107452","N","Y","U","Y","U","Y","1","Y","Y","99999","N","","","","","","","","N","2"
"2016107452","N","Y","U","Y","U","Y","1","Y","Y","99999","N","","","","","","","","N","3"
"2016090914","N","N","U","N","N","N","0","N","N","01100","N","","","","","","","","N","1"
"2016079542","","","","","","","","","","","","","","","","","","","","2"
"2016087115","","","","","","","","","","","","","","","","","","","","2"
"2016051847","U","U","U","Y","N","N","0","U","U","99999","Y","U","Y","N","N","0","U","U","U","1"
"2016071848","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","U","1"
"2016104110","","","","","","","","","","","","","","","","","","","","2"
"2016028004","","","","","","","","","","","","","","","","","","","","2"
"2016085534","","","","","","","","","","","","","","","","","","","","1"
"2016082010","","","","","","","","","","","","","","","","","","","","1"
"2016078844","","","","","","","","","","","","","","","","","","","","1"
"2016063800","N","N","N","Y","Y","Y","1","N","N","00600","N","","","","","","","","N","1"
"2016072230","N","Y","Y","Y","N","N","0","Y","Y","00200","N","","","","","","","","N","1"
"2016054730","N","N","U","U","N","N","0","N","N","99999","N","","","","","","","","N","2"
"2016058261","","","","","","","","","","","","","","","","","","","","2"
"2016107411","","","","","","","","","","","","","","","","","","","","2"
"2016049362","","","","","","","","","","","","","","","","","","","","2"
"2016099721","Y","Y","Y","Y","Y","Y","2","Y","Y","01450","N","","","","","","","","N","1"
"2016066698","Y","Y","U","Y","Y","Y","3","Y","N","01340","N","","","","","","","","N","1"
"2016074415","Y","Y","U","U","U","Y","3","Y","U","01000","N","","","","","","","","N","1"
"2016074288","N","N","Y","N","N","Y","1","N","N","00500","N","","","","","","","","N","1"
"2016078835","N","N","U","Y","Y","Y","3","Y","Y","01800","N","","","","","","","","N","1"
"2016081374","","","","","","","","","","","","","","","","","","","","1"
"2016054773","N","N","N","U","N","N","0","Y","Y","00500","N","","","","","","","","N","1"
"2016017644","","","","","","","","","","","","","","","","","","","","1"
"2016116391","N","Y","N","N","N","N","0","Y","Y","01465","N","","","","","","","","N","1"
"2016074402","Y","Y","U","Y","N","N","0","Y","N","01688","N","","","","","","","","N","1"
"2016050760","","","","","","","","","","","","","","","","","","","","2"
"2016076591","N","N","N","Y","Y","Y","1","Y","Y","00999","N","","","","","","","","N","1"
"2016078709","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","U","1"
"2016102430","N","Y","U","Y","Y","Y","1","Y","N","01340","N","","","","","","","","N","1"
"2016107445","","","","","","","","","","","","","","","","","","","","2"
"2016041811","U","U","N","U","U","U","9","U","U","01584","N","","","","","","","","U","2"
"2016108372","","","","","","","","","","","","","","","","","","","","1"
"2016043708","N","Y","U","N","U","Y","1","Y","Y","00000","N","","","","","","","","N","2"
"2016128762","Y","N","N","Y","N","N","0","Y","N","01540","N","","","","","","","","N","2"
"2016068853","Y","Y","U","Y","N","N","0","Y","Y","01550","Y","U","U","N","N","0","Y","Y","N","1"
"2016033761","N","Y","U","N","Y","Y","3","Y","Y","00350","N","","","","","","","","N","1"
"2016088254","U","N","Y","N","N","N","0","Y","N","26000","N","","","","","","","","N","1"
"2016096726","N","Y","N","Y","Y","Y","1","Y","Y","00900","N","","","","","","","","N","2"
"2016079037","N","U","U","Y","Y","U","1","Y","N","00600","N","","","","","","","","N","2"
"2016115713","","","","","","","","","","","","","","","","","","","","1"
"2016023487","N","Y","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2016107141","","","","","","","","","","","","","","","","","","","","1"
"2016095853","N","Y","Y","Y","Y","Y","2","Y","Y","01200","N","","","","","","","","N","2"
"2016105765","Y","Y","U","Y","U","U","0","Y","Y","01450","N","","","","","","","","N","2"
"2016060253","N","Y","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2016094894","N","N","N","Y","N","Y","1","Y","Y","99999","N","","","","","","","","N","1"
"2016108271","","","","","","","","","","","","","","","","","","","","2"
"2016012240","Y","Y","U","Y","Y","Y","1","Y","Y","99999","N","","","","","","","","N","1"
