"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2016105775","1.0","2","2","1034.0","0","N","3","1.0","0079","","55.0","RAYMOND P SHAFER HW"
"2017002022","","2","04","","0","W","3","4.0","","","30.0","PARK WEST DR"
"2016096200","3.0","2","2","2092.0","0","N","3","2.0","0885","","40.0","LEBANON RD"
"2016122475","1.0","2","4","528.0","0","W","3","5.0","7076","","55.0","EAST/WEST TU"
"2016014735","3.0","2","2","4409.0","0","N","3","2.0","3069","","35.0","LIBERTY TN"
"2016086818","","2","02","","0","U","4","4.0","","","25.0","VAN BRAAM ST"
"2016086818","","2","02","","0","U","3","4.0","","","35.0","FORBES AV"
"2016136041","","2","02","","0","W","4","4.0","","","25.0","KANE RD"
"2016136041","3.0","2","2","2980.0","0","S","3","2.0","0286","","45.0","GOLDEN MILE HW"
"2016071463","1.0","2","2","5125.0","0","W","3","1.0","0376","","55.0","SQUIRREL HILL TN"
"2016073173","3.0","2","2","1859.0","0","S","3","2.0","3069","","35.0","WEST LIBERTY AV"
"2016011589","","2","03","","0","W","3","4.0","","","25.0","CENTRE AV"
"2016092820","","2","02","","0","W","4","3.0","","","25.0","RIVER RD"
"2016092820","","2","02","","0","N","3","3.0","","","25.0","CARSON ST"
"2016082587","","2","02","","0","W","3","4.0","","","35.0","STATE GAMELANDS RD"
"2016056002","3.0","2","2","298.0","0","S","3","2.0","2058","","25.0","LEECHBURG RD"
"2016048412","3.0","2","3","1084.0","0","N","3","2.0","4003","","45.0","MCKNIGHT RD"
"2016014736","","2","01","","0","N","3","4.0","","","25.0","KEEPORT DR"
"2016009025","3.0","2","2","0.0","0","N","5","2.0","4031","","35.0","BABCOCK BL"
"2016009025","3.0","2","2","0.0","0","W","3","2.0","0910","","35.0","GIBSONIA RD"
"2016009025","3.0","2","2","3462.0","0","N","4","2.0","4031","","35.0","BABCOCK BL"
"2016081060","3.0","2","2","1350.0","0","W","3","2.0","0060","","15.0","STEUBENVILLE PK"
"2016048005","","2","02","","0","W","3","4.0","","","25.0","MULDOWNEY AV"
"2016017856","","2","02","","0","W","4","4.0","","","25.0","WINFIELD ST"
"2016017856","3.0","2","2","444.0","0","S","3","2.0","3005","","35.0","BANK ST"
"2016116603","3.0","2","2","3864.0","0","B","5","2.0","3104","","35.0","MCKEES ROCKS BR"
"2016116603","","2","02","","0","E","7","4.0","","","30.0","BRIGHTON HEIGHTS BL"
"2016116603","2.0","2","2","1235.0","0","N","3","2.0","0065","","55.0","OHIO RIVER BL"
"2016116603","2.0","2","2","1225.0","0","S","4","2.0","0065","","55.0","OHIO RIVER BL"
"2016116603","","2","02","","0","E","6","4.0","","","30.0","BRIGHTON HEIGHTS AV"
"2016125085","1.0","2","2","699.0","0","W","3","2.0","0022","","55.0","SR 0022 SH"
"2016059403","1.0","2","2","2928.0","0","E","3","1.0","0376","","55.0","FORT PITT TN"
"2016125280","3.0","2","4","2205.0","0","E","3","2.0","0400","","35.0","BAUM BL"
"2016127159","","2","02","","0","E","3","4.0","","","35.0","P J MCARDLE RD"
"2016025564","3.0","2","2","0.0","0","B","4","2.0","4017","","35.0","WETZEL RD"
"2016025564","3.0","2","2","0.0","0","E","3","2.0","4006","","25.0","WETZEL RD"
"2016055745","3.0","2","2","0.0","0","W","4","2.0","2112","","25.0","ELECTRIC AV"
"2016055745","3.0","2","2","2650.0","0","W","3","2.0","0030","","45.0","LINCOLN HW"
