"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2013044885","3.0","2","2","1203.0","0","E","3","2.0","2040","","45.0","LEBANON CHURCH RD"
"2013044885","3.0","2","2","1274.0","0","W","4","2.0","2040","","45.0","LEBANON CHURCH RD"
"2013044885","3.0","2","2","516.0","0","N","5","2.0","2043","","40.0","CAMP HOLLOW RD"
"2013044885","3.0","2","2","511.0","0","S","6","2.0","2043","","40.0","CAMP HOLLOW RD"
"2013025921","","2","02","","0","S","3","4.0","","","25.0","COLLIER ST"
"2013025921","","2","02","","0","E","4","4.0","","","25.0","FRANKSTOWN AV"
"2013067093","1.0","2","4","528.0","0","W","3","5.0","7076","","55.0","EAST/WEST TU"
"2013091839","","2","02","","0","W","5","4.0","","","25.0","E CARSON ST"
"2013091839","3.0","2","2","505.0","0","B","3","2.0","0837","","55.0","EAST CARSON ST"
"2013091839","","2","02","","0","S","4","4.0","","","25.0","BECKS RUN RD"
"2013020828","","2","02","","0","E","3","4.0","","","25.0","SHENANDOAH DR"
"2014013405","2.0","2","2","1791.0","0","N","3","2.0","0065","","55.0","OHIO RIVER BL"
"2013016092","3.0","2","2","1003.0","0","E","3","2.0","2048","","35.0","WILLIAM PENN HW"
"2013027749","","2","06","","0","W","4","4.0","","","25.0","SUMMIT PARK DR"
"2013027749","","2","05","","0","N","3","4.0","","","25.0","MCHOLME DR"
"2013103808","3.0","2","2","931.0","0","N","3","2.0","0837","","25.0","EAST CARSON ST"
"2013042644","3.0","2","2","1691.0","0","N","3","2.0","0051","","40.0","CLAIRTON BL"
"2013054743","","2","02","","0","N","4","4.0","","","25.0","PARK PL"
"2013054743","3.0","2","2","2165.0","0","E","3","2.0","4016","","30.0","SIEBERT RD"
"2013111143","1.0","2","3","606.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2013031017","3.0","2","2","2007.0","0","W","3","2.0","3074","","35.0","FOREST GROVE RD"
"2013009785","","2","02","","0","N","4","4.0","","","25.0","N HIGHLAND AV"
"2013009785","","2","01","","0","E","3","4.0","","","25.0","HARVARD SQ"
"2013121255","3.0","2","2","811.0","0","N","3","2.0","4034","","35.0","AUDUBON RD"
"2013001898","","2","02","","0","N","3","4.0","","","25.0","CORLISS ST"
"2013045023","1.0","2","3","2545.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2013096675","","2","01","","0","U","3","4.0","","","25.0","LILLIAN WY"
"2013096675","","2","02","","0","U","4","4.0","","","25.0","KNOX AV"
"2013007032","","2","04","","0","E","4","4.0","","","35.0","FIFTH AV"
"2013007032","","2","02","","0","N","3","4.0","","","25.0","S NEGLEY AV"
"2013009598","3.0","2","2","1019.0","0","S","3","2.0","0019","","35.0","PERRY HW"
"2013085465","","2","04","","0","E","4","4.0","","","25.0","ROBINSON CENTER DR"
"2013085465","","2","04","","0","N","3","4.0","","","25.0","PARK MANOR BL"
"2013108444","","2","02","","0","E","3","4.0","","","25.0","CRANE AV"
"2013000967","","2","04","","0","S","3","2.0","0065","","45.0","OHIO RIVER BL"
"2013068794","3.0","2","2","360.0","0","W","3","2.0","0400","","35.0","FRANKSTOWN RD"
"2013061447","","2","02","","0","E","3","4.0","","","25.0","SMITHFIELD SQ"
"2013068921","","2","03","","0","W","5","4.0","","","25.0","OLD ELIZABETH RD"
"2013068921","3.0","2","2","1262.0","0","N","3","2.0","0885","","35.0","CLAIRTON RD"
"2013068921","3.0","2","2","1266.0","0","S","4","2.0","0885","","35.0","CLAIRTON RD"
"2013109940","3.0","2","2","1980.0","0","W","3","2.0","0050","","40.0","WASHINGTON PK"
"2013109940","","2","02","","0","S","4","4.0","","","35.0","THOMS RUN RD"
"2013019070","","2","02","","0","N","5","4.0","","","25.0","KEEPORT DR"
"2013019070","3.0","2","2","2331.0","0","E","3","2.0","2040","","25.0","CURRY HOLLOW RD"
"2013019070","3.0","2","2","2352.0","0","W","4","2.0","2040","","40.0","CURRY HOLLOW RD"
"2013041881","","2","01","","0","W","3","4.0","","","20.0","GREYDON AV"
"2013111364","1.0","2","3","1756.0","0","W","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2013066098","3.0","2","2","0.0","0","W","4","2.0","3009","","35.0","SOUTH PARK RD"
