"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2013020895","","15","N","1","1","","2","N","12","Y","DODG","2008","","","","","","","","0","01","1D8HB48N08F","3","","1","00","N","N","999","0","","1","1","05","01","06","PA","","1.0","PUT"
"2013020895","","15","N","2","1","","2","N","04","Y","JEEP","2012","","","","","","","","0","01","1C4NJRFB0CD","3","","1","00","Y","E","999","0","","2","1","05","01","06","PA","","6.0","T4W"
"2013113845","","09","N","3","1","","1","N","04","N","FORD","2001","","","","","","","","0","02","1FAFP55U51A","1","","4","00","Y","E","035","0","","1","1","01","16","01","OH","","1.0",""
"2013083224","","04","N","3","1","","3","N","12","Y","STRN","2000","","","","","","","","0","01","1G8ZK5274YZ","1","","1","00","Y","E","999","","","1","1","05","01","01","PA","","1.0","P4D"
"2013014172","","04","N","3","1","","3","N","00","Y","PONT","1999","","","","","","","","0","01","1G2NE52T1XM","1","","3","00","Y","N","045","0","","1","1","12","17","01","PA","","1.0","P4D"
"2013106250","","04","N","3","1","","3","N","12","Y","FORD","2011","","","","","","","","0","02","1FAHP3ENXBW","1","","1","00","Y","E","030","0","","1","1","03","01","01","PA","","1.0","P4D"
"2013106250","","51","N","1","1","","5","N","08","Y","CHEV","2013","","","","","","","","0","02","1GB3K0C88DF","1","","1","00","N","N","010","0","","2","1","03","01","01","PA","","4.0","TPK"
"2013127584","","15","N","3","1","","3","N","12","Y","JEEP","2011","","","","","","","","0","01","1J4NF5FB1BD","2","","3","00","Y","N","999","0","","1","1","05","17","07","PA","","6.0","T4W"
"2013050591","","09","N","3","1","","3","N","11","Y","CHEV","2005","","","","","","","","0","01","2G1WF52E759","1","","1","00","Y","S","999","0","","1","1","12","01","01","OH","","1.0",""
"2013088599","","15","N","3","1","","1","N","10","Y","JEEP","2008","","","","","","","","0","01","1J8GN28K48W","2","","1","00","Y","W","050","0","","1","1","01","01","03","PA","","6.0","T4W"
"2013128130","","02","N","2","1","","1","N","12","Y","HOND","2008","","","","","","","","0","01","2HGFG11688H","1","","1","00","Y","S","025","0","","1","1","07","01","01","PA","","1.0","PCP"
"2013128130","","04","N","2","1","","1","N","06","Y","CHEV","2014","","","","","","","","0","01","1G1PA5SG0E7","2","","1","00","N","S","000","0","","2","1","02","03","01","PA","","1.0","P4D"
"2013128130","","51","N","1","1","","1","N","06","Y","DODG","1999","","","","","","","","0","01","1B7GG22Y7XS","1","","1","00","N","U","000","0","","3","1","06","03","01","PA","","4.0","TPC"
"2013109834","","51","N","3","1","","1","N","12","Y","TOYT","2008","","","","","","","","0","01","5TEUU42N38Z","1","","1","00","Y","S","999","0","","1","1","01","12","13","PA","","4.0","TPC"
