"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2022116380","","04","N","3","1","","1","N","10","Y","FORD","2016","","","","","","","","0","01","3FA6P0SU8GR","1","","1","00","Y","E","999","","","1","1","05","01","03","PA","","1.0","P4D"
"2022060987","","05","N","3","1","","3","N","11","Y","TOYT","2015","","","","","","","","0","02","JTDKN3DU2F0","2","","3","00","Y","E","035","","","1","1","03","17","01","PA","","1.0","P4H"
"2022060987","","15","N","2","1","","3","N","06","Y","FORD","2016","","","","","","","","0","01","2FMPK3K92GB","1","","3","00","N","E","005","","","2","1","07","17","01","PA","","6.0","T4W"
"2022103084","","69","N","3","1","","1","N","12","Y","TOYT","2018","","","","","","","","0","01","JTMRFREV7JJ","1","","4","00","Y","N","035","","","1","1","07","16","01","PA","","6.0","T"
"2022030791","","15","N","2","1","","2","N","01","N","DODG","2009","","","","","","","","0","01","3D4GG57V19T","2","","1","00","Y","W","999","","","1","1","05","10","01","PA","","1.0","T4W"
"2022097223","","02","N","2","1","","2","N","12","Y","CHEV","2004","","","","","","","","0","01","1G1YY22G545","1","","4","00","Y","W","999","","","1","1","06","16","01","PA","","1.0","PCP"
"2022070763","","04","N","2","1","","3","N","11","Y","VOLK","2017","","","","","","","","0","01","3VWB67AJ8HM","1","","1","00","Y","S","020","","","1","1","03","01","01","PA","","6.0","P4D"
"2022070763","","69","N","9","3","","2","N","99","U","SUBA","2022","","","","","","","","0","99","JF2GTHNC3NH","1","","1","00","N","N","015","","","2","5","07","12","07","PA","","6.0","T"
"2022040265","","15","N","1","1","","1","N","04","Y","NISS","2011","","","","","","","","0","01","JN8AS5MV7BW","1","","1","00","N","E","005","","","1","1","05","01","01","PA","","6.0","T4W"
"2022040265","","04","N","1","1","","2","N","12","Y","CHEV","2008","","","","","","","","0","01","1G1AK58F987","1","","1","00","N","N","999","","","2","1","01","01","01","PA","","1.0","P4D"
