"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2005144488","","0","","","","","2"
"2005062495","","0","","","","","1"
"2005120134","","0","","B78Y","","7","1"
"2005184406","","0","ZZ","UNKNOWN","9999","7","2"
"2005154803","","0","","","","3","1"
"2005003944","","0","KS","433875","2005","6","1"
"2005197733","","0","IN","Z65289","","7","2"
"2005081100","","0","","J","","","1"
"2005136280","","0","I","","","","2"
"2005093787","","0","","U","","","2"
"2005131976","","0","??","????????????","","","2"
"2005065853","","0","I","J","","","1"
"2005040567","","0","","I","","","1"
"2005140007","","0","","T0O","","","2"
"2005056310","","0","","","","7","3"
"2005153336","","0","","4","","","2"
"2005138617","","0","B","","","","1"
"2006002531","","0","MO","992324","","6","1"
"2006013626","","0","","","","7","2"
"2005065848","","0","B","N8Y","","","2"
"2005137487","","0","I","1I","","","1"
"2005137487","","0","","I","","","2"
"2005140257","","0","MR","","","","1"
"2005181373","","0","","ZZB","","","1"
"2005068203","","0","","1","","","2"
"2005093786","","0","","UBI","","","1"
"2005137486","","0","","1","","","3"
"2006001676","","0","","M0NE","","8","1"
"2005066418","","0","BN","","","","2"
"2005200935","","1","","","","7","2"
"2005137702","","0","I","","","","1"
"2005067542","","0","I","","","","1"
"2005067542","","0","U","","","","2"
"2005153364","","0","","Z","","","2"
"2005056139","","0","ME","0882487","","7","1"
"2005135203","","0","PA","YRJ0756","2005","1","1"
"2005159362","","0","","????????????","","3","1"
"2005159362","","0","??","????????????","","","2"
"2005176067","","0","JE","","","4","1"
"2005121025","","0","","WCI","","7","1"
"2005198733","","0","ME","254LYM","","7","1"
"2005096819","","0","E","","","","1"
"2005096819","","0","BI","I","","","2"
"2005131040","","0","PA","2R550Z6","","7","2"
"2005174484","","0","TN","T662253","2006","7","1"
"2005172305","","0","S","FIW","","7","2"
"2005186275","","0","","BB","","","2"
"2005137479","","0","","1J","","","1"
"2005159753","","0","ME","A332286","05","7","1"
"2005403825","","0","","????????????","","","2"
"2005049005","","0","","I","","","1"
"2005049005","","0","I","","","","2"
"2005077669","","0","L","","","","1"
"2005142325","","0","","????????????","","","1"
"2005180778","","0","","","","7","2"
"2005062185","","0","","YI","","","2"
"2005150702","","0","S","","","","2"
"2005055934","","0","","I","","","1"
"2005137693","","0","","BI","","","1"
"2005161424","","0","??","????????????","","","1"
"2005190335","","0","","1","","","1"
"2005190335","","0","","I","","","2"
"2005065823","","0","61","UO  R","8884","","1"
"2005065823","","0","","","","7","2"
"2005416475","","0","PA","FGD3797","2006","1","2"
"2005211068","","1","","","","3","3"
"2005122811","","0","ME","1033128","1997","7","3"
"2005153371","","0","","","","","1"
"2005152536","","0","","J","","","2"
"2005152536","","0","","J","","","3"
"2005180779","","0","J","51","","","1"
"2005195678","","0","TX","IBEQI74","","7","2"
"2005065824","","0","II","","","","1"
"2005131777","","0","PA","XBF-6348","06","6","2"
"2005115443","","0","PA","XZ29505","2005","3","1"
"2005069702","","0","I","","","","2"
"2005153329","","0","","J","","","1"
"2005064546","","0","B","","","","1"
"2005174366","","0","NZ","1094LB","","7","2"
"2005005713","","0","PA","XBG2936","2005","3","2"
"2005181372","","0","","","","","1"
"2005181372","","0","","B","","","2"
"2005104095","","0","","WW0WJ","","7","1"
"2005128762","","0","ME","0949551","2005","7","1"
"2005160275","","0","PA","X0097","","7","1"
"2005157689","","0","","5","","","2"
"2005175457","","0","I","J1","","","1"
"2005175457","","0","","R","","","2"
"2005119083","","0","","I","","","2"
"2005175965","","0","AJ","L2DY0","","6","1"
"2005175965","","0","JI","","","","2"
"2005123812","","0","ME","181Y091","","7","2"
"2005040337","","0","P","P","","","1"
"2005040337","","0","P","","","","2"
"2005173821","","0","","4","","","2"
"2005187517","","0","","I","","","1"
"2005181351","","0","MI","1","","","2"
"2005121109","","0","PA","7B386","","7","1"
"2005042676","","0","PA","XW52B4","104","7","3"
"2005071930","","0","","5","","","2"
"2005137283","","0","","","","","2"
"2005130257","","0","","ZJ","","","1"
"2005157833","","0","","","","","1"
"2005152359","","0","","1","","","1"
"2005150185","","0","","","","","2"
"2005420592","","0","PA","XP46256","2001","3","1"
"2005421540","","0","PA","XBN67BY","","3","1"
"2005137282","","0","I","","","","2"
"2005174834","","0","","4M","","","1"
"2005064516","","0","","I","","","1"
"2005072954","","0","IL","TIS9668","","7","1"
"2005153056","","0","","5","","","1"
"2005160535","","0","","RI7I91","","7","2"
"2005106090","","0","","I","","","1"
"2005085628","","0","","","","1","2"
"2005052494","","0","W","","","","1"
"2005052494","","0","J","1J","","","3"
"2005194305","","0","PA","XL08149","","6","2"
"2005064519","","0","","I","","","1"
"2005157029","","0","??","????????????","","7","1"
"2005157029","","0","??","????????????","","","2"
"2005077931","","0","I","","","","2"
"2005087838","","0","N","T0U0","","7","2"
"2005150142","","0","M","M","","","1"
"2005126463","","0","","U","","","1"
"2005160602","","0","","I","","","1"
"2005160602","","0","","P","","","2"
"2006008466","","0","","Q3289A","","7","2"
"2005062196","","0","","1","","","1"
"2005106109","","0","","I","","","1"
"2005127040","","0","PA","","","7","1"
"2005109499","","0","ME","I03Y5W","","","2"
"2005139978","","0","J","","","","2"
"2005100946","","0","","I","","","1"
"2005100946","","0","I","1I","","","2"
"2005145737","","0","ME","0X13YS","","7","1"
"2005145737","","0","","1","","","2"
"2005122293","","0","AL","80TR6393","2005","7","1"
"2005096798","","0","","5","","","1"
"2005152032","","0","PA","XZ7297","","3","2"
"2005132485","","0","I","700E","2504","","3"
"2005067693","","0","PA","PT9657C","","7","1"
"2005175088","","0","","4","","","1"
"2005419640","","0","ZZ","A262G","9999","7","2"
"2005127032","","0","","","","7","1"
"2005209785","","1","","","","7","2"
"2005077620","","0","","I","","","1"
"2005052498","","0","Z","Y","","","1"
"2005065866","","0","","","","1","1"
"2005420738","","0","PA","PT1079E","","7","1"
"2005185210","","0","PA","XVB857","","3","6"
"2005137470","","0","","1","","","1"
"2005130243","","0","M","H","","","1"
"2005130243","","0","T","H","","","2"
"2005199196","","0","PA","XW50709","2006","3","1"
"2005093686","","0","PA","EBV5463","","1","2"
"2005153345","","0","","","","","2"
"2005125592","","0","","T2005S","","7","2"
"2005127701","","0","ME","I03I3O","","7","2"
"2005138845","","0","","B","","","1"
"2005186079","","0","IN","77I67Z","","7","1"
"2005087785","","0","","","","1","1"
"2005087785","","0","","","","1","2"
"2005174568","","0","ME","10J190","","7","2"
"2005189723","","0","I","I","","","3"
"2005077603","","0","??","OPGM WYO I","","","1"
"2005064514","","0","","I","","","1"
"2005128568","","0","","VLK","","6","1"
"2005128568","","0","","U0IL","","6","2"
"2006003184","","0","","IZI66I7","","7","2"
"2005043990","","0","MI","AW94S0","","6","1"
"2005109143","","0","","JI","","","2"
"2005065856","","0","","YI","","","1"
"2005060147","","0","I","","","","1"
"2005070726","","0","","","","","1"
"2005181330","","0","IL","II","","","1"
"2005181330","","0","BB","J5","","","2"
"2005189775","","0","PA","8N8IW","","7","1"
"2005065944","","0","","I","","","1"
"2005140335","","0","","","","8","2"
"2005042865","","0","??","????????????","","","2"
"2005195690","","0","OH","TL52076","","7","1"
"2006028100","","0","IL","T3UQ34","","7","2"
"2005124001","","0","","TY9R62","","7","1"
"2005409547","","0","PA","XT21898","2000","3","1"
"2005173120","","0","PA","XM91099","05","3","1"
"2005118925","","0","","I","","","1"
"2005195300","","0","","","","3","2"
"2005152548","","0","","J","","","2"
"2005068226","","0","Y","XMR882","","7","2"
"2005150724","","0","H","","","","1"
"2005150724","","0","M","","","","2"
"2005040592","","0","","I","","","1"
"2005040592","","0","","I","","","2"
"2005153338","","0","","5","","","2"
"2005052491","","0","","I","","","1"
"2005124645","","0","ME","275H4S","","7","1"
"2005126418","","0","","XM2O89","","7","2"
"2005192704","","0","","","","2","2"
"2005087483","","0","","","","","1"
"2005186222","","0","PA","XBD8652","2005","3","1"
"2005158718","","0","??","????????????","","","1"
"2005152545","","0","","JJ","","","1"
"2005192661","","0","","","","","1"
"2005109176","","0","","","","6","1"
"2005195758","","0","","","","7","2"
"2005126067","","0","IL","T324378","2006","7","1"
"2005166859","","0","","I","","","1"
"2005083498","","0","","1","","","1"
"2005083498","","0","GB","","","","4"
"2005088066","","0","Q","T93W8R","","6","1"
"2005127767","","0","","","","7","1"
"2005127767","","0","","","","7","2"
"2005174349","","0","JI","","","","1"
"2005400862","","0","OK","6I07FE","","6","1"
"2005091896","","0","","","","1","2"
"2005080219","","0","","","","9","1"
"2005108851","","0","","","","","1"
"2005125162","","0","","5","","","2"
"2005107601","","0","OH","TMJ2UB3","","7","1"
"2005198620","","0","ON","PSOOQJ","2006","7","2"
"2005173820","","0","MB","R027","","7","2"
"2005121710","","0","","T2S4SDQ","","7","2"
"2005052497","","0","","","","","2"
"2005077671","","0","U","","","","1"
"2005077671","","0","","I","","","2"
"2005064452","","0","I","T","","","1"
"2005198730","","0","ME","25IZ3Y8","","7","2"
"2005123596","","0","","","","7","1"
"2005168541","","0","H","","","","1"
"2005079327","","0","TN","TM6740","","7","2"
"2005174899","","0","W","","","","2"
"2005120525","","0","OH","TMB038","","6","1"
"2005078247","","0","Z","1","","","1"
"2005175111","","0","H","","","","1"
"2005044783","","0","","0MKB","","7","1"
"2005084955","","0","PA","XS76906","0106","7","1"
"2005106529","","0","","UJK","","7","1"
"2005185401","","0","TN","T411853","9999","7","3"
"2005174679","","0","IJ","J","","","2"
"2005195152","","0","PA","XBD2310","","3","1"
"2005192425","","0","OK","7995FG","2004","6","2"
"2005064170","","0","I","","","","2"
"2005151862","","0","","Y","","","2"
"2005137329","","0","","","","","1"
"2005137329","","0","","I","","","2"
"2005137490","","0","II","","","","1"
"2005064599","","0","VA","549299TR","","7","2"
"2005120552","","0","MA","0945276","","7","1"
"2005185631","","0","","2L3SIB4M","","7","2"
"2005180353","","0","","","","","2"
