"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2018110939","","0","TN","U703441","2019","7","2"
"2018019603","","0","PA","HNW5525","2018","1","3"
"2018068173","","0","MO","UNKNOWN","2018","7","2"
"2018055990","","0","PA","PT5185W","2018","6","2"
"2018001888","","0","PA","PT7180V","2018","3","1"
"2018090742","","0","NJ","HV01540","2018","7","2"
"2018008763","","0","PA","SC45869","2018","1","2"
"2018015185","","0","NC","AY59151","2018","7","1"
"2018079000","","0","PA","XLC4729","2019","5","2"
"2018039267","","0","","","","9","1"
"2018090335","","0","PA","MG8020F","","8","2"
"2018028775","","0","IN","P522291","2018","7","1"
"2018027944","","0","MD","35757Y","2020","8","1"
"2018048404","","0","PA","","","1","1"
"2018122421","","0","PA","PT9094W","2014","7","2"
"2018012843","","0","ME","229212C","2022","7","1"
"2018079134","","0","ME","21TRL82944","2018","7","2"
"2018019481","","0","TN","T933746","2018","6","1"
"2018126929","","0","","","","7","2"
"2019001642","","0","OK","8528JL","2019","7","2"
"2018086220","","0","PA","XLJ6194","2015","3","2"
"2018058693","","0","OK","BK6870","2018","7","1"
"2018007040","","0","ME","204508C","2018","7","2"
"2018007498","","0","PA","PT413E3","2099","7","1"
"2018075067","","0","ZZ","UNKNOWN","2019","7","2"
"2019031609","","0","OH","SUM8439","2019","3","1"
"2018022842","","0","","","","7","1"
"2018008295","","0","","","","3","1"
"2018081710","","0","PA","XKY 9398","1999","6","2"
"2018053220","","0","PA","","","1","2"
"2018011797","","0","IL","T527315","2018","7","2"
"2018079108","","0","PA","","","1","1"
"2018074282","","0","PA","","","1","2"
"2018094698","","0","","","","1","1"
"2018024214","","0","PA","PT5792L","2007","7","1"
"2018033746","","0","VA","914 238TR","","6","2"
"2019000383","","0","FL","39 TLR 19852","2020","7","1"
"2018060464","","0","LA","L712058","","8","1"
"2018102244","","0","MS","096702A","2019","7","2"
"2018137637","","0","PA","JZS0061","2019","1","2"
"2018034165","","0","MA","","","1","1"
"2018074475","","0","TN","U699873","","7","1"
"2018062545","","0","MO","31F1EU","2018","7","3"
"2018131475","","0","","","","1","1"
"2018131475","","0","PA","JXJ7486","2018","1","2"
"2018105943","","0","OH","TSB4434","2018","7","2"
"2018086633","","0","PA","PT752E0","2018","7","3"
"2018087925","","0","ZZ","UNK","2019","7","1"
"2018095602","","0","PA","XJK4194","2020","3","1"
"2018064928","","0","","","","1","2"
"2018083244","","0","PA","PT0132Y","2018","3","2"
"2018060528","","0","ME","2827614","2018","7","2"
"2018054593","","0","AB","4LX317","2018","7","1"
"2018060913","","0","PA","XGP3620","2018","3","1"
"2018098719","","0","PA","XP62872","2013","6","1"
"2018065579","","0","PA","PT012A0","2019","6","5"
"2018096033","","0","NY","BF40334","2018","7","1"
"2018119460","","0","PA","XCP4088","2019","3","2"
"2018090623","","0","PA","AG00470","2019","7","1"
"2018107578","","0","PA","PT8573W","2019","7","3"
"2018105866","","0","PA","XGA8610","2018","3","1"
"2018072545","","0","","","","8","1"
"2018072545","","0","IN","P335041","2014","7","4"
"2018098617","","0","PA","XKV0233","2019","7","5"
"2018121043","","0","ZZ","999999999999","","7","1"
"2018074200","","0","PA","PT8460F","2018","7","1"
"2018074200","","0","IL","539257ST","2015","7","2"
"2018043515","","0","ON","P35745","2018","6","3"
"2018020877","","0","WA","2170704","2018","7","1"
"2018044001","","0","IN","P537508","2013","6","2"
"2018104428","","0","PA","XHT4747","2019","7","1"
"2018135925","","0","ZZ","","","9","1"
"2018064949","","0","PA","PT6128V","2018","7","1"
"2018079759","","0","PA","PT3303Z","2019","7","1"
"2018079759","","0","PA","PT8770R","","6","3"
