"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2018062267","","04","N","1","1","","3","N","12","Y","NISS","2002","","","","","","","","0","01","JN1DA31AX2T","1","","1","00","N","E","020","0","","1","1","08","01","01","OH","1","1.0","P4D"
"2018062267","","04","N","3","1","","3","N","06","Y","HOND","2013","","","","","","","","0","01","1HGCR2F30DA","1","","1","00","Y","E","005","0","","2","1","12","02","01","PA","3","1.0","P4D"
"2018062267","","15","N","1","1","","3","N","06","Y","CHEV","2014","","","","","","","","0","01","1GNKVHKD5EJ","1","","1","00","N","E","000","0","","3","1","02","03","01","PA","2","1.0","T4W"
"2018049523","","15","N","1","1","","3","N","03","Y","CADI","2015","","","","","","","","0","01","1GYS4NKJ7FR","2","","1","00","N","S","005","0","","1","1","05","01","04","PA","2","6.0","T4W"
"2018049523","","04","N","1","1","","3","N","11","Y","DODG","2005","","","","","","","","0","01","1B3ES56CX5D","2","","1","00","N","S","040","0","","2","1","07","01","03","PA","1","1.0","P4D"
"2018091926","","04","N","3","1","","1","N","12","Y","VOLK","2016","","","","","","","","0","01","3VWL17AJ4GM","1","","1","00","Y","S","045","0","","1","1","03","01","01","PA","1","1.0","P4D"
"2018091926","","04","N","2","1","","1","N","06","Y","CADI","2017","","","","","","","","0","01","1G6KN5R65HU","2","","1","00","N","S","010","0","","2","1","05","01","01","PA","2","1.0","P4D"
"2018078814","","01","N","1","1","","3","N","12","Y","AUDI","2007","","","","","","","","0","01","WAUAF48H97K","1","","1","00","N","E","002","0","","1","1","01","12","98","PA","1","1.0","PCV"
"2018078814","","40","N","1","1","","3","N","07","Y","TOYT","2007","","","","","","","","0","02","5TDZK23C97S","3","","1","00","N","N","015","0","","2","1","01","01","01","PA","2","7.0","TSV"
"2018073924","","04","N","2","1","","1","N","10","Y","LEXS","2012","","","","","","","","0","01","JTHBK1EG3C2","2","","1","00","Y","W","020","0","","1","1","05","12","03","PA","1","1.0","P4D"
"2018073924","","04","N","1","1","","1","N","03","Y","MAZD","2012","","","","","","","","0","01","JM1BL1V8XC1","2","","1","00","N","W","999","0","","2","1","03","12","01","PA","2","1.0","P4D"
"2018134637","","05","N","3","1","","1","N","12","Y","NISS","2008","","","","","","","","0","02","3N1BC13E98L","1","","4","00","Y","S","035","0","","1","1","01","16","01","PA","1","1.0","P4H"
"2018134637","","15","N","3","1","","1","N","11","Y","MAZD","2013","","","","","","","","0","02","JM3KE4CE9D0","2","","3","00","Y","N","035","0","","2","1","01","17","01","PA","2","6.0","T4W"
"2018033475","9","04","N","3","1","0","1","N","99","Y","BUIC","2013","","","","","","","","0","01","1G4GG5E34DF","1","99","1","00","Y","E","999","0","0","1","1","08","01","99","PA","1","1.0","P4D"
"2018033475","","","N","","","","","N","","","","","U","1.0","99.0","0.0","U","1.0","U","0","00","","1","","","","","","","","","2","30","","99","99","","2","31.0",""
"2018009259","","04","N","2","1","","3","N","01","Y","MAZD","2008","","","","","","","","0","02","JM1BK32G981","3","","1","00","Y","N","999","0","","1","1","02","01","01","PA","1","1.0","P4D"
"2018011136","","41","N","2","1","","1","N","01","Y","NISS","2016","","","","","","","","0","02","1N6BF0LY7GN","1","","1","00","Y","S","999","0","","1","1","03","12","04","OH","1","1.0","TCG"
"2018011136","","04","N","2","1","","1","N","01","Y","CHEV","2011","","","","","","","","0","01","2G1WB5EK4B1","3","","1","00","Y","E","999","0","","2","1","03","01","01","PA","1","1.0","P4D"
