"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2018098406","3.0","2","","1425.0","0","S","3","2.0","0019","","40.0","PERRY HW"
"2018006400","","2","","","0","S","4","4.0","","","25.0","DARTMORE ST"
"2018006400","","2","","","0","W","3","4.0","","","25.0","PARKFIELD ST"
"2018048953","","2","","","0","N","5","4.0","","","35.0","INGOMAR HTS RD"
"2018048953","","2","","","0","E","4","4.0","","","35.0","INGOMAR RD"
"2018048953","3.0","2","","0.0","0","E","3","2.0","4070","","55.0","INGOMAR RD"
"2018048953","","2","","","0","N","6","3.0","","","35.0","HIGHLAND RO"
"2018113437","","2","","","0","N","3","4.0","","","25.0","BRUSHTON AV"
"2018113437","","2","","","0","E","4","4.0","","","25.0","FRANKSTOWN AV"
"2018024992","3.0","2","","1978.0","0","N","3","2.0","0837","","45.0","EAST CARSON ST"
"2018055279","","2","","","0","E","3","4.0","","","15.0","BEACON RD"
"2018078998","3.0","2","","2103.0","0","N","3","2.0","0019","","25.0","PERRYSVILLE AV"
"2018012499","3.0","2","","1860.0","0","E","3","2.0","2122","","25.0","BUTLER ST"
"2018061982","3.0","2","","0.0","0","S","4","2.0","0051","","40.0","CLAIRTON BL"
"2018061982","","2","","","0","E","5","4.0","","","","FRED FIORE DR"
"2018061982","","2","","","0","E","6","4.0","","","","CENTURY III MALL DR"
"2018061982","3.0","2","","0.0","0","N","3","2.0","0051","","40.0","CLAIRTON BL"
"2018135737","3.0","2","","495.0","0","S","3","2.0","0130","","40.0","COAL HOLLOW RD"
"2018137016","","2","","","0","N","3","4.0","","","35.0","BRANDT SCHOOL RD"
"2018074336","","2","","","0","E","4","4.0","","","25.0","SPRINGDALE DR"
"2018074336","3.0","2","","1020.0","0","N","3","2.0","2064","","35.0","LIME HOLLOW RD"
"2018010022","3.0","2","","675.0","0","W","3","2.0","3052","","35.0","GREENTREE RD"
"2018009577","3.0","2","","235.0","0","W","3","2.0","0400","","30.0","PENN AV"
"2018030359","3.0","2","","2100.0","0","S","3","2.0","0051","","40.0","CLAIRTON BL"
"2018133043","","2","","","0","S","3","4.0","","","25.0","MURRAY AV"
"2018011626","","2","","","0","S","4","4.0","","","25.0","CRAFT PL"
"2018011626","","2","","","0","E","3","4.0","","","25.0","CRAFT AV"
"2018074675","3.0","2","","1629.0","0","E","3","2.0","1011","","30.0","GUYS RUN RD"
"2018001221","3.0","2","","1599.0","0","S","3","2.0","0051","","35.0","SAW MILL RUN BL"
"2018000622","","2","","","0","W","3","4.0","","","45.0","GREENSBURG RD"
"2018008763","3.0","2","","2887.0","0","N","3","2.0","0051","","25.0","SAW MILL RUN BL"
"2018127012","","2","","","0","W","3","4.0","","","25.0","5TH AV"
"2018127012","","2","","","0","S","4","4.0","","","25.0","EVANS AV"
"2018138157","3.0","2","","275.0","0","E","3","2.0","2058","","35.0","VERONA RD"
"2018109136","","2","","","0","S","5","4.0","","","25.0","OVERBROOK BL"
"2018109136","3.0","2","","1055.0","0","E","3","2.0","0051","","25.0","SAW MILL RUN BL"
"2018109136","3.0","2","","1075.0","0","W","4","2.0","0051","","25.0","SAW MILL RUN BL"
"2018101680","","2","","","0","N","3","4.0","","","25.0","LIBERTY TN"
"2018103787","","2","","","0","W","4","4.0","","","25.0","FORBES AV"
"2018103787","","2","","","0","S","3","4.0","","","25.0","CHATHAM SQ"
"2018005727","3.0","2","","721.0","0","S","3","2.0","0048","","40.0","LONG RUN RD"
"2018042786","3.0","2","","44.0","0","S","3","2.0","4011","","35.0","ROCHESTER RD"
"2018024129","3.0","2","","776.0","0","N","3","2.0","2037","","35.0","MCKEESPORT BL"
"2018024129","3.0","2","","805.0","0","S","4","2.0","2037","","35.0","MCKEESPORT BL"
"2018024129","","2","","","0","E","5","4.0","","","25.0","MARYLAND AV"
"2018074672","","2","","","0","S","3","3.0","","","35.0","COCHRAN MILL RD"
"2018008802","3.0","2","","1511.0","0","S","3","2.0","0051","","25.0","CLAIRTON BL"
"2018110154","1.0","2","","1597.0","0","S","3","2.0","0028","","40.0","EAST OHIO ST"
"2018072713","","2","","","0","S","3","4.0","","","25.0","HOMEWOOD AV"
"2018072713","","2","","","0","E","4","4.0","","","30.0","FRANKSTOWN AV"
"2018068906","","2","","","0","W","4","4.0","","","25.0","DEHAVEN ST"
"2018068906","3.0","2","","310.0","0","N","3","2.0","4019","","30.0","MT ROYAL BL"
"2018091701","","2","","","0","N","5","4.0","","","30.0","LINCOLN WY"
"2018091701","3.0","2","","1042.0","0","B","3","2.0","0148","","35.0","FIFTH AV"
"2018091701","","2","","","0","E","4","4.0","","","30.0","5TH AV"
"2018068829","1.0","2","","1996.0","0","S","3","1.0","0279","","55.0","NORTH HILLS EX"
"2018112209","3.0","2","","1280.0","0","W","3","2.0","0837","","25.0","EIGHTH AV"
"2018101488","3.0","2","","529.0","0","N","3","2.0","0019","","35.0","BANKSVILLE RD"
"2018091013","3.0","2","","2890.0","0","W","4","2.0","3038","","40.0","CONNOR RD"
"2018091013","","2","","","0","S","5","4.0","","","25.0","OLD CONNOR RD"
"2018091013","","2","","","0","S","6","4.0","","","25.0","FRANKLIN DR"
"2018091013","3.0","2","","2870.0","0","E","3","2.0","3038","","40.0","CONNOR RD"
"2018009318","3.0","2","","1107.0","0","S","3","2.0","2023","","30.0","PORT VUE RD"
"2018003449","","2","","","0","E","4","4.0","","","25.0","MCELHENY RD"
"2018003449","","2","","","0","N","3","3.0","","","35.0","WIBLE RUN RD"
"2018065925","1.0","2","","0.0","1","S","4","2.0","8059","","20.0","GLENWOOD BR INT/RAMP E RD"
"2018065925","2.0","2","","1489.0","0","S","3","2.0","0885","","30.0","MIFFLIN RD"
"2018048282","3.0","2","","1265.0","0","W","3","2.0","2048","","35.0","WILLIAM PENN HW"
"2018112318","","2","","","0","N","3","4.0","","","25.0","SPRING VALLEY RD"
"2018112318","","2","","","0","W","4","4.0","","","25.0","VANADIUM RD"
"2018048287","","2","","","0","E","3","3.0","","","35.0","HOMESTEAD DUQUESNE RD"
"2018012948","3.0","2","","1580.0","0","E","4","2.0","0400","","35.0","BAUM BL"
"2018012948","","2","","","0","S","5","4.0","","","25.0","MILLVALE AV"
"2018012948","3.0","2","","1585.0","0","W","3","2.0","0400","","35.0","BAUM BL"
"2018128484","","2","","","0","N","3","4.0","","","25.0","HOME AV"
"2018138328","3.0","2","","1491.0","0","W","3","2.0","0400","","30.0","LINCOLN HW"
"2018137107","","2","","","0","S","3","4.0","","","35.0","RIDC PARK WEST DR"
"2018102869","","2","","","0","U","3","4.0","","","35.0","CAMP HORNE RD"
"2018139149","","2","","","0","W","4","4.0","","","25.0","GROVE RD"
"2018139149","","2","","","0","N","3","4.0","","","15.0","MCROBERTS RD"
"2018064765","3.0","2","","754.0","0","N","3","2.0","0019","","45.0","PERRY HW"
"2018043670","","2","","","0","W","4","3.0","","","25.0","PINE HOLLOW RD"
"2018043670","","2","","","0","S","3","4.0","","","15.0","N VIREO DR"
"2018012843","1.0","2","","3168.0","0","E","3","5.0","7076","","65.0","EAST/WEST TU"
"2018109895","","2","","","0","S","3","4.0","","","25.0","LUEHM AV"
"2018121501","","2","","","0","W","4","4.0","","","35.0","5TH AV"
"2018121501","","2","","","0","S","3","4.0","","","","MOREWOOD AV"
"2018057569","","2","","","0","E","3","4.0","","","35.0","5TH AV"
"2018012345","3.0","2","","2270.0","0","W","3","2.0","0030","","40.0","LINCOLN HW"
"2018097820","","2","","","0","E","3","4.0","","","25.0","GREENLEE RD"
"2018024554","","2","","","0","S","4","4.0","","","35.0","CALIFORNIA AV"
"2018024554","","2","","","0","E","3","4.0","","","35.0","TERMON AV"
"2018024554","","2","","","0","N","5","4.0","","","25.0","BRIGHTON HEIGHTS BL"
"2019001633","1.0","2","","5254.0","0","W","3","1.0","0376","","55.0","SQUIRREL HILL TN"
"2018039684","1.0","2","","2196.0","0","S","3","1.0","0079","","55.0","RAYMOND P SHAFER HW"
"2018042961","","2","","","0","S","3","4.0","","","25.0","S 18TH ST"
"2018107459","3.0","2","","433.0","0","E","3","2.0","0060","","30.0","STEUBEN ST"
"2018109264","1.0","2","","43.0","1","N","3","2.0","8073","","25.0","RAMP RD/TO SR 0051 RD"
"2018124451","3.0","2","","2595.0","0","N","3","2.0","0051","","40.0","SR 0051 SH"
"2018124451","3.0","2","","0.0","0","N","4","2.0","0051","","40.0","SR 0051 SH"
"2018124451","3.0","2","","0.0","0","S","5","2.0","0051","","40.0","SR 0051 SH"
"2018124451","","2","","","0","W","6","4.0","","","25.0","WORTHINGTON AV"
"2018043380","","2","","","0","W","3","4.0","","","25.0","WYLIE AV"
"2018003382","3.0","2","","1657.0","0","S","3","2.0","0008","","40.0","WILLIAM FLINN HW"
"2018077000","3.0","2","","2069.0","0","E","3","2.0","2108","","25.0","FORBES AV"
"2018067613","3.0","2","","2628.0","0","N","3","2.0","3069","","45.0","LIBERTY BR"
"2018109884","3.0","2","","406.0","0","B","3","2.0","0051","","35.0","FLEMING PARK RD"
"2018043203","","2","","","0","N","3","4.0","","","30.0","SHADY AV"
"2018104866","1.0","2","","81.0","0","E","3","1.0","0376","","55.0","FORT PITT TN"
"2018123657","","2","","","0","S","3","4.0","","","25.0","DINWIDDIE ST"
"2018027092","3.0","2","","2108.0","0","S","3","2.0","0060","","45.0","STEUBENVILLE PK"
"2018131032","3.0","2","","1972.0","0","E","3","2.0","0060","","35.0","STEUBENVILLE PK"
"2019015552","1.0","2","","166.0","0","W","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2018001597","3.0","2","","0.0","0","W","4","2.0","2064","","35.0","LIME HOLLOW RD"
"2018001597","3.0","2","","395.0","0","N","3","2.0","0130","","40.0","COAL HOLLOW RD"
"2018054855","2.0","2","","250.0","0","N","3","2.0","0885","","25.0","MIFFLIN RD"
"2018042091","","2","","","0","E","3","4.0","","","25.0","TIOGA ST"
"2018042091","","2","","","0","E","4","4.0","","","25.0","ROSEDALE ST"
"2018068881","2.0","2","","2852.0","0","S","3","2.0","0885","","30.0","MIFFLIN RD"
"2018038952","3.0","2","","427.0","0","N","3","2.0","0088","","35.0","LIBRARY RD"
"2018122779","","2","","","0","S","4","4.0","","","25.0","BROWNSVILLE RD"
"2018122779","","2","","","0","W","3","4.0","","","25.0","CHURCHVIEW AV"
