"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2018022580","0146","0","0","0","0","0","0","0","0","0","4","0","","02","1","2018","6","40.463281","-80.193852","0146","11","0","0","0","0","0","0","0","0","","0","0","0","","","1","","0","","40 27:47.813","","0","80 11:37.868","4","0","0","0","2213","0","0","0","N","0","0","0","2","68B03","1","","1.0","","8","N","N","","1","","0","0","1","","0","","","2","1","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2018003394","2045","3","0","0","0","0","0","0","0","0","4","0","","02","1","2018","1","40.457278","-79.930083","2030","11","0","0","0","0","0","0","0","0","2","0","0","0","","","1","","0","","40 27:26.200","3","0","79 55:48.300","8","0","0","0","2301","0","0","0","Y","0","0","0","2","02301","0","","6.0","","1","N","N","","0","","0","0","0","","0","N","","3","1","1","0","0","1","0","2","0","3","","","","N","","","","","","","","","",""
"2018003395","1618","2","0","0","0","0","0","0","0","0","1","0","","02","1","2018","1","40.439528","-79.961528","1609","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","0","","40 26:22.300","","0","79 57:41.500","0","0","0","0","2301","0","0","0","N","0","0","0","2","02301","0","","1.0","","1","N","N","","0","","0","0","0","","2","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2018005122","1851","0","0","0","0","0","0","0","0","0","4","0","","02","1","2018","4","40.427843","-79.980641","1851","11","0","0","0","0","0","0","0","0","1","0","0","0","","","0","","1","","40 25:40.234","2","0","79 58:50.306","0","0","0","0","2301","0","0","0","N","0","0","0","2","02301","0","","1.0","","1","N","N","","0","","0","0","2","","0","N","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2018062029","1140","2","0","0","0","0","0","0","0","0","1","0","","02","6","2018","2","40.446638","-79.893654","1135","11","0","0","0","0","0","0","0","0","","0","0","0","","","2","","2","","40 26:47.897","","0","79 53:37.154","4","0","0","0","2301","0","0","0","N","0","0","0","4","02301","2","","1.0","","1","N","N","","0","","0","0","0","","3","N","","3","2","0","0","0","0","0","2","1","3","","","","N","","","","","","","","","",""
"2018003418","0328","0","0","0","0","0","0","0","0","0","4","0","","02","1","2018","1","40.457074","-79.899327","0325","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","0","","40 27:25.468","","0","79 53:57.577","0","0","0","0","2301","0","0","0","N","0","0","0","1","02301","0","","6.0","","1","N","N","","0","","0","0","2","","0","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2018006026","1955","0","0","0","0","0","0","0","0","0","0","0","","02","1","2018","5","40.362401","-79.867704","1950","11","0","0","0","0","0","0","0","0","2","0","0","0","","","0","","2","","40 21:44.643","2","0","79 52:03.734","0","0","0","0","2473","0","0","0","N","0","0","0","3","02473","0","","1.0","","9","N","N","","0","","0","0","1","","0","Y","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2018041000","0827","2","0","0","0","0","0","0","0","0","1","0","","02","4","2018","6","40.417894","-80.055206","0819","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","0","","40 25:04.417","","0","80 03:18.742","0","0","0","0","2435","0","0","0","N","0","0","0","2","68B03","0","","1.0","","1","N","N","","0","","0","0","0","","0","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2018063500","0649","1","0","0","0","0","0","0","0","0","7","0","","02","6","2018","4","40.39498","-80.101921","0631","11","0","0","0","1","0","0","0","0","","0","0","0","","","1","","0","","40 23:41.928","","0","80 06:06.917","3","0","0","0","2102","0","0","0","N","0","0","0","1","68B03","0","","3.0","","9","N","N","","0","","1","0","0","","0","","","1","1","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2018005581","1541","1","0","0","0","0","0","0","0","0","4","0","","02","1","2018","5","40.441289","-80.040292","1534","11","0","0","0","0","0","1","0","0","2","0","0","0","","","1","","0","","40 26:28.640","1","0","80 02:25.051","3","0","0","0","2301","0","0","0","N","0","0","0","5","02301","0","","1.0","","1","N","N","","0","","1","0","0","","0","Y","","2","1","2","0","0","0","0","2","1","2","","","","N","","","","","","","","","",""
"2018038613","2107","0","0","0","0","0","0","0","0","0","6","0","","02","3","2018","3","40.346743","-79.986401","2104","11","0","0","0","0","0","1","1","0","2","0","0","0","","","0","","2","","40 20:48.276","3","0","79 59:11.044","0","0","0","0","2476","0","0","0","N","0","0","0","2","02476","0","","1.0","","9","N","N","","1","","0","0","1","","2","Y","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2018009339","2300","1","0","0","0","0","0","0","0","0","5","0","","02","1","2018","6","40.451083","-80.06525","2245","11","0","0","0","0","0","0","0","0","3","0","0","0","","","0","","0","","40 27:03.900","5","0","80 03:54.900","0","0","0","0","2301","0","0","0","N","0","0","0","1","02301","0","","6.0","","2","N","N","","0","","0","0","2","","0","Y","","4","0","0","0","0","0","0","2","1","4","","","","N","","","","","","","","","",""
"2018001202","0623","2","0","0","0","0","0","0","0","0","1","0","","02","1","2018","4","40.456279","-79.991015","0611","11","0","0","0","0","0","1","0","0","","0","0","0","","","0","","0","","40 27:22.605","","0","79 59:27.655","0","0","0","0","2301","0","0","0","N","0","0","0","5","02301","0","","1.0","","1","N","N","","2","","0","0","0","","0","","","5","0","0","0","0","0","0","2","0","4","","","","N","","","","","","","","","",""
"2018042142","1832","1","0","0","0","0","0","0","0","0","5","0","","02","4","2018","3","40.515729","-80.159682","1831","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","2","","40 30:56.626","","0","80 09:34.856","0","0","0","0","2420","0","0","0","","0","0","0","2","02420","0","","1.0","","1","N","N","","0","","0","0","1","","0","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2018008025","1301","0","0","1","0","0","0","0","0","0","4","0","","02","1","2018","1","40.500044","-80.221987","1258","11","0","0","0","0","0","1","0","0","1","0","0","0","","","2","","1","","40 30:00.157","3","0","80 13:19.152","2","0","0","0","2213","0","0","0","N","0","0","0","3","02213","1","","1.0","","1","N","N","","1","","0","1","0","","2","N","","2","2","0","0","0","0","0","2","1","2","","","","N","","","","","","","","","",""
"2018041880","0917","1","0","0","0","0","0","0","0","0","4","0","","02","4","2018","4","40.412889","-80.010152","0902","11","0","0","0","0","0","0","0","0","1","0","0","0","","","0","","1","","40 24:46.401","4","0","80 00:36.548","0","0","0","0","2301","0","0","0","N","0","0","0","2","02301","0","","1.0","","1","N","N","","0","","0","0","1","","2","N","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2018065406","1904","0","0","0","0","0","0","0","0","0","7","0","","02","6","2018","1","40.507439","-80.041261","1834","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","0","","40 30:26.779","","0","80 02:28.539","0","0","0","0","2116","0","0","0","Y","0","0","0","1","68B03","0","","4.0","","9","N","N","","0","","0","0","1","","0","","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
