"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2010057961","","0","","","","1","2"
"2010021973","","0","OH","TPE6445","2010","6","2"
"2010056053","","0","","","","1","1"
"2010056053","","0","","","","1","2"
"2010099047","","0","TN","1929","2010","7","2"
"2010120190","","0","PA","PT-3618B","2011","7","2"
"2010062180","","0","OK","1057GN","2011","7","2"
"2010070454","","0","ZZ","UNKNOWN","2010","6","1"
"2010027450","","0","TX","W65035","10","6","1"
"2010051331","","0","PA","XFD5793","2014","6","1"
"2010057672","","0","VA","","","7","2"
"2010114876","","0","PA","XR08807","2010","7","2"
"2010082832","","0","OH","TNA7240","2011","6","1"
"2010040297","","0","ME","1351562","2010","7","1"
"2010071555","","0","PA","XFE4679","2011","3","1"
"2010061539","","0","PA","PT9243M","","7","1"
"2010073853","","0","PA","XL20448","2013","3","1"
"2010048165","","0","PA","XS13870","1975","7","2"
"2010118231","","0","","","","1","1"
"2010118231","","0","","","","1","3"
"2010115439","","0","PA","","","1","1"
"2010115439","","0","PA","","","1","2"
"2010058435","","0","PA","XCP4896","2011","3","1"
"2010053343","","0","","","","8","1"
"2010022579","","0","ME","1132189","2010","7","1"
"2010045957","","0","PA","PT8851N","99","6","1"
"2010009183","","0","IN","P173859","2010","7","2"
"2010012930","","0","PA","XFC9874","2010","7","2"
"2010072257","","0","PA","PT0743J","2010","7","1"
"2010072257","","0","PA","XFY2871","2010","3","2"
"2010068710","","0","PA","XDH8873","2011","3","1"
"2010067118","","0","PA","XKF9816","2011","6","4"
"2010010610","","0","PA","FXT3971","10","1","1"
"2010102972","","0","TX","0S2VJF","","6","1"
"2010023732","","0","IL","394256IL","2010","6","2"
"2010061289","","0","OH","TNB1365","2011","7","1"
"2010082626","","0","PA","XY01150","2011","7","1"
"2010077094","","0","MN","87572ST","10","7","1"
"2010100802","","0","","","","7","1"
"2010087972","","0","PA","XFS5727","0411","3","1"
"2010117194","","0","","","","1","1"
"2010117194","","0","","","","1","2"
"2010075715","","0","TN","T837568","2011","7","2"
"2010045942","","0","PA","HHL7797","10","1","2"
"2010122625","","0","PA","XFH1076","2010","6","1"
"2010095658","","0","","","","6","2"
"2010114797","","0","TN","T829283","1984","6","1"
"2010065626","","0","OK","8333D0","2010","7","2"
"2010005099","","0","","","","1","1"
"2010088277","","0","PA","XY01150","2011","7","1"
"2010059287","","0","PA","PT3497M","9999","7","2"
"2010127842","","0","IN","SP870AAB","2011","7","2"
"2010105783","","0","PA","XCJ9479","","3","2"
"2010022857","","0","","","","2","1"
"2010008167","","0","ME","1077421","2010","7","1"
"2010037113","","0","","","","1","2"
"2010037113","","0","","","","1","3"
"2010093173","","0","ME","1282963","2012","6","1"
"2010036709","","0","PA","PT2388L","2010","6","2"
"2010088173","","0","IN","9958EQ","2011","7","1"
"2010057721","","0","PA","XCT1370","2011","3","1"
"2010090845","","0","IN","359015","2011","7","1"
"2010036529","","0","PA","PT7997M","2010","3","1"
"2010031985","","0","OK","715ODU","10","6","1"
"2010082627","","0","PA","PT8405L","2010","7","1"
"2010082185","","0","","","","1","2"
"2010017624","","0","VA","136041TL","2010","7","2"
"2010130019","","0","PA","XCC2675","2011","3","2"
"2010126757","","0","","","","7","1"
"2010068673","","0","PA","XDM0873","2010","3","2"
"2010089458","","0","OH","TPQ-8242","2011","6","1"
"2010090840","","0","OH","TNX4787","1990","7","1"
"2010090840","","0","ND","T194694","2012","7","2"
"2011006823","","0","TN","U082469","9999","7","1"
"2011006823","","0","TN","T410534","9999","7","3"
"2010089643","","0","PA","T824405","2010","7","2"
"2010019712","","0","TX","TPD2417","2010","7","3"
"2010115990","","0","PA","PT6956P","11","6","2"
"2010005220","","0","OH","TPG-8699","2010","7","2"
"2010042668","","0","PA","HME1776","2010","1","1"
"2010042668","","0","PA","HLE2481","2010","1","2"
"2010106629","","0","PA","DWP4600","2011","1","2"
"2010106629","","0","PA","YYM6268","2011","1","3"
"2010123804","","0","PA","PT 1838D","11","7","1"
"2010127841","","0","IL","T337656","2010","7","2"
"2010004282","","0","","","","8","1"
"2010007305","","0","PA","AF59757","","6","2"
"2010045879","","0","CA","4BU1082","2011","3","1"
"2010042693","","0","MI","A230171","","6","2"
"2010103742","","0","PA","XBE1512","11","7","1"
"2010075323","","0","PA","PT6084M","2010","6","2"
"2010004321","","0","PA","HGL1696","10","1","2"
"2010120524","","0","IA","T10959","2011","7","3"
"2010039557","","0","PA","XBL9345","2012","6","2"
"2010056988","","0","PA","XV10036","2010","6","1"
"2010043919","","0","OK","1286ET","2010","7","2"
"2010018022","","0","PA","XFF7693","2010","8","2"
"2010017383","","0","PA","XZ-61507","2004","3","1"
"2010077365","","0","IN","513772","1994","7","1"
"2010113878","","0","WI","573883","2004","7","1"
"2010090193","","0","ZZ","","","9","1"
"2010045522","","0","PA","PT6576F","2012","6","1"
"2010111135","","0","NY","AX34958","","7","1"
"2010019820","","0","PA","PT7086E","10","7","1"
"2010054176","","0","PA","XFC7699","2010","7","1"
"2010017525","","0","MN","0717STC","2010","7","2"
"2010111556","","0","IN","P124913","2011","7","1"
"2010049908","","0","VA","17500TL","9999","7","2"
"2010061443","","0","","","","1","1"
"2010061443","","0","","","","1","2"
"2010061443","","0","","","","1","3"
"2010004731","","0","TX","X73623","","7","1"
"2010004045","","0","ID","ZJ4433","2010","7","1"
"2010047001","","0","IN","P39513","2011","6","1"
"2010040033","","0","ME","1642202","","7","1"
"2010066216","","0","","","","7","1"
"2010089378","","0","PA","XS36030","11","6","1"
"2010029815","","0","IL","378996","10","7","1"
"2010101008","","0","","","","1","1"
"2010012286","","0","FL","Z9835M","10","6","1"
"2010085994","","0","PA","XCS1197","2011","5","2"
"2010060065","","0","","","","1","1"
"2010060065","","0","","","","1","2"
"2010093817","","0","PA","XZ64442","2011","3","1"
"2010087166","","0","MI","B636189","2011","7","1"
"2010118896","","0","OK","7342EP","2011","7","1"
"2010019717","","0","OH","TMS5756","2010","7","1"
"2010038219","","0","ME","1730830","2010","6","2"
"2010061732","","0","NJ","PT8366P","99","6","1"
"2010043903","","0","","","","6","2"
"2010062899","","0","PA","XZ31494","2011","6","1"
"2010085366","","0","PA","XW41856","2010","3","1"
"2010019989","","0","ME","1S63788","","6","1"
"2010118477","","0","PA","PT6783H","2099","7","2"
"2010118477","","0","PA","PT8284L","2099","7","3"
"2010032022","","0","PA","PT6707H","","7","1"
"2010008346","","0","OH","TNX5451","2010","6","1"
"2010017709","","0","NJ","AG204B","2010","6","1"
"2010089542","","0","PA","XGA-6950","2010","6","1"
"2011000233","","0","ME","UNKNOWN","2000","7","2"
"2010059971","","0","OH","TLB6770","","7","1"
"2010056620","","0","OH","TPG9904","2010","7","1"
"2010081096","","0","ME","1554401","2010","6","2"
"2010031386","","0","","000000000","2010","8","2"
"2010004314","","0","NE","115672","","7","1"
"2010011919","","0","WY","TRLA3322","2010","7","1"
"2010109256","","0","CA","4HR7383","2011","7","1"
"2010085410","","0","","","","8","1"
"2010085410","","0","PA","XS92409","0111","7","3"
"2010011314","","0","IL","T354603","2010","7","1"
"2010125545","","0","OH","TPM5315","2011","6","2"
"2010129825","","0","MI","B355970","2005","3","2"
"2010124869","","0","IL","T413856","2011","6","1"
"2010033144","","0","TX","09X-FCG","2006","6","1"
"2010059992","","0","","","","7","2"
"2010060866","","0","WI","523701","2010","7","1"
"2010018107","","0","ON","E6465F","2010","7","1"
"2010066739","","0","FL","2435","2004","7","1"
"2010116526","","0","ON","F4803L","2011","7","1"
"2010110002","","0","IN","P253026","2011","7","1"
"2010078149","","0","NC","AA17630","2099","7","2"
"2010065880","","0","TN","T931280","2006","6","1"
"2010089882","","0","MO","PT1121","2011","7","1"
