"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2020067063","","0","PA","LCW4648","2020","1","2"
"2020101062","","0","PA","XLV6997","2020","3","2"
"2020063002","","0","PA","","","8","1"
"2020073323","","0","","","","9","1"
"2020013606","","0","PA","","","2","3"
"2020034177","","0","PA","PT101F4","2020","6","3"
"2020064822","","0","PA","KYC1415","2021","1","2"
"2020064822","","0","PA","HKD6798","2021","1","3"
"2020002231","","0","PA","XJN1794","2002","7","3"
"2020063327","","0","PA","PT2631H","","7","1"
"2020093143","","0","OH","TQR4287","2021","7","2"
"2020072529","","0","PA","XJN-4051","2018","3","1"
"2020066656","","0","IN","P989294","2021","7","1"
"2020067503","","0","AL","A0624555","2020","7","1"
"2020017075","","0","IN","P403364","","7","1"
"2020064524","","0","PA","PT347D0","1993","7","2"
"2020050239","","1","MD","","","1","2"
"2020014903","","0","","","","1","3"
"2020048674","","0","PA","XLH1265","","3","1"
"2020031097","","0","PA","LCZ0747","2014","1","1"
"2020064868","","0","PA","PT133E9","2020","7","1"
"2020064868","","0","IL","705043ST","2020","7","4"
"2020050194","","0","IL","644929ST","2019","6","1"
"2020050322","","0","PA","XM73790","2020","3","1"
"2020025589","","0","","","","7","2"
"2020031270","","0","PA","XJK6861","2021","3","2"
"2020098405","","0","ZZ","NONE","2009","6","2"
"2020108918","","0","FL","7245CZ","2013","7","1"
"2020110824","","0","NJ","TVX88K","2021","7","2"
"2020064944","","0","PA","1LN84","2021","8","1"
"2020018333","","0","IN","P280264","2099","7","3"
"2020069502","","0","IL","","","7","1"
"2020048148","","0","PA","XKM7577","","3","1"
"2020111394","","0","ZZ","UNKNOWN","9999","7","2"
"2020070590","","0","MI","E020656","9999","6","2"
"2020018184","","0","PA","AG82801","2020","7","2"
"2020112618","","0","PA","XMJ1169","2021","3","1"
"2020048160","","0","TN","859680","2020","7","1"
"2020017906","","0","OK","2907EA","","7","2"
"2020000685","","0","PA","KDY0986","2021","1","2"
"2020000685","","0","PA","KPL5798","2020","1","3"
"2020009806","","0","PA","KVB0528","2020","1","1"
"2020009806","","0","PA","ZFY1045","2021","9","2"
"2020009806","","0","PA","KCV6827","2020","1","4"
"2021001469","","0","ME","2911076","2021","7","2"
"2020068850","","0","","","","8","1"
"2020047316","","0","IN","P557628","","6","2"
"2020036066","","0","PA","XZ86181","2021","3","3"
"2020046591","","0","ME","241319C","2020","6","1"
"2020083412","","0","","","","1","1"
"2020093285","","0","","","","1","1"
"2020087589","","0","MD","153526X","2021","6","1"
"2020042576","","0","PA","XGW9040","2021","6","2"
"2020090533","","0","OK","AV3721","9999","7","1"
"2020096131","","0","PA","PT380G2","2020","6","1"
"2020067396","","0","PA","PT 9485Y","2020","7","1"
"2020049845","","0","PA","XCR7884","2024","6","1"
"2020080358","","0","IL","720174ST","2020","6","1"
"2020043827","","0","TN","U566234","","7","2"
"2020020509","","0","ME","24-7631E","2016","7","2"
"2020044452","","0","PA","PT486H4","2020","6","1"
"2020101066","","0","PA","PT8736Z","2022","3","2"
"2020013593","","0","OH","TQS6791","2020","7","1"
"2020034335","","0","IL","T360574","2020","7","1"
"2020073099","","0","ME","254381A","2020","7","2"
"2020051410","","0","PA","PT289E6","2020","7","2"
"2020079466","","1","WA","62149AA","2020","3","2"
"2020104158","","0","PA","XLP3322","2021","3","1"
"2020064852","","0","PA","YXJ1039","2019","8","1"
"2020080094","","0","OH","TPG4123","20","3","1"
"2020046046","","0","IL","526746ST","2020","7","1"
"2020040945","","0","PA","PT958G7","2099","7","1"
"2020040945","","0","CA","4PR8093","2099","7","3"
"2020073238","","0","","","","2","2"
"2020063890","","0","PA","PT5115P","2020","7","1"
"2020051045","","0","PA","XMC0555","2020","3","2"
"2020054307","","0","PA","XLR9288","2019","3","2"
"2020054099","","0","ME","25TLR1023A","2020","6","1"
"2020101502","","0","PA","XKE-7045","2021","2","2"
"2020047902","","0","","","","1","1"
"2020033531","","0","PA","PT2042B","","3","1"
"2020099829","","0","","","","1","1"
"2020096901","","0","TN","U383300","2099","7","2"
"2020073017","","0","PA","LDF7458","2017","1","2"
"2020073017","","0","PA","LFM9837","2005","1","3"
"2020107609","","0","PA","","","2","1"
"2020099677","","0","PA","B766SME","2020","8","2"
"2020090503","","0","PA","01","2020","1","1"
"2020063568","","0","PA","XJE2566","2023","3","2"
"2020061060","","0","PA","XJT7036","2004","6","2"
"2020108933","","0","","","","1","1"
"2020078149","","0","KY","P271340","","7","2"
"2020027050","","0","PA","PT5257Z","","6","1"
"2020058242","","0","AL","51TR533A","","6","1"
"2020108445","","0","OK","5802JS","2021","7","1"
"2020016201","","0","OH","TRK3763","2020","7","2"
"2020016598","","0","PA","WR86183","2004","1","2"
"2020100758","","0","OH","TRP6976","2022","7","1"
"2020080212","","0","PA","XJC7493","21","6","1"
"2020063566","","0","PA","","","1","1"
"2020089698","","0","PA","XMF 0767","2020","6","5"
"2020078881","","0","ID","TN2678","2099","7","1"
