"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2020035817","","15","N","3","1","","2","N","12","Y","MERC","2011","","","","","","","","0","01","4M2CN9B79BK","1","","1","00","Y","E","030","0","","1","1","02","01","01","PA","","6.0","T4W"
"2020000625","","15","N","3","1","","1","N","02","Y","CADI","2013","","","","","","","","0","01","3GYFNJE34DS","2","","1","00","Y","W","999","","","1","1","05","01","01","PA","","1.0","T4W"
"2020110112","","04","N","3","1","","1","N","11","Y","SUBA","2013","","","","","","","","0","02","4S3BMBC63D3","2","","1","00","Y","N","005","0","","1","1","07","18","03","PA","","1.0","P4D"
"2020110112","","02","N","3","1","","1","N","12","Y","CHEV","2002","","","","","","","","0","01","1G1JH12F027","1","","1","00","Y","E","035","0","","2","1","02","01","03","PA","","1.0","PCP"
"2020079499","","04","N","3","1","","1","N","12","Y","CHRY","2012","","","","","","","","0","01","1C3CCBAB7CN","1","","1","00","Y","W","999","0","","1","1","05","02","01","PA","","1.0","P4D"
"2020079499","","02","N","1","1","","1","N","06","Y","HYUN","2013","","","","","","","","0","01","KMHDH6AEXDU","1","","1","00","N","W","000","0","","2","1","01","03","01","PA","","1.0","PCP"
"2020031726","","04","N","3","1","","3","N","12","Y","HYUN","2006","","","","","","","","0","01","5NPEU46FX6H","1","","1","00","Y","S","999","0","","1","1","05","01","02","PA","","1.0","P4D"
"2020031726","","15","N","3","1","","1","N","05","Y","LINC","2017","","","","","","","","0","01","5LMTJ3DH8HU","1","","1","00","Y","W","999","0","","2","1","05","01","01","PA","","6.0","T4W"
"2020097780","","15","N","3","1","","3","N","12","Y","TOYT","2016","","","","","","","","0","01","2T3RFREV6GW","2","","1","00","Y","E","999","","","1","1","05","01","03","PA","","6.0","T4W"
"2020097780","","15","N","2","1","","3","N","06","Y","FORD","2013","","","","","","","","0","02","2FMDK4JC6DB","1","","1","00","N","E","999","","","2","1","07","02","03","PA","","6.0","T4W"
"2020019389","","15","N","3","1","","1","N","12","Y","KIA","2007","","","","","","","","0","01","KNDJE723277","1","","1","00","Y","S","010","0","","1","1","08","01","04","PA","","6.0","T4W"
"2020019389","","39","Y","1","1","","1","N","06","Y","THMS","2012","","","","","","","","0","02","1T88S4E22C1","15","","1","11","N","S","000","0","","2","1","06","03","04","PA","","3.0","TBU"
"2020050821","","15","N","3","1","","1","N","01","Y","TOYT","2012","","","","","","","","0","01","5TDDK3EH9CS","1","","1","00","Y","S","030","0","","1","1","11","12","01","PA","","1.0","T4W"
"2020050821","","15","N","3","1","","1","N","12","Y","GMC","2013","","","","","","","","0","01","1GKKVPKD3DJ","3","","1","00","Y","N","030","0","","2","1","12","01","01","PA","","1.0","T4W"
"2020033895","0","04","N","3","1","0","5","N","12","Y","FORD","2005","","","","","","","","0","01","1FAFP25125G","1","12","1","00","Y","E","079","0","0","1","1","02","01","01","PA","","1.0","P4D"
"2020060317","","04","N","3","1","","1","N","12","Y","TOYT","2006","","","","","","","","0","01","JTDBE32K663","1","","1","00","Y","E","999","0","","1","1","02","10","03","PA","","1.0","P4D"
"2020100545","","09","N","1","2","","1","N","01","U","UNKN","","","","","","","","","0","00","","1","","1","00","N","N","999","0","","1","1","99","01","01","ZZ","","1.0",""
"2020100545","","05","N","3","2","","1","N","11","Y","TOYT","2007","","","","","","","","1","","JTDKB20U177","0","","1","00","Y","U","000","0","","2","2","01","06","01","PA","","1.0","P4H"
"2020006981","","09","N","1","1","","3","N","14","Y","TOYT","2018","","","","","","","","0","02","4T1B11HK3JU","2","","3","00","N","E","999","0","","1","1","01","08","01","PA","","1.0","P"
"2020006981","","19","N","","","","","N","00","","","","","","","","","","","0","","","0","","4","","","","","0","","2","51","02","16","","","","6.0",""
"2020022732","","51","Y","1","1","","1","N","11","Y","FRHT","2017","","","","","","","","0","02","3ALMGNDR2HD","1","","1","00","N","N","035","","","1","1","03","15","06","IN","","5.0","TCC"
"2020022732","","04","N","2","1","","1","N","05","Y","BMW","2009","","","","","","","","0","01","WBAPH77599N","1","","1","00","Y","N","025","","","2","1","05","01","06","PA","","1.0","P4D"
"2020022732","","04","N","3","1","","1","N","01","Y","NISS","2015","","","","","","","","0","01","1N4AL3AP5FN","1","","1","00","Y","N","035","","","3","1","07","01","03","PA","","1.0","P4D"
"2020077135","","15","N","1","1","","3","N","11","Y","JEEP","2014","","","","","","","","0","01","1C4PJMCS5EW","3","","1","00","N","W","999","0","","1","1","05","12","01","PA","","1.0","T4W"
