"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2024067315","Y","Y","U","N","N","N","0","Y","N","01746","Y","Y","N","Y","Y","1","Y","N","N","1"
"2024117527","N","U","U","U","U","U","9","U","U","00745","U","","","","","","","","U","1"
"2024052243","N","U","U","Y","Y","Y","1","Y","N","99999","N","","","","","","","","N","3"
"2024087600","Y","Y","U","U","U","Y","1","Y","Y","12345","N","","","","","","","","N","1"
"2024051648","","","","","","","","","","","","","","","","","","","","2"
"2024102881","","","","","","","","","","","","","","","","","","","","2"
"2024086040","N","U","N","Y","U","Y","1","Y","Y","01000","N","","","","","","","","N","2"
"2024048901","Y","U","U","N","N","N","0","N","N","01450","N","","","","","","","","N","1"
"2024088343","N","N","U","N","N","N","0","Y","Y","00050","N","","","","","","","","N","1"
"2024051301","Y","N","Y","N","N","N","0","Y","Y","01100","N","","","","","","","","N","1"
"2024089152","N","U","U","U","U","U","9","Y","Y","29600","N","","","","","","","","N","1"
"2024089152","N","U","U","U","U","Y","1","Y","Y","29600","N","","","","","","","","N","2"
"2024043865","Y","U","Y","Y","N","N","0","Y","Y","99999","N","","","","","","","","N","1"
"2024093462","Y","U","U","U","U","Y","9","Y","N","00000","N","","","","","","","","N","1"
"2024081361","N","U","U","N","N","N","0","Y","Y","13000","N","","","","","","","","N","1"
"2024025015","N","Y","Y","Y","U","U","9","Y","Y","01200","N","","","","","","","","N","2"
"2024025015","Y","Y","Y","Y","U","U","9","Y","Y","01700","N","","","","","","","","N","3"
"2024037285","Y","U","Y","Y","U","Y","3","Y","N","01100","N","","","","","","","","N","1"
"2024044634","N","U","Y","Y","Y","Y","1","Y","N","00399","N","","","","","","","","N","1"
"2025017944","Y","Y","N","Y","N","N","0","Y","N","01800","N","","","","","","","","N","1"
"2024061553","Y","N","U","Y","Y","Y","3","Y","Y","01746","N","","","","","","","","N","2"
"2024042842","N","Y","Y","Y","N","N","0","Y","N","01200","Y","Y","N","N","N","0","Y","N","N","2"
"2024026317","N","Y","Y","Y","Y","Y","1","Y","Y","00798","N","","","","","","","","N","1"
"2024088216","","","","","","","","","","","","","","","","","","","","2"
"2024093751","N","N","Y","Y","Y","Y","3","Y","Y","01200","N","","","","","","","","N","2"
"2024060546","Y","U","Y","Y","U","U","1","Y","Y","14490","N","","","","","","","","N","1"
"2025024303","N","U","U","Y","U","Y","1","Y","Y","99999","N","","","","","","","","N","1"
