"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2006056991","","15","N","1","1","","3","N","01","Y","MAZD","2005","","","","","","","","0","01","4F2YZ94185K","1","","1","00","N","W","999","0","","1","1","12","01","01","PA","2","6.0","PUT"
"2006056991","","","N","9","3","","1","N","12","","","","U","99.0","0.0","9.0","U","99.0","U","0","00","","1","","1","00","N","S","999","","","2","30","99","99","30","","1","20.0",""
"2006091840","0","09","Y","3","1","0","3","N","11","Y","OTHR","2001","","","","","","","","0","02","YE2CC12B512","13","11","1","12","Y","W","055","0","0","1","1","03","01","01","NY","1","3.0","P"
"2006079022","","15","N","3","1","","1","N","12","Y","MITS","2001","","","","","","","","0","02","JA4MT41R51P","3","","1","00","Y","S","099","","","1","1","99","01","01","PA","1","6.0","PUT"
"2006079022","","04","N","1","1","","1","N","06","Y","TOYT","2006","","","","","","","","0","02","4T1BK36B36U","1","","1","00","N","S","000","","","2","1","07","03","01","PA","3","1.0","P4D"
"2006079022","","05","N","1","1","","1","N","06","Y","SAA","1996","","","","","","","","0","01","YS3DF58N0T2","1","","1","00","N","S","000","","","3","1","05","03","01","PA","2","1.0","P4H"
"2006103318","","59","N","1","1","","1","N","12","Y","FORD","2003","","","","","","","","0","02","","1","","1","00","N","N","005","0","","1","1","03","01","01","AZ","1","4.0",""
"2006103318","","04","N","2","1","","3","N","11","Y","TOYT","2000","","","","","","","","0","01","4T1BF28BXYU","1","","1","00","N","W","020","0","","2","1","05","01","01","PA","2","1.0","P4D"
"2006040811","","04","N","3","1","","2","N","01","Y","LEXS","1993","","","","","","","","0","02","JT8VK13TXP0","1","","1","00","Y","S","045","0","","1","1","09","01","01","PA","1","1.0","P4D"
"2006040811","","04","N","","","","","N","00","U","","","","","","","","","","0","","","0","","1","","","","000","0","","2","51","99","","","","","","P4D"
"2006002148","","09","N","1","1","","2","N","11","Y","HYUN","1999","","","","","","","","0","01","KMHJF25F9XU","1","","2","00","N","S","010","0","","1","1","04","12","07","PA","1","1.0","'"
"2006002148","","02","N","2","1","","3","N","05","Y","TOYT","2000","","","","","","","","0","01","JTDAT1235Y5","1","","4","00","N","W","030","0","","2","1","07","16","06","PA","2","1.0","P2D"
"2006017755","","12","N","3","1","","1","N","11","Y","CHEV","2003","","","","","","","","0","02","1GNDX03E23D","1","","1","11","Y","N","999","0","","1","1","03","98","07","PA","1","7.0","PSV"
"2006017755","","06","N","1","1","","1","N","07","U","FORD","1997","","","","","","","","0","02","3FALP15P4VR","3","","1","00","N","S","999","0","","2","1","06","01","03","PA","2","1.0","PSW"
"2006017755","","04","N","3","1","","4","N","01","Y","LEXS","2004","","","","","","","","0","01","JTHBA30G140","1","","1","00","Y","S","999","0","","3","1","07","01","01","PA","2","1.0","P4D"
"2007000525","","04","N","3","1","","1","N","12","N","HOND","2000","","","","","","","","0","01","2HGEJ6610YH","3","","1","00","Y","E","055","0","","1","1","03","01","01","PA","1","1.0","P4D"
"2006122814","","09","N","3","1","","1","N","00","Y","VOLK","1997","","","","","","","","0","01","3VWFA81A7VM","1","","1","00","Y","N","999","0","","1","1","01","01","02","PA","0","1.0","P"
"2006038517","","09","N","2","4","","3","N","01","Y","HOND","2003","","","","","","","","0","02","1HGEM22115L","1","","1","00","Y","E","999","0","","1","1","07","01","01","PA","1","1.0","'"
"2006038517","","09","N","3","2","","3","N","01","Y","FORD","1995","","","","","","","","1","","1FASP11J0SW","0","","1","00","Y","","000","0","","2","2","04","06","11","PA","2","1.0","'"
"2006085957","","50","N","3","1","","2","N","00","Y","GMC","1990","","","","","","","","0","01","2GTEC14HXL1","2","","1","00","Y","N","055","0","","1","1","03","01","01","PA","0","4.0","TPK"
"2006042086","","03","N","3","1","","1","N","05","Y","HOND","1991","","","","","","","","0","01","JHMED8455MS","2","","1","00","Y","S","999","0","","1","1","01","12","07","PA","2","1.0","P2H"
