"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2006014171","","2","04","966.0","0","N","3","2.0","3160","","55.0","BUS 60 NORTH PY"
"2006119084","","2","03","1786.0","0","N","3","2.0","0065","","40.0","OHIO RIVER BL"
"2006015283","3.0","2","02","10.0","0","S","3","2.0","0019","","",""
"2006041675","","2","02","0.0","0","N","3","4.0","","","25.0","THIRD AV"
"2006014030","","2","02","","0","N","3","4.0","","","25.0","BROOKSIDE DR"
"2006105501","2.0","2","04","1959.0","0","E","3","2.0","0050","","55.0",""
"2006201966","3.0","2","02","3045.0","0","E","3","2.0","2031","","40.0",""
"2006044451","","2","02","0.0","0","S","3","4.0","","","20.0","DOROTHY ST"
"2006017014","1.0","2","02","850.0","0","S","3","2.0","2114","","25.0","DUQUESNE BR"
"2006048633","","2","04","","0","E","3","4.0","","","25.0","NEGLEY RUN RD"
"2006048633","","2","04","","0","N","4","4.0","","","25.0","WASHINGTON BL"
"2006109161","3.0","2","04","345.0","0","S","3","2.0","4003","","45.0","MCKNIGHT RD"
"2006125146","1.0","2","03","1720.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2006060323","","2","02","0.0","0","N","4","4.0","","","","ORCHARD ST"
"2006060323","3.0","2","02","0.0","0","E","3","2.0","4036","","25.0","MAIN ST"
"2006205669","3.0","2","02","2684.0","0","N","3","2.0","0837","","50.0",""
"2006063209","","2","02","","0","N","3","4.0","","","","SUFFOLK ST"
"2006122920","","2","02","0.0","0","","3","4.0","","","25.0","MAIN ST"
"2006070639","","2","04","0.0","0","N","3","3.0","","","40.0","PITTSBURGH MCKEE RD"
"2006045309","","2","02","","0","N","4","4.0","","","","SEVENTEENTH ST"
"2006045309","","2","02","","0","W","3","4.0","","","","LIBERTY AV"
"2006129535","3.0","2","4","2806.0","0","E","3","2.0","0008","","25.0","PENN AV"
"2006129535","","2","99","","0","U","4","4.0","","","","EAST END AV"
"2006058351","3.0","2","02","0.0","0","E","3","2.0","4024","","35.0","BABCOCK BL"
"2006058351","3.0","2","02","0.0","0","N","4","2.0","4031","","35.0","BABCOCK BL"
"2006092550","","2","02","0.0","0","W","3","3.0","","","35.0","BETHEL CHURCH RD"
"2006092550","","2","02","0.0","0","N","4","3.0","","","35.0","FORT COUCH RD"
"2006131282","1.0","2","03","2025.0","0","N","3","2.0","0376","","65.0",""
"2006113625","","2","02","","0","N","3","4.0","","","25.0","WYOMING ST"
"2006113625","","2","02","","0","W","4","4.0","","","25.0","GRANDVIEW AV"
"2006047630","","2","02","0.0","0","U","3","4.0","","","","WENZELL AV"
"2006047630","","2","02","0.0","0","U","4","4.0","","","","WENZELL PL"
"2006058590","","2","02","0.0","0","N","4","4.0","","","25.0","ARDEN DR"
"2006058590","3.0","2","02","481.0","0","E","3","2.0","4026","","35.0","SAMPLE RD"
"2006057008","3.0","2","02","740.0","0","E","3","2.0","0837","","35.0","EAST CARSON ST"
"2006123361","3.0","2","02","2886.0","0","S","3","2.0","4019","","30.0","MT ROYAL BL"
"2006118306","2.0","2","02","1235.0","0","N","3","2.0","0065","","55.0","OHIO RIVER BL"
"2006118306","2.0","2","02","1225.0","0","S","4","2.0","0065","","55.0","OHIO RIVER BL"
"2006118306","3.0","2","02","3864.0","0","E","5","2.0","3104","","35.0","MCKEES ROCKS BR"
"2006118306","","2","02","","0","E","6","4.0","","","","TERMON AV"
"2006096708","","2","01","","0","N","4","3.0","","","35.0","GLENN AV"
"2006096708","","2","01","","0","E","3","4.0","","","25.0","PENNSYLVANIA AV"
"2006093349","","2","02","0.0","0","N","3","4.0","","","25.0","WHITE ST"
"2006093349","","2","02","0.0","0","W","4","4.0","","","25.0","SHAW AV"
"2006053412","","2","02","","0","S","3","4.0","","","25.0","HAVANA DR"
"2006053412","","2","02","","0","E","4","4.0","","","25.0","HOLIDAY PARK DR"
"2006106318","","2","02","0.0","0","E","3","4.0","","","25.0","FISHER ST"
"2006097430","","2","04","0.0","0","","3","3.0","","","35.0","MONROEVILLE BL"
"2006019707","","2","02","","0","E","5","4.0","","","25.0","ARLA DR"
"2006019707","3.0","2","02","2295.0","0","N","3","2.0","0121","","35.0","GREENTREE RD"
"2006019707","3.0","2","02","2190.0","0","S","4","2.0","0121","","35.0","GREENTREE RD"
"2006124349","2.0","2","02","0.0","0","N","3","2.0","0051","","50.0","HAYDEN BL"
"2006049051","1.0","2","03","1435.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2006046108","","2","03","","0","W","3","4.0","","","35.0","CARSON ST"
"2006046108","","2","02","","0","N","4","4.0","","","25.0","GLENMAWR ST"
"2006201895","3.0","2","02","0.0","0","N","5","2.0","0065","","40.0","SR 0065 SH"
"2006201895","","2","99","0.0","0","E","6","4.0","","","","LOWRY AV"
"2006201895","3.0","2","02","0.0","0","S","3","2.0","0065","","40.0","SR 0065 SH"
"2006201895","","2","99","0.0","0","E","4","4.0","","","35.0","CAMP HORNE RD"
"2006055334","","2","02","","0","S","3","4.0","","","25.0","ROCHESTER RD"
"2006055334","","2","02","","0","E","4","4.0","","","25.0","GLENMORE AV"
"2006041462","","2","02","0.0","0","N","3","4.0","","","25.0","PIONEER AV"
"2006053611","3.0","2","02","670.0","0","S","3","2.0","0008","","40.0","WILLIAM FLYN HW"
"2006114557","3.0","2","02","855.0","0","N","3","2.0","3109","","",""
"2006122253","","2","01","","0","W","3","4.0","","","15.0","BONVUE ST"
"2006083948","3.0","2","02","1717.0","0","W","3","2.0","0050","","40.0","WASHINGTON PK"
"2006112033","","2","02","","0","W","4","3.0","","","25.0","STONE MANSE DR"
"2006112033","","2","02","","0","N","3","3.0","","","25.0","CORRIGAN DR"
"2006083880","","2","02","","0","U","4","7.0","","","15.0","UN-NAMED PRIVATE ROAD #2 RD"
"2006083880","","2","02","","0","U","3","7.0","","","25.0","UN-NAMED PRIVATE ROAD #1 RD"
"2006074795","","2","02","0.0","0","S","4","4.0","","","","SHAW AV"
"2006074795","","2","02","0.0","0","N","3","4.0","","","","REED ST"
"2006015297","","2","02","0.0","0","E","3","4.0","","","25.0","BEECHWOD BL"
"2006099491","","2","02","","0","N","3","3.0","","","35.0","OLD CLAIRTON RD"
"2006099102","3.0","2","05","3528.0","0","S","3","2.0","0051","","40.0","STATE ROUTE 51 HW"
"2006068179","3.0","2","02","321.0","0","N","3","2.0","3087","","35.0","THORN RUN RD"
"2006068179","","2","02","","0","E","4","4.0","","","","PARKRIDGE VILLAGE DR"
"2006065233","","2","05","2200.0","0","N","3","2.0","3160","","40.0",""
"2006065233","","2","05","0.0","0","E","4","3.0","","","","AIRSIDE RD"
"2006065233","","2","05","2115.0","0","S","5","2.0","3160","","40.0",""
"2006014169","","2","02","","0","E","4","4.0","","","40.0","CRAWFORD RUN RD"
"2006014169","3.0","2","02","0.0","0","N","3","2.0","1019","","40.0","BUTLER LOGAN RD"
"2007011927","1.0","2","02","1903.0","0","N","3","2.0","0028","","55.0",""
"2006038915","3.0","2","02","1665.0","0","N","3","2.0","3069","","35.0","WEST LIBERTY AV"
"2006038915","3.0","2","02","1690.0","0","S","4","2.0","3069","","35.0","WEST LIBERTY AV"
"2006038915","","2","02","","0","E","5","4.0","","","25.0","PAULINE AV"
"2006123611","3.0","2","02","300.0","0","E","3","2.0","2058","","35.0","LEECHBURG RD"
"2006002391","","2","04","","0","W","3","3.0","","","35.0","CURRY HOLLOW RD"
"2006002391","","2","02","","0","S","4","3.0","","","35.0","BROWNSVILLE RD"
"2006109356","","2","02","0.0","0","S","4","4.0","","","25.0","CHURCH RD"
"2006109356","","2","02","0.0","0","W","3","3.0","","","35.0","BETHEL CHURCH RD"
"2006068439","","2","04","0.0","0","U","3","4.0","","","35.0","EAST ST"
"2006068439","","2","01","0.0","0","E","4","4.0","","","25.0","VENTURE ST"
"2006114286","1.0","2","03","673.0","0","N","3","1.0","0079","","65.0","RAYMOND P SHAFER HW"
"2006107327","3.0","2","02","3097.0","0","E","3","2.0","3024","","40.0","ROBINSON RUN RD"
"2006026939","","2","02","","0","U","3","4.0","","","","BRADISH ST"
"2006116531","3.0","2","02","1902.0","0","S","3","2.0","4009","","35.0","EVERGREEN RD"
"2006101969","","2","02","0.0","0","E","3","4.0","","","25.0","HARRIS AV"
"2006121011","","2","02","","0","N","3","3.0","","","35.0","BRUSH CREEK RD"
"2006016632","3.0","2","02","2203.0","0","N","3","2.0","0048","","45.0","MOSSIDE BL"
"2006041216","3.0","2","02","201.0","0","S","3","2.0","0019","","40.0","PERRY HW"
"2006206688","3.0","2","2","6824.0","0","E","3","4.0","H294","","25.0","CAMPBELLS RUN RD"
"2006018137","","2","02","0.0","0","N","3","4.0","","","25.0","ANDERSON ST"
"2006018137","","2","03","0.0","0","E","4","4.0","","","25.0","GENERAL ROBINSON ST"
"2006053409","3.0","2","03","1345.0","0","S","3","2.0","4003","","40.0","MCKNIGHT RD"
"2006025500","","2","04","0.0","0","N","3","4.0","","","35.0","FIFTH AV"
"2006025500","","2","03","0.0","0","E","4","4.0","","","25.0","MOREWOOD AV"
"2006029008","","2","02","0.0","0","E","3","4.0","","","25.0","SMALLMAN ST"
"2006029008","","2","02","0.0","0","S","4","4.0","","","25.0","FIFTEENTH ST"
"2006077973","","2","04","0.0","0","E","3","4.0","","","35.0","WASHINGTON BL"
"2006076427","1.0","2","03","1675.0","0","E","3","1.0","0376","","55.0",""
"2006061729","3.0","2","04","250.0","0","N","3","2.0","0051","","40.0","CLAIRTON BL"
"2006044244","","2","02","0.0","0","","3","4.0","","","35.0","KELSO RD"
"2006090019","3.0","2","02","0.0","0","B","4","2.0","2079","","35.0","NICHOLS HILL RD"
"2006090019","3.0","2","02","0.0","0","B","3","2.0","2017","","35.0","DOUGLAS RUN RD"
"2006056771","3.0","2","03","500.0","0","E","3","2.0","0060","","30.0","STEUBENVILLE PK"
"2006056771","","2","02","","0","N","4","4.0","","","25.0","LINDEN ST"
"2006205783","3.0","2","02","495.0","0","N","3","2.0","0060","","45.0","SR 0060 SH"
"2006205783","","2","99","0.0","0","S","4","4.0","","","25.0","LORISH RD"
"2006205783","3.0","2","02","490.0","0","S","5","2.0","0060","","45.0","SR 0060 SH"
"2006205783","","2","99","0.0","0","E","6","4.0","","","25.0","HADDOCK DR"
"2006122145","","2","02","","0","W","3","4.0","","","","5TH AV"
"2006040231","","2","02","0.0","0","W","3","4.0","","","25.0","PENN AV"
