"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2006000005","","1","0","0","0","0","0","0","0","0","4","0","","02","1","2006","1","","","","11","0","0","0","0","1","1","0","0","","0","0","0","","","0","","2","","","","0","","0","0","0","0","2466","0","0","0","N","0","0","0","2","02466","0","","1.0","","1","N","N","","0","","0","0","1","3","3","","","2","0","0","0","0","0","0","1","0","2","","","","N","","","","","","","","","",""
"2006000021","","2","0","0","0","0","0","0","0","0","2","0","","02","1","2006","1","40.4338","-79.7436","","11","0","0","0","0","0","0","0","0","2","0","0","0","","","4","","0","","40 26:01.680","6","0","79 44:36.960","3","0","0","0","2446","0","0","0","N","0","0","0","5","02446","2","","1.0","","1","N","N","","0","","2","0","0","","0","Y","","2","4","1","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2006000043","","1","0","0","0","0","0","0","0","0","0","0","","02","1","2006","1","40.631526","-80.015473","","11","0","0","0","0","0","0","0","0","1","0","0","0","","","1","","0","","40 37:53.494","5","0","80 00:55.704","3","0","0","0","2216","0","0","0","N","0","0","0","3","02505","0","","1.0","","1","N","N","","0","","1","0","0","","0","N","","1","1","1","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2006000046","","0","0","0","0","0","0","0","0","0","7","0","","02","1","2006","1","","","","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","0","","","","1","","0","0","0","0","2403","0","0","0","","0","0","0","1","02403","0","","2.0","","1","N","N","","1","","0","0","0","","0","","","1","0","0","0","0","0","0","1","0","1","","","","N","","","","","","","","","",""
"2006000052","","2","0","0","0","0","0","0","0","0","4","0","","02","1","2006","2","40.336389","-79.971543","","11","0","0","0","0","0","0","0","0","1","0","0","0","","","1","","1","","40 20:11.000","3","0","79 58:17.555","4","0","0","0","2454","0","0","0","N","0","0","0","2","02454","1","","1.0","","9","N","N","","0","","0","0","0","","2","N","","2","1","2","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2006000053","","1","0","0","0","0","0","0","0","0","7","0","","02","1","2006","1","40.335556","-79.947298","","11","0","0","0","0","1","0","0","0","1","0","0","0","","","0","","0","","40 20:08.000","1","0","79 56:50.272","0","0","0","0","2454","0","0","0","N","0","0","0","1","02454","0","","2.0","","1","N","N","","0","","0","0","0","","0","N","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2006000085","","1","0","0","0","0","0","0","0","0","7","0","","02","1","2006","1","40.479444","-79.966236","","11","0","0","0","0","0","0","0","0","1","0","0","0","","","1","","7","","40 28:46.000","2","2","79 57:58.451","4","0","0","0","2118","0","0","0","N","0","0","0","1","02118","1","","7.0","","1","N","N","","0","","0","0","0","","0","N","","1","1","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2006000097","","2","0","0","0","0","0","0","0","0","2","0","","02","1","2006","2","40.337979","-79.984302","","11","0","0","0","0","1","0","1","0","2","0","0","0","","","1","","2","","40 20:16.724","1","0","79 59:03.487","8","0","0","0","2403","0","0","0","N","0","0","0","4","02403","0","","1.0","","9","N","N","","1","","0","0","0","","0","N","","3","1","0","0","0","1","0","2","0","3","","","","N","","","","","","","","","",""
"2006000098","","1","0","0","0","0","0","0","0","0","4","0","","02","1","2006","2","40.537778","-79.839613","","11","0","0","0","0","0","2","0","0","","0","0","0","","","0","","1","","40 32:16.000","","0","79 50:22.606","0","0","0","0","2208","0","0","0","Y","0","0","0","2","02208","0","","1.0","","9","N","N","","0","","0","0","0","","2","","","2","0","0","0","0","0","0","2","1","2","","","","N","","","","","","","","","",""
"2006000112","","1","0","0","0","0","0","0","0","0","4","0","","02","1","2006","3","40.4666","-79.7055","","11","0","0","0","0","0","0","0","0","1","0","0","0","","","1","","0","","40 27:59.760","1","0","79 42:19.800","4","0","0","0","2466","0","0","0","N","0","0","0","2","02466","1","","1.0","","9","N","N","","1","","0","0","0","","0","N","","2","1","0","0","0","0","1","2","0","2","","","","N","","","","","","","","","",""
