"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2019096677","","15","N","1","1","","1","N","01","Y","HOND","2013","","","","","","","","0","01","5J6RM4H7XDL","1","","1","00","N","N","999","0","","1","1","01","01","01","PA","1","1.0","T4W"
"2019096677","","15","N","3","1","","1","N","02","Y","DODG","2011","","","","","","","","0","01","1D4RE2GG9BC","1","","1","00","Y","E","999","0","","2","1","09","01","01","PA","2","1.0","T4W"
"2019079051","","69","N","0","1","","1","N","12","Y","MAZD","2019","","","","","","","","0","01","JM3KFBCM7K1","1","","1","00","N","S","999","0","","1","1","05","01","01","PA","1","6.0","T"
"2019079051","","04","N","0","1","","1","N","06","Y","STRN","2007","","","","","","","","0","01","1G8AJ55F77Z","1","","1","00","N","S","999","0","","2","1","01","01","01","PA","2","1.0","P4D"
"2019080610","","20","N","3","1","","1","N","12","Y","HD","2002","","","","","","","","0","01","1HD1GHV152Y","2","","4","41","Y","W","999","0","","1","1","02","16","01","PA","1","2.0","MRS"
"2019001973","","15","N","1","1","","1","N","01","Y","HOND","2008","","","","","","","","0","01","JHLRE48588C","1","","1","00","N","U","999","","","1","1","02","01","06","PA","1","6.0","T4W"
"2019001973","","15","N","3","1","","1","N","11","Y","FORD","2012","","","","","","","","0","01","1FMCU0E78CK","2","","1","00","Y","U","999","","","2","1","07","01","06","PA","2","6.0","T4W"
"2019095424","","04","N","2","1","","2","N","11","Y","BMW","2013","","","","","","","","0","01","WBAFR9C59DD","2","","1","00","Y","S","999","0","","1","1","03","01","07","PA","1","1.0","P4D"
"2019095424","","15","N","2","1","","3","N","11","Y","FORD","2009","","","","","","","","0","01","1FMCU03G89K","1","","1","00","Y","N","999","0","","2","1","02","08","03","PA","2","6.0","T4W"
"2019012109","","04","N","3","1","","3","N","01","Y","HOND","2011","","","","","","","","0","01","1HGCP2F67BA","1","","1","00","Y","N","999","0","","1","1","12","01","01","IN","1","1.0","P4D"
"2019012109","","15","N","1","1","","3","N","12","Y","NISS","2012","","","","","","","","0","02","JN8AS5MV2CW","1","","1","00","N","N","999","0","","2","1","05","01","11","PA","2","6.0","T4W"
"2019085295","","69","N","1","1","","1","N","12","Y","GMC","2018","","","","","","","","0","01","1GKKNSLA2JZ","1","","1","00","N","S","010","0","","1","1","03","01","01","PA","1","6.0","T"
"2019085295","","04","N","2","1","","1","N","04","Y","HOND","2017","","","","","","","","0","01","2HGFC1F38HH","1","","1","00","Y","E","010","0","","2","1","12","01","01","PA","2","1.0","P4D"
"2019085295","","15","N","1","2","","2","N","07","U","SUBA","2001","","","","","","","","1","","JF1SF63521H","0","","1","00","N","","000","0","","3","2","03","06","09","PA","2","1.0","T4W"
"2019082532","","04","N","2","1","","1","N","05","Y","BUIC","2014","","","","","","","","0","01","2G4GN5EXXE9","1","","1","00","N","S","999","0","","1","1","07","01","01","PA","2","1.0","P4D"
