"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2017114430","","2","","","0","W","6","4.0","","","35.0","MAIRDALE AV"
"2017114430","3.0","2","","1890.0","0","N","3","2.0","0019","","25.0","PERRYSVILLE AV"
"2017114430","","2","","","0","W","4","4.0","","","35.0","EAST ST"
"2017114430","","2","","","0","W","5","4.0","","","35.0","BAYTREE ST"
"2017022262","3.0","2","","0.0","0","N","3","2.0","0019","","35.0","WEST END BR"
"2017022262","3.0","2","","310.0","0","N","4","2.0","0837","","35.0","WEST CARSON ST"
"2017070166","","2","","","0","S","4","4.0","","","25.0","WEST ST"
"2017070166","","2","","","0","W","3","4.0","","","25.0","E 17TH AV"
"2017005465","","2","","","0","N","3","4.0","","","25.0","CUTHBERT ST"
"2017005465","","2","","","0","E","4","4.0","","","25.0","VIRGINIA AV"
"2017014400","","2","","","0","S","3","4.0","","","25.0","BEECHWOOD BL"
"2017119130","3.0","2","","116.0","0","S","3","2.0","4003","","50.0","MCKNIGHT RD"
"2017002098","3.0","2","","0.0","0","S","3","2.0","2061","","35.0","JEFFERSON RD"
"2017002098","","2","","","0","W","4","4.0","","","25.0","OLD WILLIAM PENN HW"
"2017037283","","2","","","0","N","4","4.0","","","25.0","AACHEN PL"
"2017037283","3.0","2","","795.0","0","W","3","2.0","4056","","35.0","PERRYMONT RD"
"2017088589","1.0","2","","264.0","0","W","3","5.0","7076","","65.0","EAST/WEST TU"
"2017105153","","2","","","0","N","3","4.0","","","35.0","STROSCHEIN RD"
"2017105153","","2","","","0","E","4","4.0","","","35.0","MONROEVILLE BL"
"2017128772","","2","","478.0","0","S","4","4.0","0019","","40.0","WASHINGTON RD"
"2017128772","","2","","","0","E","6","4.0","","","","VILLAGE DR"
"2017128772","","2","","","0","E","5","4.0","","","25.0","FIELDGATE DR"
"2017128772","3.0","2","","451.0","0","N","3","2.0","0019","","40.0","WASHINGTON RD"
"2017029949","1.0","2","","2372.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2017029949","1.0","2","","1451.0","1","N","4","2.0","8033","","25.0","CARNEGIE INT/RAMP B RD"
"2017125188","","2","","","0","E","5","4.0","","","25.0","SWINBURNE ST"
"2017125188","3.0","2","","0.0","0","N","3","2.0","0885","","30.0","SECOND AV"
"2017125188","3.0","2","","0.0","0","S","4","2.0","0885","","30.0","SECOND AV"
"2017134197","","2","","","0","W","4","4.0","","","25.0","PINE VALLEY DR"
"2017134197","3.0","2","","1701.0","0","E","3","2.0","0286","","45.0","GOLDEN MILE HW"
"2017107465","3.0","2","","2332.0","0","W","3","2.0","2040","","40.0","CURRY HOLLOW RD"
"2017075723","","2","","","0","W","3","7.0","","","25.0","WATERWORKS LT"
"2017099984","","2","","","0","W","4","4.0","","","25.0","3RD AV"
"2017099984","","2","","","0","S","3","4.0","","","35.0","THIRD ST"
"2017076695","3.0","2","","876.0","0","N","3","2.0","0051","","25.0","SAW MILL RUN BL"
"2017036971","","2","","","0","N","3","4.0","","","25.0","BEATTY SQ"
"2017036971","","2","","","0","E","4","4.0","","","25.0","CENTRE AV"
"2017061294","","2","","","0","S","6","4.0","","","","PIRL ST"
"2017061294","3.0","2","","455.0","0","N","3","2.0","0148","","35.0","FIFTH AV"
"2017061294","3.0","2","","420.0","0","S","4","2.0","0148","","35.0","FIFTH AV"
"2017061294","","2","","","0","W","5","4.0","","","25.0","5TH AV"
"2017079411","","2","","","0","N","3","3.0","","","35.0","MOUNT NEBO RD"
"2017016591","1.0","2","","1590.0","0","W","3","1.0","0376","","65.0","AIRPORT PY"
"2017032717","","2","","","0","E","4","4.0","","","25.0","CATALPA PL"
"2017032717","","2","","","0","S","3","4.0","","","25.0","PARKSIDE AV"
"2017132345","","2","","","0","E","3","4.0","","","25.0","5TH AV"
"2017132345","","2","","","0","S","4","4.0","","","25.0","DOOLITTLE AV"
"2017089839","1.0","2","","3285.0","0","N","3","1.0","0079","","55.0","RAYMOND P SHAFER HW"
"2017082593","3.0","2","","2275.0","0","S","3","2.0","2078","","30.0","HAMIL RD"
"2017059308","","2","","","0","U","3","4.0","","","25.0","INGLENOOK ST"
"2017059308","","2","","","0","U","4","4.0","","","25.0","ROSEDALE ST"
"2017032088","3.0","2","","1270.0","0","S","4","2.0","1001","","45.0","FREEPORT RD"
"2017032088","3.0","2","","1260.0","0","N","3","2.0","1001","","35.0","FREEPORT RD"
"2017032088","","2","","","0","E","5","4.0","","","15.0","WEST ALPHA DR"
