"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2017041091","","1","0","0","0","0","0","0","0","0","1","0","","02","4","2017","6","40.459214","-79.823282","","11","0","0","0","0","0","0","0","0","","0","0","0","","","2","","0","","40 27:33.172","","0","79 49:23.814","4","0","0","0","2113","0","0","0","N","0","0","0","3","02113","2","","1.0","","1","Y","N","","0","","0","0","0","","0","","","2","2","0","0","0","0","0","2","1","2","","","","N","","","","","","","","","",""
"2017038903","","0","0","0","0","0","0","0","0","0","7","0","","02","4","2017","6","40.449184","-80.023432","","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","7","","40 26:57.061","","2","80 01:24.355","0","0","0","0","2301","0","0","0","N","0","0","0","3","02301","0","","1.0","","1","N","N","","0","","0","0","0","","0","","","1","0","0","0","0","0","0","2","1","1","","","","N","","","","","","","","","",""
"2017041744","","2","0","0","0","0","0","0","0","0","1","0","","02","4","2017","5","40.634174","-79.939863","","11","0","1","0","0","0","0","0","0","1","0","0","0","","","0","","0","","40 38:03.026","1","0","79 56:23.506","0","0","0","0","2217","0","0","0","N","0","0","0","3","02505","0","","1.0","","1","N","N","","0","","0","0","1","","0","N","","3","0","0","0","0","0","0","2","0","3","","","","N","","","","","","","","","",""
"2017041719","","1","0","0","0","0","0","0","0","0","4","0","","02","4","2017","7","40.471547","-79.926308","","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","1","","40 28:17.569","","0","79 55:34.708","0","0","0","0","2301","0","0","0","N","0","0","0","3","02301","0","","1.0","","1","N","N","","0","","0","0","1","","2","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017051924","","1","0","0","0","0","0","0","0","0","1","0","","02","5","2017","7","40.425741","-79.911511","","11","0","0","0","0","0","1","0","0","2","0","0","0","","","0","","0","","40 25:32.668","3","0","79 54:41.441","9","0","0","0","2301","0","0","0","","0","0","0","3","68B03","0","","1.0","","1","N","N","","1","","0","0","0","","0","N","","2","0","0","0","0","0","1","2","0","2","","","","N","","","","","","","","","",""
"2017038527","","1","0","0","0","0","0","0","0","0","1","0","","02","4","2017","1","40.522879","-79.852492","","11","0","0","0","0","0","0","1","0","","0","0","0","","","0","","0","","40 31:22.363","","0","79 51:08.971","9","0","0","0","2208","0","0","0","","0","0","0","2","68D02","0","","1.0","","1","N","N","","1","","0","0","0","","0","","","2","0","0","0","0","0","1","2","0","2","","","","N","","","","","","","","","",""
"2017045386","","1","0","0","0","0","0","0","0","0","7","0","","02","4","2017","3","40.457856","-80.228194","","11","0","0","0","0","1","0","0","0","","0","0","0","","","0","","0","","40 27:28.280","","0","80 13:41.500","0","0","0","0","2203","0","0","0","N","0","0","0","1","02203","0","","5.0","","1","N","N","","0","","0","0","0","","0","","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2017043931","","1","0","0","0","0","0","0","0","0","7","0","","02","4","2017","1","40.454109","-80.180883","","11","0","0","0","0","0","0","0","0","2","0","0","0","","","1","","0","","40 27:14.794","4","0","80 10:51.178","3","0","0","0","2214","0","0","0","","0","0","0","2","68B03","0","","4.0","","9","N","N","","0","","1","0","0","","0","N","","1","1","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2017040929","","3","0","0","0","0","0","0","0","0","6","0","","02","4","2017","5","40.477411","-79.786989","","11","0","0","0","0","0","1","0","0","1","0","0","0","","","0","","0","","40 28:38.681","3","0","79 47:13.159","0","0","0","0","2113","0","0","0","N","0","0","0","5","02113","0","","1.0","","1","N","N","","1","","0","0","0","","0","Y","","4","0","0","0","0","0","0","2","0","4","","","","N","","","","","","","","","",""
"2017048403","","2","0","0","0","0","0","0","0","0","4","0","","02","5","2017","7","40.386498","-80.092461","","11","0","1","0","0","0","0","0","0","1","0","0","0","","","2","","2","","40 23:11.392","2","0","80 05:32.859","4","0","0","0","2117","0","0","0","N","0","0","0","4","02117","2","","1.0","","9","N","N","","0","","0","0","0","","2","N","","2","2","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
