"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2009069519","","2","02","","0","E","5","4.0","","","25.0","MAIN ENTRANCE DR"
"2009069519","3.0","2","2","2295.0","0","N","3","2.0","0019","","35.0","WASHINGTON RD"
"2009069519","3.0","2","2","2325.0","0","S","4","2.0","0019","","35.0","WASHINGTON RD"
"2009101500","1.0","2","2","885.0","0","N","3","2.0","0028","","55.0","ALLEGHENY VALLEY EX"
"2009101500","1.0","2","1","1048.0","1","N","4","2.0","8054","","55.0","RAMP P RD"
"2009075910","3.0","2","2","579.0","0","W","3","2.0","0400","","55.0","BIGELOW BL"
"2009115206","3.0","2","2","1080.0","0","S","3","2.0","0048","","40.0","LONG RUN RD"
"2009129364","","2","04","","0","","3","4.0","","","25.0","FORBES AV"
"2009112773","","2","02","","0","E","5","4.0","","","25.0","MORROW RD"
"2009112773","3.0","2","2","2647.0","0","N","3","2.0","0791","","35.0","RODI RD"
"2009112773","3.0","2","2","0.0","0","N","4","2.0","0791","","35.0","RODI RD"
"2009088638","","2","02","","0","N","3","4.0","","","25.0","LLOYD AV"
"2009010089","","2","03","","0","N","3","4.0","","","25.0","SMITHFIELD ST"
"2009005012","3.0","2","02","0.0","0","E","4","2.0","0130","","35.0","BROADWAY BL"
"2009005012","3.0","2","04","0.0","0","S","3","2.0","0048","","45.0","MOSSIDE BL"
"2009089965","3.0","2","2","255.0","0","S","3","2.0","0019","","35.0","WEST END BR"
"2009132074","","2","02","","0","E","4","4.0","","","","BERKELEY MEADOWS CT"
"2009132074","","2","02","","0","S","3","3.0","","","35.0","THOMPSON RUN RD"
"2009133813","","2","02","","0","","4","4.0","","","25.0","ACADEMY AV"
"2009005214","","2","03","","0","N","4","4.0","","","","THOMPSON RUN RD"
"2009005214","3.0","2","2","0.0","0","E","3","2.0","4011","","35.0","BABCOCK BL"
"2009047669","3.0","2","02","1013.0","0","E","3","2.0","0837","","40.0","CARSON ST"
"2009129757","1.0","2","2","1896.0","0","E","3","2.0","0022","","55.0",""
"2009055800","","2","02","","0","W","4","4.0","","","25.0","BROWNSVILLE RD"
"2009055800","","2","02","","0","S","3","4.0","","","25.0","BISCAYNE DR"
"2009030512","3.0","2","02","0.0","0","S","3","2.0","0051","","45.0","SAWMILL RUN BL"
"2009030512","","2","02","","0","N","4","4.0","","","25.0","EDGEBROOK AV"
"2009030512","3.0","2","02","0.0","0","N","5","2.0","0051","","45.0",""
"2009069152","","2","02","","0","N","6","4.0","","","","FIFTH AV"
"2009069152","3.0","2","2","1423.0","0","S","5","2.0","0148","","35.0","FIFTH AV"
"2009069152","3.0","2","2","0.0","0","E","3","2.0","0030","","35.0","LINCOLN HW"
"2009069152","3.0","2","2","0.0","0","W","4","2.0","0030","","35.0","LINCOLN HW"
"2009090262","","2","02","","0","S","3","3.0","","","25.0","BRIGHTWOOD RD"
"2009090262","","2","02","","0","E","4","4.0","","","25.0","MESTA ST"
"2009076303","1.0","2","2","1766.0","0","W","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2009132083","3.0","2","3","1895.0","0","N","3","2.0","0019","","35.0","PERRY HW"
"2009132083","3.0","2","2","678.0","0","B","4","2.0","4044","","55.0",""
"2009132083","","2","02","","0","E","5","3.0","","","35.0","CEMETERY LN"
"2009075357","1.0","2","3","794.0","0","N","3","1.0","0079","","65.0","RAYMOND P SHAFER HW"
"2009109116","","2","05","","0","W","4","4.0","","","35.0","BIGELOW BL"
"2009109116","","2","02","","0","S","3","4.0","","","25.0","HERRON AV"
"2009132855","","2","02","","0","E","4","4.0","","","25.0","WENZELL AV"
"2009132855","","2","02","","0","S","3","4.0","","","25.0","BROADWAY AV"
"2009071756","3.0","2","2","1010.0","0","N","3","2.0","0148","","35.0","FIFTH AV"
"2009071756","","2","02","","0","S","4","4.0","","","35.0","LINCOLN WY"
"2009129895","","2","02","","0","W","3","4.0","","","25.0","DUQUESNE AV"
"2009129895","","2","02","","0","N","4","4.0","","","25.0","HOMESTEAD DUQUESNE RD"
"2009115758","3.0","2","2","495.0","0","N","3","2.0","4070","","35.0","WILDWOOD RD"
"2009117215","","2","02","","0","S","3","3.0","","","35.0","THOMPSON RUN RD"
"2009108197","","2","02","","0","N","3","4.0","","","25.0","ALLEGHENY AV"
"2009108197","","2","02","","0","E","4","4.0","","","25.0","COLLEGE AV"
"2009014902","","2","02","","0","E","3","4.0","","","25.0","AUDREY DR"
"2009014902","","2","02","","0","S","4","3.0","","","25.0","OLD CLAIRTON RD"
"2009111248","","2","02","","0","S","4","3.0","","","35.0","FOX CHAPEL RD"
"2009111248","","2","02","","0","E","3","4.0","","","25.0","FIELD CLUB RD"
"2009059236","","2","03","","0","S","4","4.0","","","25.0","HAZELWOOD AV"
"2009059236","","2","02","","0","E","3","4.0","","","25.0","MURRAY AV"
"2009043066","3.0","2","2","0.0","0","N","3","2.0","3069","","35.0","WEST LIBERTY AV"
"2009043066","3.0","2","2","35.0","0","S","4","2.0","3069","","35.0","WEST LIBERTY AV"
"2009043066","","2","04","","0","U","5","4.0","","","25.0","BROOKLINE BL"
"2009085101","1.0","2","2","642.0","0","S","3","1.0","0279","","55.0","NORTH HILLS EX"
"2009132660","","2","02","","0","W","3","4.0","","","25.0","MAYTIDE ST"
"2009124714","3.0","2","2","1789.0","0","N","3","2.0","0051","","40.0","CLAIRTON BL"
"2009099196","","2","03","","0","S","3","3.0","","","35.0","FIFTH AV"
"2009117973","","2","02","","0","U","3","4.0","","","25.0","GRUBBS RD"
"2009055762","3.0","2","2","0.0","0","S","4","2.0","0837","","35.0","DUQUESNE BL"
"2009055762","1.0","2","2","1403.0","0","N","5","2.0","2114","","35.0","DUQUESNE BL"
"2009055762","","2","02","","0","E","7","4.0","","","","CENTER AV"
"2009055762","3.0","2","2","0.0","0","N","3","2.0","0837","","35.0","DRAVOSBURG RD"
"2009055762","1.0","2","2","1440.0","0","S","6","2.0","2114","","35.0","DUQUESNE BL"
"2009130239","3.0","2","2","720.0","0","N","3","2.0","0051","","45.0","FOURTH AV"
"2009130239","3.0","2","2","304.0","0","N","4","2.0","3087","","35.0","THORN RUN RD"
"2009019798","","2","05","","0","E","3","4.0","","","35.0","MONROEVILLE BL"
"2009028680","1.0","2","3","2196.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2009112474","1.0","2","2","580.0","0","N","3","2.0","0019","","40.0","SAW MILL RUN BL"
"2009066612","3.0","2","2","1615.0","0","N","3","2.0","1001","","35.0","FREEPORT RD"
"2009097680","","2","02","","0","","4","4.0","","","25.0","HOWARD ST"
"2009097680","","2","02","","0","","3","3.0","","","35.0","LAKETON RD"
"2009060208","","2","02","","0","E","5","4.0","","","","THOMPSON RD"
"2009060208","3.0","2","2","60.0","0","E","3","2.0","1028","","45.0","BAKERSTOWN RD"
"2009060208","3.0","2","2","0.0","0","N","4","2.0","1034","","40.0","BULL CREEK RD"
"2009132599","1.0","2","4","2112.0","0","W","3","5.0","7076","","65.0","EAST/WEST TU"
"2009057522","","2","02","","0","E","5","4.0","","","25.0","GARDEN PL"
"2009057522","3.0","2","2","2491.0","0","E","3","2.0","4006","","25.0","WETZEL RD"
"2009057522","3.0","2","2","0.0","0","N","4","2.0","4019","","30.0","MT ROYAL BL"
"2009033934","3.0","2","2","229.0","0","N","3","2.0","3033","","25.0","MAIN ST"
"2009077147","3.0","2","2","0.0","0","N","3","2.0","0051","","40.0","CLAIRTON BL"
"2009077147","3.0","2","2","0.0","0","S","4","2.0","0051","","40.0","CLAIRTON BL"
"2009077147","","2","02","","0","E","5","4.0","","","25.0","DELCO RD"
"2009077147","","2","02","","0","E","6","4.0","","","25.0","MARYLEA AV"
"2009020678","3.0","2","2","26.0","0","S","3","2.0","0286","","45.0","GOLDEN MILE HW"
"2009059744","3.0","2","3","600.0","0","S","3","2.0","3069","","40.0","LIBERTY BR"
"2009019247","","2","04","","0","N","3","4.0","","","25.0","7TH AV"
"2009019247","","2","04","","0","E","4","4.0","","","25.0","GRANT ST"
"2009094767","1.0","2","1","0.0","1","N","4","2.0","8046","","25.0","MILLVALE INT/RMP A RD"
"2009094767","1.0","2","2","645.0","0","N","3","2.0","0028","","40.0","EAST OHIO ST"
"2009119748","1.0","2","2","2308.0","0","N","3","1.0","0079","","55.0","RAYMOND P SHAFER HW"
"2009037663","1.0","2","2","836.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2009009943","3.0","2","2","546.0","0","N","3","2.0","0088","","35.0","LIBRARY RD"
"2009040025","3.0","2","2","2167.0","0","E","3","2.0","0837","","25.0","SEVENTH AV"
"2009076674","","2","02","","0","W","3","4.0","","","25.0","JOSEPHINE ST"
"2009076674","","2","02","","0","N","4","4.0","","","25.0","EIGHTEENTH ST"
"2009119139","3.0","2","2","470.0","0","E","3","2.0","0366","","35.0","ROSS ST"
