"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2012075303","Y","U","Y","Y","N","N","0","U","N","99999","N","","","","","","","","N","1"
"2012031031","N","Y","U","Y","Y","Y","2","Y","Y","00885","N","","","","","","","","N","1"
"2012101848","","","","","","","","","","","","","","","","","","","","2"
"2012106389","N","U","U","Y","N","N","0","Y","Y","00600","N","","","","","","","","N","1"
"2012055551","Y","U","U","Y","U","Y","1","Y","Y","10000","N","","","","","","","","N","1"
"2012035460","N","Y","U","Y","U","U","9","Y","Y","00450","N","","","","","","","","N","2"
"2012065758","","","","","","","","","","","","","","","","","","","","2"
"2012036201","N","Y","N","U","N","N","0","Y","Y","00750","N","","","","","","","","N","1"
"2012030725","N","U","U","Y","U","U","2","Y","Y","99999","N","","","","","","","","N","2"
"2012031127","Y","N","Y","Y","N","N","0","Y","Y","00750","N","","","","","","","","N","1"
"2012065204","N","N","N","N","N","N","0","N","N","01100","N","","","","","","","","N","1"
"2012047792","Y","Y","Y","Y","Y","Y","2","Y","Y","01400","Y","U","U","U","U","9","U","U","N","1"
"2012067868","U","U","U","U","U","Y","1","Y","N","01200","Y","U","U","U","Y","1","Y","N","N","1"
"2012075901","","","","","","","","","","","","","","","","","","","","2"
"2012107309","N","Y","U","Y","Y","Y","3","Y","N","01687","N","","","","","","","","N","1"
"2012107309","N","Y","U","Y","N","N","0","Y","Y","01632","N","","","","","","","","N","2"
"2012079993","N","U","U","Y","U","Y","1","Y","N","59900","N","","","","","","","","N","1"
"2012024953","","","","","","","","","","","","","","","","","","","","2"
"2012114808","N","U","Y","U","U","U","0","U","U","01200","N","","","","","","","","N","2"
"2012032205","","","","","","","","","","","","","","","","","","","","1"
"2012114829","N","Y","N","N","Y","U","1","Y","Y","00750","N","","","","","","","","N","1"
"2012028388","Y","Y","Y","Y","Y","Y","3","Y","N","01100","N","","","","","","","","N","1"
"2012076936","N","Y","U","U","N","N","0","Y","N","01450","N","","","","","","","","N","1"
"2012107354","","","","","","","","","","","","","","","","","","","","1"
"2012011491","","","","","","","","","","","","","","","","","","","","2"
"2012029921","","","","","","","","","","","","","","","","","","","","2"
"2012045430","Y","Y","Y","N","N","N","0","Y","N","01584","N","","","","","","","","N","1"
"2012099653","N","Y","N","Y","Y","Y","1","Y","Y","01300","N","","","","","","","","N","2"
"2012028961","N","N","N","N","","","0","N","N","00675","N","","","","","","","","N","1"
"2012077921","N","N","U","N","N","N","0","Y","U","00000","N","","","","","","","","N","1"
"2012076745","N","Y","Y","U","U","U","9","Y","N","00600","N","","","","","","","","N","2"
"2012111700","","","","","","","","","","","","","","","","","","","","2"
"2012090342","N","N","N","N","N","N","0","Y","N","00097","Y","N","N","N","N","0","N","N","N","1"
"2012025858","N","Y","U","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","1"
"2012065572","Y","U","N","U","U","U","9","U","U","01450","N","","","","","","","","N","1"
"2012057647","N","U","U","Y","N","N","0","U","U","99999","N","","","","","","","","N","1"
"2012053509","N","U","U","Y","Y","Y","1","U","Y","99999","N","","","","","","","","N","2"
"2012043315","","","","","","","","","","","","","","","","","","","","1"
"2012076540","Y","Y","Y","Y","Y","Y","3","Y","N","01675","N","","","","","","","","N","2"
"2012003051","Y","Y","U","Y","N","N","0","Y","Y","01500","N","","","","","","","","N","2"
"2012051374","N","N","Y","Y","Y","Y","1","Y","N","00750","N","","","","","","","","N","2"
"2012026363","","","","","","","","","","","","","","","","","","","","2"
"2012029584","","","","","","","","","","","","","","","","","","","","1"
"2012071629","N","N","N","N","N","N","0","N","N","00450","N","","","","","","","","N","1"
"2012077962","Y","Y","N","N","N","N","0","Y","N","00883","N","","","","","","","","N","1"
"2012094576","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","2"
"2012125729","","","","","","","","","","","","","","","","","","","","2"
"2012059167","N","U","N","U","U","U","9","U","U","00649","N","","","","","","","","N","2"
"2012035227","Y","U","U","N","U","Y","1","Y","Y","12275","N","","","","","","","","N","1"
"2012050155","N","Y","N","Y","N","N","0","Y","Y","01000","N","","","","","","","","N","1"
"2012073814","Y","U","U","Y","U","Y","1","Y","Y","00650","N","","","","","","","","N","2"
"2012043992","N","U","U","Y","Y","Y","1","Y","Y","00500","N","","","","","","","","N","1"
"2012055023","","","","","","","","","","","","","","","","","","","","2"
"2012039321","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","1"
"2012093411","","","","","","","","","","","","","","","","","","","","1"
"2012047885","","","","","","","","","","","","","","","","","","","","1"
"2012070574","","","","","","","","","","","","","","","","","","","","2"
"2012066071","N","N","U","N","N","N","0","N","N","00000","N","","","","","","","","N","1"
"2012106281","N","N","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2012069163","N","N","N","Y","Y","Y","1","Y","N","00955","N","","","","","","","","N","1"
"2012081263","Y","Y","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2012035267","N","N","U","Y","U","Y","2","Y","Y","00150","N","","","","","","","","N","1"
"2012091212","N","Y","U","Y","U","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2012038756","Y","Y","U","N","N","N","0","Y","Y","01450","N","","","","","","","","N","1"
"2012080201","","","","","","","","","","","","","","","","","","","","1"
"2012100926","","","","","","","","","","","","","","","","","","","","2"
"2012035347","N","U","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2012083869","Y","Y","N","Y","N","N","0","Y","Y","00250","N","","","","","","","","N","1"
"2012098123","","","","","","","","","","","","","","","","","","","","3"
"2012076210","N","Y","U","Y","Y","Y","1","Y","Y","00750","N","","","","","","","","N","2"
"2012049048","N","U","U","Y","N","N","0","Y","N","01584","N","","","","","","","","N","1"
"2012060088","U","Y","U","Y","U","Y","1","Y","Y","00750","N","","","","","","","","N","2"
"2012027004","N","U","N","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","2"
"2012054504","Y","Y","U","Y","U","Y","2","Y","Y","00600","N","","","","","","","","N","1"
"2012058217","","","","","","","","","","","","","","","","","","","","2"
"2012127771","N","Y","U","Y","Y","Y","2","Y","Y","00750","N","","","","","","","","N","2"
"2012060155","Y","U","U","Y","N","N","0","Y","Y","00800","N","","","","","","","","N","2"
"2012071861","Y","Y","N","Y","N","N","0","Y","N","01480","N","","","","","","","","N","2"
"2012090548","","","","","","","","","","","","","","","","","","","","2"
"2012027685","Y","U","Y","U","U","Y","3","Y","Y","01800","N","","","","","","","","N","1"
"2012073170","N","Y","N","Y","Y","U","1","Y","Y","01000","N","","","","","","","","N","1"
"2012059482","","","","","","","","","","","","","","","","","","","","2"
"2012067898","","","","","","","","","","","","","","","","","","","","2"
"2012076841","Y","Y","U","Y","N","N","0","Y","Y","01100","N","","","","","","","","N","2"
"2012087717","N","N","Y","Y","Y","Y","2","Y","Y","00850","N","","","","","","","","N","1"
"2012025476","","","","","","","","","","","","","","","","","","","","2"
"2012058647","N","N","U","N","N","N","0","N","N","00600","N","","","","","","","","N","2"
"2012033627","","","","","","","","","","","","","","","","","","","","1"
"2012030422","Y","Y","U","Y","Y","U","3","Y","Y","01000","N","","","","","","","","N","1"
"2012075856","Y","U","Y","U","U","U","9","Y","N","01584","Y","U","U","U","U","9","Y","N","N","2"
"2012086408","","","","","","","","","","","","","","","","","","","","2"
"2012089317","N","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2012094275","Y","Y","U","Y","U","U","9","Y","U","00800","N","","","","","","","","N","2"
"2012058006","Y","Y","U","Y","Y","Y","1","Y","Y","00750","N","","","","","","","","N","1"
"2012086411","Y","Y","U","Y","","","0","Y","N","01800","N","","","","","","","","N","1"
"2012057176","N","Y","Y","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","2"
"2012128896","N","U","Y","Y","U","Y","1","Y","Y","00250","N","","","","","","","","N","1"
"2012089261","Y","Y","U","Y","U","Y","2","Y","Y","01050","N","","","","","","","","N","1"
"2012089261","Y","Y","U","Y","U","Y","2","Y","Y","01050","N","","","","","","","","N","2"
"2012086258","","","","","","","","","","","","","","","","","","","","2"
"2012034519","N","N","U","U","Y","N","1","Y","Y","01100","N","","","","","","","","N","1"
"2012058213","Y","Y","U","U","N","N","0","Y","Y","00464","N","","","","","","","","N","1"
"2012073242","N","N","N","Y","N","Y","1","N","N","10000","N","","","","","","","","N","1"
"2012105153","N","U","U","Y","Y","Y","1","Y","Y","00675","N","","","","","","","","N","1"
"2012072374","N","U","U","U","N","N","0","N","N","01000","Y","U","U","N","N","0","N","N","N","1"
"2012079858","","","","","","","","","","","","","","","","","","","","1"
"2012087450","N","N","U","Y","U","Y","1","N","N","59999","N","","","","","","","","N","1"
"2012087450","","","","","","","","","","","","","","","","","","","","2"
"2012114579","","","","","","","","","","","","","","","","","","","","2"
"2012110835","N","Y","U","Y","U","Y","1","Y","Y","00600","N","","","","","","","","N","2"
"2012067484","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","2"
"2012104265","","","","","","","","","","","","","","","","","","","","1"
"2012040024","U","N","U","Y","Y","Y","3","Y","Y","01700","N","","","","","","","","N","1"
"2012012343","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","2"
"2012029923","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","U","2"
"2012055393","N","N","U","Y","Y","Y","1","Y","Y","00599","N","","","","","","","","N","1"
"2012079840","N","N","U","U","U","Y","3","Y","Y","00833","Y","N","U","U","Y","3","Y","Y","N","2"
"2012038831","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","1"
"2012086731","N","Y","U","Y","N","N","0","Y","N","00600","N","","","","","","","","N","1"
"2012117555","U","N","U","Y","U","Y","1","Y","Y","00999","N","","","","","","","","N","2"
"2012024364","N","N","Y","N","U","Y","1","Y","Y","14500","N","","","","","","","","N","2"
"2012031657","N","N","N","N","N","N","0","Y","Y","99999","N","","","","","","","","N","2"
"2012107102","","","","","","","","","","","","","","","","","","","","2"
"2012095144","","","","","","","","","","","","","","","","","","","","2"
"2012098069","N","N","U","Y","Y","Y","1","Y","N","01000","N","","","","","","","","N","1"
"2012054158","N","N","U","Y","Y","Y","1","Y","N","00650","N","","","","","","","","N","2"
"2012069482","N","U","U","Y","N","N","0","Y","Y","00650","N","","","","","","","","N","1"
"2012087020","Y","U","N","N","","","0","Y","N","01584","N","","","","","","","","N","1"
"2012035085","Y","Y","U","Y","Y","Y","2","Y","Y","99999","N","","","","","","","","N","1"
"2012086143","Y","Y","U","Y","Y","Y","1","Y","Y","01100","N","","","","","","","","N","1"
"2012031329","N","Y","U","Y","N","N","0","Y","N","01688","N","","","","","","","","N","2"
"2012106848","Y","U","Y","N","N","N","0","Y","Y","01000","N","","","","","","","","N","1"
"2012049440","U","U","U","Y","Y","Y","1","Y","Y","01320","N","","","","","","","","N","2"
"2012090909","","","","","","","","","","","","","","","","","","","","1"
"2012090763","Y","Y","Y","Y","Y","Y","3","Y","N","01584","N","","","","","","","","N","1"
"2012031907","Y","U","U","Y","","","0","Y","Y","00745","N","","","","","","","","N","2"
"2012082226","N","Y","U","Y","N","N","0","Y","Y","00000","N","","","","","","","","N","2"
"2012128851","","","","","","","","","","","","","","","","","","","","1"
"2012095749","","","","","","","","","","","","","","","","","","","","2"
"2012039732","Y","Y","N","Y","N","N","0","Y","Y","01340","N","","","","","","","","N","1"
"2012078812","","","","","","","","","","","","","","","","","","","","1"
"2012047668","N","N","U","N","","","0","N","N","99999","N","","","","","","","","N","1"
"2012067210","Y","N","Y","Y","N","N","0","Y","N","01500","N","","","","","","","","N","2"
"2012091092","N","U","U","Y","N","N","0","Y","U","01670","N","","","","","","","","N","2"
"2012071565","","","","","","","","","","","","","","","","","","","","1"
"2012031040","N","U","U","Y","N","N","0","Y","N","01000","N","","","","","","","","N","1"
"2012043294","N","N","N","Y","Y","Y","1","Y","Y","00600","Y","N","Y","Y","Y","1","Y","Y","N","1"
"2012035343","N","Y","U","U","N","N","0","Y","Y","01300","N","","","","","","","","N","2"
"2012084915","N","N","N","Y","Y","Y","1","N","N","00250","N","","","","","","","","N","2"
"2012063272","N","N","U","U","U","U","9","U","N","00000","N","","","","","","","","N","1"
"2012098737","","","","","","","","","","","","","","","","","","","","1"
"2012097182","","","","","","","","","","","","","","","","","","","","2"
"2012057972","N","Y","N","Y","Y","Y","1","Y","N","00750","N","","","","","","","","N","1"
"2012060085","N","Y","N","Y","N","N","0","Y","N","00250","N","","","","","","","","N","1"
"2012039540","U","N","U","Y","U","Y","1","Y","Y","00700","N","","","","","","","","N","1"
"2012094058","","","","","","","","","","","","","","","","","","","","2"
"2012032148","Y","U","U","Y","U","Y","9","Y","U","99999","Y","U","Y","U","Y","9","Y","U","N","2"
"2012027493","","","","","","","","","","","","","","","","","","","","2"
"2012028878","N","Y","U","Y","N","N","0","Y","N","01100","N","","","","","","","","N","1"
"2012057626","N","N","U","Y","U","Y","1","Y","Y","00000","N","","","","","","","","N","1"
"2012076735","N","Y","N","Y","Y","Y","3","Y","N","00500","N","","","","","","","","N","2"
"2012103755","N","Y","Y","Y","Y","Y","2","Y","Y","00750","Y","Y","Y","Y","Y","2","Y","Y","N","1"
"2012050260","N","U","U","Y","N","N","0","Y","N","00883","N","","","","","","","","N","1"
"2012085523","N","U","U","Y","N","N","0","N","Y","00600","N","","","","","","","","N","1"
"2012066103","N","N","U","U","N","N","0","N","N","00600","Y","N","U","N","N","0","U","N","N","1"
"2012083926","U","U","U","N","N","N","0","Y","U","00901","N","","","","","","","","N","1"
"2012083926","U","U","U","U","U","U","0","U","U","00901","N","","","","","","","","N","2"
"2012082606","Y","N","Y","Y","U","Y","1","Y","Y","10000","N","","","","","","","","N","2"
"2012081196","Y","Y","Y","U","Y","Y","1","Y","Y","00955","N","","","","","","","","N","1"
"2012054042","N","N","U","Y","N","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2012043627","Y","U","U","Y","Y","Y","1","Y","Y","11000","N","","","","","","","","N","2"
"2012089913","Y","Y","U","Y","U","Y","3","Y","Y","01449","N","","","","","","","","N","2"
"2012086304","Y","U","Y","Y","U","Y","3","Y","Y","01500","N","","","","","","","","N","2"
"2012113233","","","","","","","","","","","","","","","","","","","","2"
"2012084500","N","N","Y","Y","U","U","9","Y","Y","99999","N","","","","","","","","N","1"
"2012106244","Y","U","U","N","N","N","0","Y","Y","00000","N","","","","","","","","N","1"
"2012078795","U","N","U","U","U","U","9","U","U","60000","Y","N","U","U","U","9","N","U","N","1"
"2013011909","","","","","","","","","","","","","","","","","","","","2"
"2012114256","N","U","U","N","U","Y","1","Y","U","00080","N","","","","","","","","N","1"
"2012030939","Y","Y","Y","Y","U","U","9","Y","N","01200","N","","","","","","","","N","1"
"2012101985","N","U","U","Y","Y","Y","1","N","N","00650","N","","","","","","","","N","1"
"2012062054","N","Y","N","Y","Y","Y","2","Y","Y","00250","N","","","","","","","","N","2"
"2012044492","Y","U","U","Y","Y","N","1","Y","Y","00600","N","","","","","","","","N","1"
"2012084374","N","N","Y","Y","N","N","0","Y","U","01100","N","","","","","","","","N","1"
"2012093023","N","Y","N","Y","U","U","0","Y","Y","99999","Y","N","N","N","N","0","N","N","N","1"
"2012113484","U","Y","U","Y","Y","Y","1","Y","Y","00650","N","","","","","","","","N","1"
"2012062708","Y","Y","U","Y","U","Y","3","Y","N","01338","Y","Y","Y","U","Y","3","Y","N","N","1"
"2012066379","","","","","","","","","","","","","","","","","","","","2"
"2012086114","N","N","Y","Y","Y","Y","1","N","N","00800","Y","N","N","N","N","0","N","N","N","1"
"2012040505","N","Y","N","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2012107163","U","N","U","U","Y","U","3","N","N","00650","N","","","","","","","","N","1"
"2012072489","Y","U","N","U","U","U","9","Y","N","01584","Y","U","U","U","U","9","Y","N","N","1"
"2012094036","Y","U","N","N","N","N","0","Y","N","00150","N","","","","","","","","N","1"
"2012083990","N","U","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","2"
"2012053342","","","","","","","","","","","","","","","","","","","","1"
"2012043634","N","U","U","Y","U","Y","1","Y","N","01100","N","","","","","","","","N","1"
"2012060863","N","Y","Y","Y","N","N","0","Y","Y","01600","N","","","","","","","","N","1"
"2012025071","N","N","N","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2012053397","","","","","","","","","","","","","","","","","","","","2"
"2012026732","N","Y","U","Y","N","N","0","Y","Y","01200","N","","","","","","","","N","1"
"2012126283","Y","U","U","Y","U","Y","2","Y","Y","01500","N","","","","","","","","N","1"
"2012069272","N","N","U","Y","Y","Y","1","N","N","01000","N","","","","","","","","N","2"
"2012087877","U","U","U","Y","Y","U","1","Y","N","00750","N","","","","","","","","N","1"
"2012058284","","","","","","","","","","","","","","","","","","","","2"
"2012089003","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","1"
"2012066521","Y","Y","U","Y","N","N","0","Y","N","01586","N","","","","","","","","N","1"
"2012097957","Y","Y","Y","Y","N","N","0","Y","U","01449","N","","","","","","","","N","2"
"2012100563","","","","","","","","","","","","","","","","","","","","1"
"2012059292","N","U","U","Y","U","Y","1","Y","U","00883","N","","","","","","","","N","2"
"2012078973","Y","Y","U","Y","Y","Y","1","Y","Y","00650","N","","","","","","","","N","2"
"2012027321","U","U","Y","U","U","Y","1","Y","Y","00650","N","","","","","","","","N","1"
"2012043966","N","Y","U","U","U","N","0","Y","Y","00700","N","","","","","","","","N","2"
"2012086756","N","U","U","Y","Y","Y","1","Y","Y","00750","N","","","","","","","","N","1"
"2012099300","Y","N","U","N","N","N","0","Y","N","01598","N","","","","","","","","N","2"
"2012103093","Y","Y","N","Y","U","U","2","Y","Y","01300","U","","","","","","","","N","1"
"2012107330","N","N","U","N","N","N","0","Y","N","13120","N","","","","","","","","N","1"
"2012062822","N","U","Y","Y","N","N","0","Y","N","01584","N","","","","","","","","N","2"
"2012060901","N","Y","N","Y","Y","Y","1","Y","Y","01330","N","","","","","","","","N","1"
"2012043840","N","Y","Y","N","Y","Y","1","Y","Y","00600","N","","","","","","","","N","2"
