"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2012022442","","2","04","","0","S","4","4.0","","","35.0","PITTSBURGH MCKEESPORT BL"
"2012022442","3.0","2","2","3115.0","0","B","3","2.0","2037","","25.0","WESTINGHOUSE AV"
"2012096286","1.0","2","2","19.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2012016797","3.0","2","2","150.0","0","S","3","2.0","0051","","25.0","SAW MILL RUN BL"
"2012087480","1.0","2","1","469.0","1","N","3","2.0","8035","","","GREENTREE INT/RAMP A RD"
"2012091396","3.0","2","2","0.0","0","E","4","2.0","3014","","35.0","PINEY FORK RD"
"2012091396","3.0","2","2","0.0","0","N","3","2.0","3013","","25.0","BROWNSVILLE RD"
"2012062527","","2","02","","0","E","3","4.0","","","55.0","I 376 RAMP RD"
"2012073860","","2","02","","0","W","4","4.0","","","25.0","PENN AV"
"2012073860","","2","02","","0","N","3","4.0","","","15.0","TWENTYFOURTH ST"
"2012099954","3.0","2","2","961.0","0","W","3","2.0","0030","","35.0","LINCOLN HW"
"2012079766","3.0","2","2","543.0","0","E","3","2.0","2054","","35.0","NORTHERN PK"
"2012123592","","2","02","","0","W","3","3.0","","","35.0","HOMESTEAD DUQUESNE RD"
"2012121238","","2","02","","0","W","3","4.0","","","25.0","ELLSWORTH AV"
"2012121238","","2","02","","0","S","4","4.0","","","25.0","MOREWOOD AV"
"2013038569","3.0","2","2","1865.0","0","W","3","2.0","3090","","40.0","MOON CLINTON RD"
"2012099821","","2","02","","0","S","4","3.0","","","25.0","REYNOLDS RD"
"2012099821","3.0","2","2","1404.0","0","W","3","2.0","0910","","35.0","SALEM HOLLOW RD"
"2012090910","1.0","2","2","717.0","0","S","5","2.0","1002","","45.0","FREEPORT RD"
"2012090910","","2","02","","0","E","7","4.0","","","25.0","FAIRVIEW AV"
"2012090910","3.0","2","2","130.0","0","N","3","2.0","1001","","25.0","FREEPORT RD"
"2012090910","3.0","2","2","153.0","0","S","4","2.0","1001","","25.0","FREEPORT RD"
"2012090910","3.0","2","1","0.0","1","B","6","2.0","9108","","","SPUR RD"
"2012104416","1.0","2","2","986.0","0","N","3","1.0","0079","","55.0","RAYMOND P SHAFER HW"
"2012011892","3.0","2","2","385.0","0","E","3","2.0","3052","","35.0","GREENTREE RD"
"2012024953","","2","01","","0","W","3","4.0","","","25.0","FIRST AV"
"2012035225","","2","02","","0","E","4","4.0","","","","WILKINS AV"
"2012035225","","2","04","","0","E","3","4.0","","","35.0","FIFTH AV"
"2012016871","","2","04","","0","N","3","4.0","","","25.0","16TH STREET BR"
"2012080594","","2","02","","0","S","3","4.0","","","30.0","PERRYSVILLE AV"
"2012128071","","2","04","","0","W","4","4.0","","","35.0","PENN AV"
"2012128071","","2","04","","0","U","3","4.0","","","35.0","NEGLEY AV"
"2012107588","","2","02","","0","S","3","3.0","","","35.0","JACKS RUN RD"
"2012017430","","2","99","","0","U","5","4.0","","","","CLEVER RD"
"2012017430","3.0","2","2","3057.0","0","E","3","2.0","3077","","35.0","BEAVER GRADE RD"
"2012017430","3.0","2","2","0.0","0","W","4","2.0","3077","","35.0","BEAVER GRADE RD"
"2012052846","1.0","2","01","0.0","1","W","5","2.0","8086","","35.0","RIVERTON RAMP RD"
"2012052846","1.0","2","1","1377.0","0","S","4","2.0","2114","","35.0","SR 2114 HW"
"2012052846","1.0","2","1","1210.0","0","N","3","2.0","2114","","35.0","SR 2114 HW"
"2012059537","","2","02","","0","E","5","4.0","","","25.0","RIDGE AV"
"2012059537","3.0","2","3","0.0","0","N","3","2.0","4001","","25.0","ALLEGHENY AV"
"2012059537","","2","02","","0","S","4","4.0","","","25.0","ALLEGHENY AV"
"2012122284","3.0","2","2","1330.0","0","W","4","2.0","0008","","35.0","PENN AV"
