"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2008092307","","04","N","3","1","","3","N","12","Y","HOND","1995","","","","","","","","0","01","1HGCD5653SA","1","","4","00","Y","N","015","0","","1","1","04","16","01","PA","1","1.0","P4D"
"2008092307","","12","N","2","1","","3","N","06","Y","PONT","1995","","","","","","","","0","01","1GMDU06L5ST","1","","2","00","N","N","000","0","","2","1","03","03","01","PA","2","6.0","PSV"
"2008065249","","04","N","3","1","","2","N","01","Y","CHEV","1991","","","","","","","","0","01","2G4WB52K5T1","3","","1","00","Y","N","999","0","","1","1","02","01","01","PA","1","1.0","P4D"
"2008065249","","04","N","9","2","","2","N","07","Y","CHEV","2001","","","","","","","","1","","2G1WF52E619","0","","1","00","N","N","000","0","","2","2","01","06","01","PA","2","1.0","P4D"
"2008065249","","73","N","9","2","","2","N","07","Y","CHEV","1993","","","","","","","","1","","1GBEG25K2PF","0","","1","00","N","N","000","0","","3","2","04","06","01","PA","2","7.0","TIC"
"2008078475","","04","N","3","1","","1","N","12","Y","FORD","2003","","","","","","","","0","01","1FAFP38363W","1","","1","00","Y","N","040","","","1","1","07","01","01","PA","1","1.0","P4D"
"2008029704","","04","N","3","1","","1","N","08","Y","MRCU","2001","","","","","","","","0","01","1MEHM55S11G","1","","1","00","Y","N","999","0","","1","1","02","12","01","PA","2","1.0","P4D"
"2008029704","","04","N","2","1","","5","N","11","Y","FORD","2003","","","","","","","","0","01","1FAFP34P23W","1","","1","00","N","E","999","0","","2","1","07","12","01","PA","1","1.0","P4D"
"2011123763","","04","N","3","1","","1","N","01","Y","","2009","","","","","","","","0","01","1G6DT57V690","1","","1","00","Y","N","025","0","","1","1","01","01","01","PA","1","1.0","P4D"
"2011123763","","04","N","3","1","","1","N","10","Y","CHEV","2003","","","","","","","","0","01","1G1JC52F137","1","","1","00","Y","E","015","0","","2","1","07","10","01","PA","2","1.0","P4D"
"2008125743","","02","N","3","1","","3","N","00","Y","CHEV","2007","","","","","","","","0","01","1G1AL15F577","1","","3","00","Y","S","030","0","","1","1","02","17","13","PA","0","1.0","PCP"
"2008019747","","04","N","3","1","","3","N","12","Y","CHEV","2001","","","","","","","","0","01","1G1JC524917","2","","1","00","Y","W","015","0","","1","1","09","01","02","PA","1","1.0","P4D"
"2008019747","","15","N","2","1","","2","N","01","Y","CHEV","2001","","","","","","","","0","01","1GNDT13W112","3","","1","00","N","E","005","0","","2","1","03","12","02","PA","2","6.0","PUT"
"2008059915","","03","N","3","1","","1","N","02","Y","DODG","1994","","","","","","","","0","02","1B3AP6435RN","1","","2","00","Y","S","055","0","","1","1","05","15","06","PA","1","1.0","P2H"
"2008029576","","15","N","3","1","","1","N","01","Y","DODG","2007","","","","","","","","0","01","1D8GU28K77W","2","","1","00","Y","W","999","0","","1","1","10","12","01","PA","2","6.0","PUT"
"2008029576","","15","N","3","1","","1","N","12","Y","CHEV","2003","","","","","","","","0","01","1GNDT13S632","3","","1","00","Y","S","999","0","","2","1","03","01","01","PA","1","6.0","PUT"
"2008068255","","04","N","3","1","","1","N","01","Y","VOLK","2001","","","","","","","","0","01","3VWTG69M41M","1","","1","00","Y","S","035","0","","1","1","07","01","01","PA","1","1.0","P4D"
"2008068255","","04","N","3","2","","1","N","07","Y","FORD","2005","","","","","","","","1","","1FAFP53U45A","0","","1","00","Y","S","000","","","2","2","07","06","01","PA","2","1.0","P4D"
