"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2021015454","","2","","","0","E","3","4.0","","","35.0","MCMONAGLE AV"
"2021064665","","2","","","0","S","3","4.0","","","25.0","BROWNSVILLE RD"
"2021006416","","2","","","0","N","4","4.0","","","25.0","BROWNSVILLE RD"
"2021006416","","2","","","0","W","3","4.0","","","25.0","DEWALT AV"
"2021068913","3.0","2","","782.0","0","N","3","2.0","0837","","35.0","EAST CARSON ST"
"2021034577","","2","","","0","N","3","4.0","","","15.0","WILLOW AV"
"2021080578","3.0","2","","1680.0","0","S","3","2.0","0008","","40.0","WILLIAM FLINN HW"
"2021039791","1.0","2","","1722.0","0","S","3","1.0","0079","","65.0","RAYMOND P SHAFER HW"
"2021123630","3.0","2","","721.0","0","N","3","2.0","2037","","35.0","MCKEESPORT BL"
"2021077895","3.0","2","","978.0","0","E","3","2.0","4004","","35.0","SEAVEY RD"
"2021030564","","2","","","0","N","4","4.0","","","25.0","WILLARD DR"
"2021030564","","2","","","0","E","3","4.0","","","25.0","WOODHALL DR"
"2021081755","1.0","2","","0.0","1","E","4","2.0","8008","","20.0","FORWARD AV INT./RAMP E RD"
"2021058327","","2","","","0","E","4","4.0","","","25.0","WOODLAWN DR"
"2021058327","3.0","2","","1400.0","0","N","3","2.0","3079","","35.0","MAPLE ST ET"
"2021081755","1.0","2","","136.0","0","E","3","1.0","0376","","55.0","SQUIRREL HILL TN"
"2021039893","","2","","","0","E","5","4.0","","","25.0","ENGLERT ST"
"2021005202","3.0","2","","3050.0","0","E","3","2.0","0136","","40.0","WEST NEWTON RD"
"2021061595","3.0","2","","941.0","0","S","3","2.0","0008","","35.0","PENN AV"
"2021088907","1.0","2","","1144.0","0","N","3","1.0","0579","","55.0","CROSSTOWN BL"
"2021010033","","2","","","0","N","4","4.0","","","25.0","GUTHRIE ST"
"2021010033","","2","","","0","E","3","4.0","","","35.0","CHARTIERS AV"
"2021037144","3.0","2","","536.0","0","N","3","2.0","0837","","30.0","EIGHTH AV"
"2021010356","3.0","2","","599.0","0","N","3","2.0","0837","","25.0","EAST CARSON ST"
"2021021019","3.0","2","","535.0","0","N","3","2.0","2058","","35.0","HULTON RD"
"2021021019","3.0","2","","0.0","0","E","4","2.0","2082","","35.0","COXCOMB HILL RD"
"2021041302","3.0","2","","0.0","0","S","8","2.0","2057","","40.0","HAYMAKER RD"
"2021041302","3.0","2","","0.0","0","E","3","2.0","2048","","35.0","WILLIAM PENN HW"
"2021041302","3.0","2","","2769.0","0","S","6","2.0","0048","","40.0","MOSSIDE BL"
"2021041302","3.0","2","","0.0","0","W","4","2.0","2048","","35.0","WILLIAM PENN HW"
"2021041302","3.0","2","","2733.0","0","N","5","2.0","0048","","35.0","MOSSIDE BL"
"2021041302","3.0","2","","0.0","0","N","7","2.0","2057","","40.0","HAYMAKER RD"
"2021006891","","2","","","0","N","4","4.0","","","25.0","CRAIGHEAD RD"
"2021006891","3.0","2","","1897.0","0","S","3","2.0","4019","","35.0","MT ROYAL BL"
"2021101507","3.0","2","","946.0","0","S","3","2.0","0130","","35.0","BEULAH RD"
"2021081068","3.0","2","","1641.0","0","N","3","2.0","0837","","40.0","WASHINGTON ST"
"2021087584","1.0","2","","840.0","0","W","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2021014449","1.0","2","","1335.0","0","W","3","2.0","3160","","55.0","CARGO RD"
"2021049515","3.0","2","","3144.0","0","S","3","2.0","2045","","25.0","MIFFLIN RD"
"2021054942","3.0","2","","0.0","0","E","5","2.0","4054","","35.0","FREEPORT RD"
"2021054942","3.0","2","","3165.0","0","S","4","2.0","0019","","40.0","PERRY HW"
"2021054942","","2","","","0","E","6","4.0","","","35.0","EMERYVILLE DR"
"2021054942","3.0","2","","3090.0","0","N","3","2.0","0019","","40.0","PERRY HW"
"2021052551","3.0","2","","825.0","0","W","3","2.0","0060","","35.0","OLD STEUBENVILLE PK"
"2021052551","","2","","","0","N","5","4.0","","","25.0","MCKEES ROCKS RD"
"2021052551","","2","","","0","N","4","4.0","","","25.0","WINDHAVEN RD"
"2021067470","","2","","","0","E","4","4.0","","","25.0","WEBSTER AV"
"2021067470","","2","","","0","U","3","4.0","","","25.0","MANILLA ST"
"2021026758","","2","","","0","E","3","3.0","","","30.0","PAINTERS RUN RD"
"2021001780","","2","","","0","E","3","4.0","","","25.0","CORLISS ST"
"2021002345","1.0","2","","336.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2021075400","","2","","","0","E","4","4.0","","","25.0","S 20TH ST"
"2021075400","","2","","","0","E","3","4.0","","","25.0","JANE ST"
"2021031356","1.0","2","","2526.0","0","S","3","1.0","0079","","55.0","RAYMOND P SHAFER HW"
"2021082639","3.0","2","","1520.0","0","N","3","2.0","3009","","35.0","BAPTIST RD"
"2021043927","3.0","2","","1745.0","0","W","4","2.0","0030","","40.0","LINCOLN HW"
"2021043927","3.0","2","","1740.0","0","E","3","2.0","0030","","35.0","LINCOLN HW"
"2021043927","","2","","","0","N","5","4.0","","","25.0","ISAAC ST"
"2021100652","3.0","2","","3848.0","0","E","4","2.0","3095","","40.0","NEVILLE RD"
"2021100652","","2","","","0","E","5","4.0","","","25.0","NEVILLE RD"
"2021100652","","2","","","0","N","6","4.0","","","35.0","FLEMING BR CONN RD"
"2021100652","3.0","2","","0.0","0","N","3","2.0","0051","","35.0","ISLAND AV"
"2021027733","3.0","2","","1220.0","0","N","3","2.0","0148","","45.0","FIFTH AV"
"2021061912","","2","","","0","E","3","4.0","","","20.0","OWENDALE AV"
"2021085951","3.0","2","","0.0","0","S","4","2.0","4003","","50.0","MCKNIGHT RD"
