"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2023105344","N","U","U","U","U","Y","1","Y","Y","99999","N","","","","","","","","N","1"
"2023071510","N","N","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","1"
"2023071510","Y","Y","Y","Y","N","Y","1","Y","Y","00600","Y","N","Y","N","Y","1","Y","Y","N","2"
"2023090036","Y","U","Y","U","N","N","0","Y","Y","01690","N","","","","","","","","N","1"
"2023031785","Y","Y","U","U","U","U","1","Y","Y","00471","N","","","","","","","","N","1"
"2023060487","Y","N","Y","N","Y","Y","3","Y","N","88888","N","","","","","","","","N","1"
"2023080604","N","N","N","N","N","N","0","N","N","99800","N","","","","","","","","N","1"
"2023046718","N","N","U","Y","N","N","0","Y","Y","00600","N","","","","","","","","N","2"
"2023059412","","","","","","","","","","","","","","","","","","","","2"
"2023059383","N","N","U","N","N","N","0","Y","N","16900","N","","","","","","","","N","1"
"2023091803","N","N","U","Y","N","N","0","Y","Y","00385","N","","","","","","","","N","2"
"2023025414","Y","Y","Y","Y","Y","Y","2","Y","Y","01686","N","","","","","","","","N","2"
"2023079790","N","U","U","Y","N","N","0","Y","U","41100","N","","","","","","","","N","1"
"2024021968","Y","U","U","Y","N","U","3","Y","Y","01670","N","","","","","","","","N","2"
"2023035107","Y","U","Y","Y","N","N","0","Y","U","01690","N","","","","","","","","N","1"
"2023097227","N","N","N","Y","Y","Y","1","Y","Y","01285","N","","","","","","","","N","1"
"2023074211","N","N","Y","Y","Y","Y","1","Y","N","01200","N","","","","","","","","N","1"
"2023044989","N","N","N","N","N","N","0","Y","Y","00125","N","","","","","","","","N","1"
"2023049057","N","U","U","U","U","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2023086866","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2023034833","N","Y","Y","Y","Y","Y","1","Y","Y","00390","N","","","","","","","","N","1"
"2023048969","N","U","N","N","N","N","0","U","U","00650","N","","","","","","","","N","1"
"2023053404","N","U","U","Y","U","U","1","U","U","01000","N","","","","","","","","N","1"
"2023063652","Y","Y","Y","Y","N","N","0","Y","N","01584","Y","N","Y","N","N","0","Y","N","N","1"
"2023110250","N","N","U","Y","Y","Y","1","Y","Y","00321","N","","","","","","","","N","1"
"2023043216","N","U","U","Y","Y","Y","1","Y","N","00883","N","","","","","","","","N","1"
"2023045635","N","N","Y","N","N","N","0","Y","N","00750","N","","","","","","","","N","1"
"2023032969","Y","N","N","N","N","N","0","Y","N","01312","N","","","","","","","","N","1"
"2023066873","","","","","","","","","","","","","","","","","","","","2"
"2023068130","N","N","N","Y","N","N","0","Y","Y","01340","N","","","","","","","","N","1"
"2023039550","Y","Y","U","Y","Y","N","1","Y","Y","00650","N","","","","","","","","N","1"
"2023089689","N","U","Y","Y","U","Y","1","Y","Y","00398","N","","","","","","","","N","1"
"2023030393","N","U","U","Y","U","Y","1","Y","N","01000","N","","","","","","","","N","2"
"2023083188","N","U","U","Y","N","N","0","Y","U","99999","N","","","","","","","","N","1"
"2023041372","U","Y","U","Y","Y","Y","2","Y","Y","01746","N","","","","","","","","N","2"
"2023098899","Y","Y","U","Y","U","Y","1","Y","Y","01200","N","","","","","","","","N","1"
"2023045730","N","U","U","Y","U","Y","9","Y","Y","00300","N","","","","","","","","N","2"
"2023087254","N","U","Y","Y","U","Y","1","Y","Y","00650","N","","","","","","","","N","1"
"2023072402","N","Y","Y","Y","Y","Y","1","Y","Y","00278","N","","","","","","","","N","2"
"2023078072","Y","Y","Y","Y","U","Y","2","Y","Y","01868","N","","","","","","","","N","2"
"2023017656","N","U","Y","Y","U","U","1","Y","Y","00599","N","","","","","","","","N","1"
"2023067960","","","","","","","","","","","","","","","","","","","","2"
"2023051760","N","U","U","Y","Y","Y","1","Y","Y","00883","N","","","","","","","","N","2"
"2023103659","N","N","U","N","N","N","0","Y","Y","00349","N","","","","","","","","N","1"
"2023051780","Y","U","U","Y","U","U","3","Y","N","11690","Y","U","Y","U","U","1","Y","Y","N","1"
"2023086447","N","Y","Y","Y","U","Y","1","Y","Y","00125","N","","","","","","","","N","1"
"2023049531","N","U","U","N","U","Y","1","Y","Y","00500","N","","","","","","","","N","1"
"2023050033","N","N","U","U","U","Y","1","Y","N","00600","N","","","","","","","","N","1"
"2023091840","N","Y","U","Y","U","Y","1","Y","Y","01690","N","","","","","","","","N","1"
"2023044738","Y","Y","Y","Y","Y","Y","2","Y","N","01312","N","","","","","","","","N","1"
"2023031292","Y","U","U","Y","N","N","0","Y","Y","01690","N","","","","","","","","N","1"
"2023034979","Y","U","Y","Y","Y","Y","1","Y","Y","02147","Y","N","N","Y","Y","3","Y","Y","N","2"
"2023056913","N","U","U","U","U","U","9","U","U","00125","N","","","","","","","","N","1"
