"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2011057181","","04","N","3","1","","2","N","12","Y","CHRY","2000","","","","","","","","0","01","2C3HE66GXYH","1","","1","00","Y","E","999","0","","1","1","01","01","01","PA","","1.0","P4D"
"2011057181","","15","N","1","1","","2","N","06","Y","CHEV","2002","","","","","","","","0","01","1GNDT13W62K","1","","1","00","N","E","999","0","","2","1","09","02","01","PA","","6.0","PUT"
"2012008714","","02","N","3","1","","2","N","12","Y","HOND","2010","","","","","","","","0","01","2HGFG1A68AH","1","","1","00","Y","W","099","","","1","1","07","01","01","PA","","1.0","PCP"
"2012008714","","04","N","3","1","","1","N","03","Y","FORD","2005","","","","","","","","0","02","1FAFP53215A","1","","1","00","Y","N","099","","","2","1","02","01","01","PA","","1.0","P4D"
"2011022320","","51","N","3","3","","1","N","12","Y","DODG","1999","","","","","","","","0","01","1B7HC16Y0XS","1","","1","00","Y","E","999","0","","1","1","01","10","01","PA","","4.0","TPK"
"2011067417","","01","N","1","1","","1","N","12","Y","PONT","1991","","","","","","","","0","01","1G2JB34K2M7","2","","1","00","N","W","035","0","","1","1","02","01","01","PA","","1.0","PCV"
"2011067417","","04","N","1","1","","1","N","10","Y","HYUN","2008","","","","","","","","0","01","5NPET46C08H","1","","1","00","N","N","010","0","","2","1","01","12","01","PA","","1.0","P4D"
"2011036784","","04","N","3","1","","1","N","12","U","CHEV","2000","","","","","","","","0","01","1Y1SK5285YZ","3","","1","00","Y","W","055","0","","1","1","07","01","01","PA","","1.0","P4D"
"2011008107","","39","N","","","","","N","00","","","","","","","","","","","0","02","1FBSS31L59D","0","","1","00","N","","035","0","","1","51","03","98","04","PA","","7.0","TBU"
"2011008107","","75","Y","3","1","","2","N","12","Y","VOLV","2007","","","","","","","","0","01","4V4NC9TH77N","1","","1","21","Y","W","050","1","","2","1","03","01","06","MO","","5.0","TDS"
"2011008107","","04","N","3","1","","2","N","06","Y","ACUR","2007","","","","","","","","0","01","JH4KB16627C","1","","1","00","Y","W","025","0","","3","1","03","02","06","PA","","1.0","P4D"
"2011045873","","04","N","1","1","","3","N","06","Y","CHEV","2007","","","","","","","","0","01","2G1WB58K779","1","","1","00","N","S","999","0","","1","1","07","02","01","PA","","1.0","P4D"
"2011045873","","04","N","3","1","","3","N","12","Y","HYUN","2004","","","","","","","","0","01","KMHDN46D44U","1","","1","00","Y","S","999","0","","2","1","05","01","01","PA","","1.0","P4D"
"2011018955","","51","N","3","1","","3","N","12","Y","DODG","2007","","","","","","","","0","02","1D7HU18P27S","1","","1","00","Y","W","999","0","","1","1","06","01","01","PA","","4.0","TCW"
"2011099880","","03","N","3","1","","1","N","12","Y","HYUN","2009","","","","","","","","0","01","KMHCM36C29U","1","","1","00","Y","E","999","0","","1","1","12","01","01","PA","","1.0","P2H"
"2011099880","","51","N","1","1","","1","N","06","Y","FORD","1997","","","","","","","","0","02","1FTHF36F2VE","1","","1","00","N","E","999","0","","2","1","03","01","01","PA","","4.0","TPK"
"2011005733","","04","N","3","1","","2","N","11","Y","VOLV","2004","","","","","","","","0","01","YV1RS59V842","1","","4","00","Y","W","999","0","","1","1","07","16","07","PA","","1.0","P4D"
"2011076507","","04","N","1","1","","1","N","11","Y","CHEV","1996","","","","","","","","0","02","1G1BL52W2TR","2","","1","00","N","W","005","0","","1","1","01","18","01","PA","","1.0","P4D"
"2011076507","","15","N","3","1","","1","N","04","Y","GMC","2007","","","","","","","","0","01","1GKET63M272","1","","1","00","Y","W","025","0","","2","1","07","01","01","PA","","6.0","T4W"
