"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2011084838","","0","","","","1","1"
"2011061731","","0","","T","","8","2"
"2011064936","","0","NE","162664","2012","7","1"
"2011069066","","0","","","","7","1"
"2011062689","","0","ME","14TLR92580","14","7","1"
"2011065152","","0","OH","TNX5985","2012","7","1"
"2011109643","","0","ME","1437498","14","7","3"
"2011023376","","0","PA","PT4323K","11","6","1"
"2011126174","","0","","","","7","1"
"2011012004","","0","ON","H1083Y","2011","7","1"
"2011012003","","0","NY","AV19072","2011","6","2"
"2011023505","","0","ME","1749975","2010","7","2"
"2011009228","","0","PA","HFJ9732","2011","1","2"
"2011008107","","0","MO","167935","2004","7","2"
"2011129219","","0","PA","PT3663N","9999","7","1"
"2011118616","","0","","PT6336L","9999","6","1"
"2011099872","","0","PA","XFR5881","2012","3","1"
"2011074400","","0","NJ","T90B1X","2012","7","2"
"2011054607","","0","PA","PT4325B","9999","7","1"
"2011057444","","0","IL","257130ST","2000","7","1"
"2011102339","","0","TN","T863620","2006","7","2"
"2011105002","","0","","","","8","2"
"2011029264","","0","ME","1417860","14","7","1"
"2011079380","","0","TX","SDG553","2011","5","3"
"2011109773","","0","MI","B816638","1994","7","1"
"2011080534","","0","ME","294968Z","2029","7","1"
"2011072386","","0","ME","152007B","2011","7","2"
"2011098886","","0","","","","3","2"
"2011100547","","0","","","","8","2"
"2011080496","","0","TN","U122073","11","7","2"
"2011111549","","0","PA","XL78921","","3","2"
"2011112027","","0","PA","XS89475","12","7","1"
"2011091870","","0","TX","AF28735","2011","1","2"
"2011069169","","0","WV","C23521","","7","1"
"2011061020","","0","PA","XDS8211","2012","6","2"
"2011121302","","0","OH","TPC4069","2012","7","2"
"2011054800","","0","","","","6","2"
"2011067992","","0","ME","13TLR73341","2013","7","1"
"2011047557","","0","PA","XL70958","1211","3","1"
"2011102277","","0","OK","9227DZ","2012","7","1"
"2011121933","","0","","","","1","1"
"2011018309","","0","IN","1062707","","7","2"
"2011061426","","0","PA","PT6517K","12","6","1"
"2011058197","","0","ME","1722544","2011","7","1"
"2011133646","","0","ME","1287196","2012","7","2"
"2011121222","","0","PA","PT8421M","2012","7","1"
"2011109777","","0","","","","6","2"
"2011099703","","0","PA","HNE3120","2011","1","2"
"2011055183","","0","PA","XR27446","2012","3","2"
"2011064418","","0","PA","YGS-3131","","1","1"
"2011063791","","0","PA","XCN5599","0412","3","1"
"2011102041","","0","PA","XCL-5397","0312","6","1"
"2012009874","","0","PA","XZ46726","2012","6","1"
"2011101343","","0","ME","2728692","2012","7","2"
"2011018066","","0","NY","AT67099","2011","7","2"
"2011016948","","0","PA","HDR0712","2011","1","1"
"2011061107","","0","PA","PT3322R","1972","7","2"
"2012011560","","0","TX","004C424","2011","7","2"
"2011105749","","0","TX","19E161","2011","7","3"
"2011118619","","0","NJ","TJN77V","","7","1"
"2011071727","","0","","","","1","1"
"2011004410","","0","OH","TPM8646","2011","7","1"
"2011078592","","0","PA","XZ05452","2011","7","2"
"2011048350","","0","ME","128978","1999","7","1"
"2011060685","","0","PA","PT5522R","11","6","1"
"2011130043","","0","TN","T992626","","7","1"
"2011118613","","0","PA","XDK2845","2015","3","2"
"2011125365","","0","MA","1691714","2012","7","2"
"2011080323","","0","TN","T691721","2004","7","2"
"2011059146","","0","PA","GFT4207","2011","1","2"
"2011035906","","0","ME","Z5130J","","7","1"
"2011084410","","0","PA","PT6713N","2012","7","1"
"2011048302","","0","OK","1385GC","2012","7","2"
"2011115622","","0","MO","16A626","2012","7","2"
"2011018887","","0","NC","AA48701","2010","7","2"
"2011101992","","0","ZZ","UNK","2099","7","1"
"2011116629","","0","MS","074274A","","6","2"
"2011028223","","0","OH","TPN8729","2011","7","1"
"2011076700","","0","PA","PT1964L","2012","7","2"
"2011076793","","0","PA","PT8404N","11","7","1"
"2011064839","","0","TN","HSL0418","2011","7","1"
"2011078844","","0","ME","2036942","2020","7","2"
"2011087778","","0","ME","1566288","2000","7","1"
"2011109120","","0","TN","U161023","11","7","1"
"2011034813","","0","ME","1557684","2011","7","2"
"2011101283","","0","ME","1473606","2001","7","1"
"2011096806","","0","PA","PT8064P","2011","7","1"
"2011086121","","0","OK","4802EX","2011","7","1"
"2011097148","","0","MI","B655443","12","7","1"
"2011039764","","0","OH","PVK8775","2001","6","2"
"2011042831","","0","","","","9","1"
"2011062109","","0","ZZ","UNKNOWN","2099","3","1"
"2011055999","","0","TX","16E-218","2011","6","2"
"2011103011","","0","MI","C358007","2004","7","1"
"2011096617","","0","IN","P125472","2011","7","1"
"2011018065","","0","PA","XV32574","2011","7","2"
"2011024872","","0","PA","PT1870S","2011","7","1"
"2011100031","","0","WI","496543","9999","7","1"
"2011004830","","0","OH","TNL8684","2011","6","2"
"2011107959","","0","ME","1738677","2012","7","1"
"2011041893","","0","PA","XGC7783","2012","3","1"
"2011029464","","0","PA","YPE0176","2011","7","2"
"2012000783","","0","ME","2037293","2012","7","1"
"2011101503","","0","WI","549410","2012","7","2"
"2011058033","","0","PA","GWB9329","2012","1","2"
"2011092444","","0","PA","DVC7909","2009","1","1"
"2011039598","","0","","","","7","1"
"2011037629","","0","GA","LE2590E","2011","6","2"
"2011055016","","0","ZZ","UNKNOWN","","8","1"
"2011092828","","0","PA","PT0281R","2011","6","3"
"2011100440","","0","PA","XGL5668","2011","3","2"
"2011088383","","0","ME","2039737","2020","6","1"
"2011123665","","0","","","","6","1"
"2011040576","","0","IN","P213600","2012","7","1"
"2011128351","","0","","","","1","1"
"2011101639","","0","PA","XDR9466","2013","3","1"
"2011061729","","0","","","","8","1"
"2011083623","","0","PA","XBG4759","2011","3","2"
"2011070256","","0","","N/A","","8","1"
"2011073746","","0","","","","3","1"
"2011045163","","0","OH","TPF8322","2011","7","1"
"2011018063","","0","ME","104254A","2011","7","2"
"2011134519","","0","TN","Z48483","2012","7","1"
"2011021848","","0","PA","PT8445P","2011","7","2"
"2011029772","","0","","","","8","2"
"2011110279","","0","","","","7","2"
"2011045261","","0","FL","GCJ172","11","3","1"
"2011084837","","0","PA","XN56839","","3","3"
"2011125884","","0","NC","BE31411","2011","7","1"
"2011037817","","0","PA","PT07535","1999","7","1"
"2011071408","","0","IL","372376ST","2011","6","2"
"2011007918","","0","PA","PT4374E","2011","7","3"
"2011093924","","0","PA","PT1686R","2099","7","1"
"2011054638","","0","CA","4KE7756","11","6","1"
"2011090986","","0","OH","T569022","","6","2"
"2011011166","","0","TN","T956026","2011","7","2"
"2011128363","","0","PA","AE74482","","6","1"
"2011061475","","0","FL","7577JG","","6","1"
"2011069196","","0","PA","PT0394H","11","7","2"
"2011014577","","0","ME","1153605","2011","7","2"
"2011106674","","0","TN","U007953","2011","7","2"
"2011005154","","0","NJ","TDF576","2011","6","1"
"2011108343","","0","ME","1424365","2011","6","2"
"2011109667","","0","PA","PT0856N","2012","7","1"
"2011132306","","0","ME","1559545","2015","7","2"
"2011112804","","0","PA","XW12033","12","6","1"
"2011057533","","0","","","","8","1"
"2011097225","","0","PA","XDL4163","2007","6","1"
"2011094458","","0","","","","7","2"
"2011081930","","0","NY","BA19050","2011","6","2"
"2011032894","","0","IN","344301","2011","7","2"
"2011008067","","0","PA","XBN1843","2011","3","2"
"2011039922","","0","OH","TMD4779","11","7","1"
"2011053996","","0","ME","18SEMI40569","12","7","1"
"2011013950","","0","PA","HNW0101","1994","1","1"
"2011044870","","0","PA","XCN1523","12","6","2"
"2011122529","","0","NC","L809438","12","7","1"
"2011048191","","0","IA","TE6118","2010","7","1"
"2011048191","","0","IA","TE6118","2010","7","2"
"2011040700","","0","ME","2236602","2011","7","2"
"2011073687","","0","PA","PT7329P","2010","6","1"
"2012006493","","0","IN","Z78357","2012","7","2"
"2011041915","","0","PA","PT1565D","1998","7","2"
"2011050628","","0","OK","1077EH","2011","7","1"
"2011050350","","0","MS","58004A","2011","6","1"
"2011050350","","0","ME","1354162","2011","6","2"
"2011015327","","0","ME","1189768","2011","7","2"
"2011121329","","0","","","","2","1"
"2011071350","","0","PA","PT3833L","2012","6","1"
"2011072034","","0","OK","3504DU","2011","7","2"
"2011055312","","0","TN","T917177","2011","7","2"
"2011033844","","0","PA","XDV2911","2011","7","2"
"2011123076","","0","PA","UNKNOWN","","6","1"
"2011043795","","0","OH","TNE2759","","6","2"
"2011020844","","0","PA","HHK3360","2011","1","1"
"2011046595","","0","PA","PT1740G","2011","7","1"
"2011117671","","0","PA","PT6239R","2011","7","1"
"2011048797","","0","PA","DLJ3769","2012","1","1"
"2011046030","","0","TN","T492544","","7","2"
"2011102698","","0","PA","PT9547D","1999","7","1"
"2011092829","","0","MI","66522A","2011","6","2"
"2011049401","","0","IN","P238028","2010","6","1"
"2011061405","","0","IL","363647ST","2012","6","1"
"2011055313","","0","OH","SMF7700","2011","6","1"
"2011012681","","0","","","","1","1"
"2011016303","","0","PA","99999","2011","6","2"
"2011056120","","0","ME","1478986","2014","6","1"
"2011056120","","0","ME","1688627","2016","6","2"
"2011095836","","0","PA","PT9433F","2012","7","1"
"2011115752","","0","VA","XD22180","15","7","2"
"2011011286","","0","ME","1846640","2011","7","2"
"2011110345","","0","TX","X11148","2011","6","1"
"2011088522","","0","PA","PT73344P","2012","6","1"
"2011040451","","0","NE","178090","2011","6","1"
"2011006825","","0","UT","A503020","2011","7","1"
"2011041495","","0","MN","4714STE","2012","3","1"
"2011060581","","0","ME","1346241","2011","7","2"
"2011063755","","0","PA","PT0426J","9999","7","1"
"2012005204","","0","ME","1282957","2012","7","2"
"2011029774","","0","PA","XDE-5032","2012","6","2"
"2011064837","","0","NY","AW 54949","2011","7","1"
"2011036036","","0","ME","2031426","2011","7","1"
"2011126948","","0","PA","XGD1081","2015","6","3"
"2011058829","","0","","","","7","1"
"2011065693","","0","IN","SP903ACB","","7","1"
"2011071139","","0","","","","3","1"
"2011048017","","0","PA","PT1740G","2011","7","1"
"2011121317","","0","ME","1383556","2013","7","2"
"2011013841","","0","PA","ESF1795","2011","1","3"
"2011115121","","0","ZG","6618067","","7","2"
"2011017128","","0","ME","1646871","2016","7","1"
"2011109291","","0","PA","PT9335R","2011","7","1"
"2011033055","","0","PA","PT2694P","9999","8","1"
"2011127643","","0","ME","1926991","2000","7","1"
"2011121407","","0","OK","6964GJ","2011","6","2"
"2011002785","","0","PA","XZ37357","2011","7","2"
"2011109990","","0","","","","1","2"
"2011019819","","0","CA","4JK1745","11","7","2"
"2011086836","","0","PA","PY2586D","2000","6","1"
"2011116365","","0","PA","22103PD","12","1","1"
"2011116365","","0","PA","HLB9793","12","1","2"
"2011002526","","0","KY","24050T","2011","6","2"
